,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_46,test_alphaReQ_location_46,test_ATC_location_46,test_EMD_location_46,test_AC_location_46,test_ANE_location_46,test_acc_location_46,test_f1_location_46,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
3,3,3,3,3,3,3,7.572486059378789,0.0271233469247818,5.960208565894917,5.960208565894917,0.0002094204628519,1.2250359058380127,0.1825524213678485,0.0769817675662962,13.92709028225656,192.6939858125598,61.565258646617984,7.46990008645148,1.0967068811634284,0.2095936850018752,0.1117336707253503,0.1443634995684558,0.2643546286071075,0.0011208933042929,24.585983976055388,999932311.970042,22.584534722199127,17.15423213020355,8.63712963342338,4.11952550247189,17.40140106974945,0.001403851352407,0.0013138028807162,0.023800153824357,0.352700290841602,43.4028549194336,1.0408837126379424,0.6057213544845581,0.3763692080974579,43.32937240600586,1.1138051289025206,50.44897959183674,1.9792617559432983,0.4512096345424652,-1.4007219076156616,0.4187755102040816,0.2467618882656097,0.4992960095405578,3.1105252046587606,2.990991065226043,2.038787880263213,0.6701720847357248,0.4383850514143709
4,4,4,4,4,4,4,7.594343014511717,0.0320554077625274,6.115357878429864,6.115357878429864,0.0003124288978142,1.2471096515655518,0.2083862730327831,0.0869477395245276,13.322200361480304,166.57173277952074,53.71560308624274,7.302569729160576,1.1255415830964135,0.257329372807605,0.1303320888158029,0.1605974162748236,0.2815793870276286,0.0014956394016056,26.65239368735524,1290117885.218933,22.53854151947733,17.313408779026712,9.472317416755867,4.646652350497337,26.118733031753123,0.0018577019076335,0.0017413023367556,0.0272138621206244,0.3740872646155881,43.4028549194336,1.0408837126379424,0.643034815788269,0.4124046862125397,43.32937240600586,1.1138051289025206,49.46938775510204,1.991264700889588,0.4927408993244171,-1.311236023902893,0.4204081632653061,0.2555781304836273,0.5510858297348022,3.3323717399582744,3.112861312059797,2.02925642993654,0.720857156268108,0.4670086786103408
5,5,5,5,5,5,5,7.587250184960432,0.0287000630050897,5.967503767770054,5.967503767770054,0.0002226127671747,1.2458769083023071,0.2002623550354302,0.082623272084411,13.529549938771591,174.16668169456463,56.33689563284491,7.390298789909509,1.1209887623785582,0.2440798734103893,0.1233334701113704,0.1530257834366166,0.2721520211624481,0.0012883471442819,27.04490069690344,1119416680.012364,27.48777083022012,20.19090783047101,9.5820430526838,4.374450146439562,20.20500827760772,0.0015898608335405,0.0014906285884208,0.0263943097864534,0.3630458467162571,43.4028549194336,1.0408837126379424,0.6405472755432129,0.3956152498722076,43.32937240600586,1.1138051289025206,49.38775510204081,1.986102819442749,0.4882590770721435,-1.349835753440857,0.4310204081632653,0.262884110212326,0.5462040603160858,3.2520332967115197,3.118737228472072,2.0480687404209474,0.7021087549046057,0.4537440250393266
6,6,6,6,6,6,6,7.605025032509401,0.0379561595618724,6.166760864087425,6.166760864087425,0.0003904491459252,1.240386962890625,0.2093525992984528,0.0892073522275233,12.9112719531514,157.18286842450934,51.368164459089975,7.1663484616815945,1.1364880141925835,0.2569451631556232,0.1326472452692024,0.1650606033176946,0.287258313417855,0.0018203745458285,53.66979773579555,1548435124.277603,19.88314201869992,15.475969913780236,9.12926686198907,4.802512577241068,36.52499103042186,0.0022849276822611,0.0021190808429523,0.0272570412022014,0.3837313748818188,43.4028549194336,1.0408837126379424,0.6741293668746948,0.4475441873073578,43.32937240600586,1.1138051289025206,53.55102040816326,1.995719194412232,0.5210486650466919,-1.2598867416381836,0.4375510204081632,0.2935303747653961,0.6029455959796906,3.3092547493713904,2.895464913656703,1.9622406546952216,0.7271779756281355,0.4767682890040143
7,7,7,7,7,7,7,7.608048698733919,0.0330917537212371,6.078318225120118,6.078318225120118,0.0002895540928875,1.272575855255127,0.205131501238868,0.0867728301879846,13.307742761526082,165.11892324444582,53.94576663332109,7.248447375032275,1.133968154126724,0.2445099055967284,0.1284140483955171,0.1605428485629836,0.2810321607355232,0.0015359865351314,54.23624844669402,1250799483.3867998,20.032963831569266,15.787607709562549,9.195795664922782,4.858470101549278,30.50238059560949,0.0019168093753449,0.0018020023539264,0.0266284104830299,0.3756024990618523,43.4028549194336,1.0408837126379424,0.6703979969024658,0.4460866451263428,43.32937240600586,1.1138051289025206,54.20408163265306,1.985669493675232,0.4979541897773742,-1.322651505470276,0.4310204081632653,0.2800679504871368,0.5555824339389801,3.323494759845837,2.912465127399113,2.004892217419573,0.717580484724852,0.4681488097462713
8,8,8,8,8,8,8,7.616098561285533,0.0306577980518341,5.634988745272603,5.634988745272603,0.0002114137187163,1.4084126949310305,0.3080983365745047,0.1245356325493151,11.102458166933763,222.6249587732492,44.18762163102071,5.928483150579352,1.1303309601181546,0.2691262536742926,0.1773631459595623,0.2132523402716201,0.3652295530823116,0.0019800567232088,58.341143362011046,1626083918.3814824,38.50352045829189,42.00171379788712,21.165608343307888,13.099353919503384,986.0281484287428,0.0021373095534293,0.002085640164541,0.03071645455284,0.2926183101262326,62.83468246459961,0.943598606554716,0.7960199117660522,0.5987252593040466,74.35282897949219,0.9750849192643958,65.3061224489796,1.9913712739944456,0.6579654812812805,-1.0164576768875122,0.4269387755102041,0.2520769238471985,1.0653111934661863,1.9872566488048624,5.42260289618459,2.251148391960528,0.7723230493269746,0.5699113549986674
9,9,9,9,9,9,9,7.57922289907302,0.034139160066843,5.59577011973745,5.59577011973745,0.0001469394519517,1.543405532836914,0.1978650827881675,0.0908373860726047,12.910881167921804,227.0716200492536,51.31135871988466,6.653386836496272,1.177171261265513,0.2596456969245952,0.1342038865472041,0.1693373168636403,0.2990740284824594,0.0017131055458179,40.98038422826616,1225379215.611611,29.06236803413729,26.901189927628984,14.076253877310211,8.880510743490813,155.9306440997684,0.0019006366601317,0.0018568414346944,0.0251738991219753,0.2310145438153353,43.15161895751953,1.1148186410440657,0.8009949922561646,0.5912203788757324,41.44150924682617,1.1205768934507323,57.30612244897959,1.981285810470581,0.6029221415519714,-1.1572593450546265,0.4244897959183673,0.2541945576667785,1.1251648664474487,1.6928773442720502,4.314912590026635,2.141312427647484,0.7341241275468783,0.5012303883586615
10,10,10,10,10,10,10,7.590103100965285,0.0595892630517482,4.888168673545122,4.888168673545122,4.036400787299499e-05,1.5429787635803225,0.2128598034862281,0.1113400000696075,10.626954963888704,259.474178069283,49.99859116586555,5.572454275363434,1.1221422522446969,0.31735085637398586,0.186296038805613,0.2100115541924746,0.3517379101280647,0.003383897559047,75.78932088185915,2731932363.5310864,55.55326106935696,46.50892316436912,27.58549336176261,14.663701443923234,258.0411187867624,0.0036220497391994,0.0035732874254179,0.030937684550696,0.2829649845922343,127.42415618896484,0.8240694272733855,0.8781094551086426,0.705578088760376,171.9937286376953,0.8447626096936479,64.89795918367346,2.0308516025543213,0.7082202434539795,-0.8455249667167664,0.3942857142857143,0.2647358477115631,0.999881774187088,1.86407707278071,7.933181068071243,2.75782909777471,0.7233359944362238,0.5522060713147389
11,11,11,11,11,11,11,7.491648199132911,0.0411239862442016,5.814556397896823,5.814556397896823,0.0001676997144386,1.700899958610535,0.137631498542594,0.0929302087832934,13.69473485574422,371.28312787084695,69.03593810813885,6.5651943395366095,1.1979752850585017,0.1603463957979219,0.1532242117501386,0.2112441845685867,0.3446237379739003,0.0017545223889499,17.240746919239992,1177881291.3689764,47.34560019171928,36.277043196303865,17.569935193066758,11.314425582346717,-88.46105913436537,0.0018981189401898,0.0018394722614658,0.0229896627819774,0.1881465690422278,43.28375625610352,1.4027105472329628,0.8097015023231506,0.6017690300941467,61.88597869873047,1.2257733411630336,68.3265306122449,1.9882996082305908,0.6397292613983154,-1.0985170602798462,0.3322448979591836,0.1916855871677398,1.0657623410224917,0.9973063159789312,9.01286687145011,3.052388375612258,0.8538246315886434,0.5633356286365166
12,12,12,12,12,12,12,7.489527905766652,0.0538583174347877,5.363458800329052,5.363458800329052,0.0002271627090522,1.394545316696167,0.180178271188753,0.1009593249982497,11.678355215923949,270.81473206787626,51.21819482815829,7.23730739838821,1.3174493091940738,0.2598826475895167,0.1373402425974518,0.2045342898616451,0.3578387297015571,0.0021207578960877,32.84588204573973,1022356689.645676,57.87186614875644,43.68764447521316,31.93282534022402,19.55449871355773,-319.1099665937345,0.0022868413155947,0.0022785120339676,0.0264994885666001,0.1900854156276298,52.32400131225586,1.0428902556804434,0.8718905448913574,0.795483410358429,77.3052749633789,0.9156084355355328,62.85714285714285,2.0199575424194336,0.6694972515106201,-0.940975785255432,0.363265306122449,0.2428035736083984,0.4833433032035827,1.671312703746736,4.767151132308061,2.072667367887054,0.8854357322159184,0.6107301985207231
