domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_6,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,kendall_tau_c,kendall_tau_b,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,abs_kendall_tau_c,abs_kendall_tau_b,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,mcs_approx,laplacian_spectral_dist,netlsd_dist,motif_counts_dist,degree_distribution_dist,ged_approx,trim_srcc_w,trim_srcc,trim_tau_b,trim_rbo,trim_sign_agree_w,inflow_from_7,inflow_from_5
hospital0_slide8,7.369624857477513,0.11754640936851501,4.904441559126551,4.904441559126551,0.00036535939580062404,1.161784291267395,0.1808104322757655,0.014090120879831858,84.32612862629433,217.4289351089709,175.45001282874284,86.8597924827254,32.59001952721464,-859.8359711153598,0.01468767320594111,0.014325437697522148,0.040421325993033004,0.44982059626976467,0.00878913328051567,0.21746358275413513,1.7400357723236084,22,6.648266386103394e-05,-5.8386208807387945e-05,0.0026553877889660873,5018.882349088721,5.512410460420822,3.3947241643715786,0.4023220918095874,32.888888888888886,0.01841411646532643,18345764.90628584,0.00027704811284879466,0.8974972335199756,2.9971620528088105,0.006593406593406594,0.03945986637429988,0.0027396666449920884,0.5852368804576791,0.00018296341220078258,-0.0001606815939563082,0.020111276487009902,6666225.155196726,0.0007624494269459254,0.006593406593406594,0.10859540534208278,0.5980135798454285,2.462075099174399e-05,4.9044413566589355,2.851698875427246,0.6199504733085632,1.0,0.0,0.2064850346780203,0.08206185543056088,0.8373326737100244,0.005515826423232957,0.015087138292181472,0.06000250614400029,0.999999999990575,0.0,6.76557986102176e-05,0.04620363571423222,0.0204886422878414,0.01975251739563303,0.0,0.37222343648168765,0.0,9727.182048867799,2.877227890465313,0.0,0.5912586926079968,0.9999999999989999,0.0,0.0006376571446593843,0.435470115313511,0.020488642288014017,0.01975251739563303,0.0,0.3722234364816877,0.0,1032.059744417465,2.877227890465313,0.0,0.5912586926080039,55,163,0.10976430976430976,1.0,0.46865385561122685,946.1231408767742,6.687454776115296e-05,1.2088370700359148,36,94,0.1492063492063492,1.0,0.22437554485646305,973.8819952229014,0.00012051388088954673,0.541749118435588,0.12470690576424867,0.06649995467245677,0.23019309403652655,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.009838340803980827,0.10610058903694153,0.01336619071662426,0.00878913328051567,396,0.6494830021296616,0.6746730853580156,0.6747062394244044,0.012210079844752211,0.005286763655021787,0.5299702102893498,0.5299702117947137,0.7451150456328689,0.8122907153953653,0.8149589965665066,0.009444194088296819,0.003807016648352146,0.5624045095680904,0.5624045127633542,0.4413061522123659,0.4324786324786325,0.15108795321630164,0.08602031258618037,1.1392623213808033,,0.515452950671929,0.02199224574636249,0.08301000009175245,0.07615899716368048,,0.5388610496262435,0.3230947080030247,0.2163728427751841,29.223624107105408,0.9999999999957249,,
hospital0_slide9,7.334659770242343,0.13625238835811615,5.480540549701127,5.480540549701127,0.00027811095787910745,1.1336699724197388,0.0649693510737374,0.004846356703989585,64.7779078958499,257.4123433446677,165.91846018538638,65.70924546026914,29.914038330110195,-1326.2302779390056,0.004993129687449027,0.004880919067744571,0.018007617878658223,0.17627929593013633,0.013021806254982948,0.21900130808353424,1.6841716766357422,22,7.279227206967255e-05,-6.654291715369685e-05,0.0027279924799135315,5828.241502732499,5.497334616418544,3.1469198333087696,0.2821958384823228,150.6875,0.008379428518421274,17768190.14361075,0.00017973948536867586,0.669724517304817,2.524780133541564,0.0074668421585501665,0.04601051263462713,0.0027832155589508525,0.6217823113141276,0.00026252453308423917,-0.0002399863219485908,0.0354823533008518,4926727.796460655,0.0006482284988156984,0.0074668421585501665,0.16593641201762138,0.7866493463516235,2.722892713791225e-05,5.4805402755737305,2.669677495956421,0.667718231678009,1.0,0.0,0.14994328984618302,0.07172248465676623,0.8924041886758636,,,0.035873326667370184,0.9999999999887521,0.0,7.846143724958926e-05,0.05399792997451312,0.03678460285530989,0.009192251398362043,0.0,0.24497702292369591,0.0,11346.262800456005,2.3693832062301574,0.0,0.6425499010735447,0.9999999999989999,0.0,0.0008825231491916163,0.6073610792948549,0.03678460285568685,0.009192251398362043,0.0,0.24497702292369608,0.0,1008.7487082359013,2.369383206230157,0.0,0.6425499010735541,60,212,0.11977401129943503,1.0,0.49624590241743627,844.8784412325064,7.99033028209659e-05,1.536886182394213,25,55,0.18333333333333332,1.0,0.11357016472371378,1561.6045477017828,0.00011428538872605862,0.2178466260040201,0.12263359580088301,0.06532214251122623,0.5629354837867443,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.013759639114141464,0.08890581876039505,0.015987291932106018,0.013021806254982948,421,0.4565866653539269,0.7822429231436212,0.7822142646355934,0.010693653663458426,0.005605046637356281,0.3566223485262661,0.3566223495395841,0.6619029999882059,0.8728021050324877,0.8738194043471308,0.00855353870006255,0.005605046637356281,0.4833284275564892,0.4833284303015992,0.35786667792855037,0.3676703645007924,0.18147498106356594,0.10951913301517613,1.2893885390327608,,0.5301212079411972,0.028272969245255068,0.2547595006428949,0.05368459883889631,,0.49718807878418986,0.27590067396137596,0.18111429231945655,26.922323750931945,0.9999999999951762,,
hospital1_slide18,7.444464171186674,-0.0683145746588707,5.208861461434446,5.208861461434446,0.00038694716204190627,1.423304796218872,0.01976711904114965,0.0014554277032639007,8.395087975119187,23.33543578634811,17.377233301662887,9.588316648420948,4.384702722627659,-192.776683199088,0.0018870780514816943,-0.001314391389882985,0.004206876583493954,57.868800463730864,0.01103338785469532,0.20962156355381012,1.7118343114852905,22,8.473974581420934e-05,-7.509024845566583e-05,0.002749494941092424,6207.980583253529,6.271429293668904,3.34061001751487,0.2944670704652305,41.1875,0.007111113080754859,12582550.994843056,0.00026898037576746217,0.7391291438892067,2.8858167851561953,0.005849958097974554,0.04339123342663291,0.002161373259871472,0.5396525454779337,0.00018891135592059968,-0.00016739962006863916,0.013664532152359167,5644140.074982664,0.0005996412659524602,0.005849958097974554,0.0967326125225483,5.600021839141846,8.596301995567046e-06,5.208860874176025,2.778475046157837,0.6858410239219666,1.0,0.0,0.1986398246906151,1.0,,,,,0.9999999999899154,0.0,8.481694985998538e-05,0.048067267797496385,0.019444810299086828,0.007743200533083888,0.0,0.2741404057933773,0.0,10050.956561426774,2.7899111709831494,0.0,0.555797075749077,0.999999999999,0.0,0.000855344435915282,0.48473884203697903,0.019444810299263475,0.007743200533083888,0.0,0.27414040579337745,0.0,996.6645516355214,2.7899111709831494,0.0,0.5557970757490839,61,201,0.10983606557377049,1.0,0.43171453077790944,1065.3918352468686,6.683797019632013e-05,1.4265319667069614,21,35,0.16666666666666666,1.0,0.35110114570364637,982.1888579138083,0.00015146464981687812,0.16734782760789738,0.20306010284257084,0.11300328027876202,1.2134014868621346,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.012783004902303219,0.09916117042303085,0.015571641735732555,0.01103338785469532,405,0.15376246838535249,0.7438716567469527,0.7436817913050119,0.013406252623278051,0.007479032967239618,0.11914474747077224,0.11914474780933819,0.6264047404187959,0.8097323818639758,0.812458263726476,0.01199455661264579,0.007479032967239618,0.4510496963323463,0.4510496988953762,0.23394402170023496,0.19127988748241911,0.18538104200273578,0.12251642594491718,1.0805039160693086,,0.35747212162195185,0.10397149807146254,0.5138317088759932,0.10078854982053913,,0.2983685603975537,0.11711968798402642,0.08473836351837648,23.664576866192267,0.9999999999965693,,
hospital1_slide19,7.378990206234269,0.19134056568145752,5.183521103758295,5.183521103758295,0.0005801344668725505,0.0,0.005399886837687596,0.0011061109581902429,8.044962403215486,14.058821068107278,12.61305799991939,9.326342361930854,4.471726493510954,64.62557442086931,0.0014643082866143686,0.0004765200132794689,0.0015420162496327626,0.008441609362309772,0.031998272985219955,0.21087117493152618,1.644720196723938,22,0.00033705287001310736,-8.321299459956334e-06,0.02250238658446359,6012.477851749663,5.014825885049815,3.1777312488750518,0.2864457403159509,286.8888888888889,0.012384194625965694,4750691.493504512,0.000609594773505947,0.7065830766855765,2.5921351880202312,0.006653683868873742,0.12879016609879082,0.002496078502900084,0.5865041175367192,0.0003549396995072472,-8.76289407423424e-06,0.024954086815745555,4511285.154246629,0.0006419449477429617,0.006653683868873742,0.13562484472016584,0.8355754613876343,0.00016079169290605932,5.183520793914795,2.6987521648406982,0.6591826677322388,1.0,0.0,0.17378625467782943,,,,,,0.9999999999962906,0.0,0.0003377193433332231,0.15211207017690348,0.14582381203628136,0.013953696834763874,0.0,0.253244550682973,0.0,3657.852167360214,2.448183854299291,0.0,0.605303957537963,0.9999999999989999,0.0,0.001252750629214212,0.5642510427280154,0.14582381203667646,0.013953696834763876,0.0,0.25324455068297314,0.0,986.0920467034691,2.448183854299291,0.0,0.6053039575379654,60,207,0.11694915254237288,1.0,0.4079796376484154,867.1220942289151,8.363314908099232e-05,1.5614396300580848,20,39,0.20526315789473684,1.0,0.33691988554335617,1334.1523851866996,0.00014995093659680094,0.14072589141919692,0.1489172392613592,0.08044872029489188,1.058207823447085,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.037190113216638565,0.26958227157592773,0.044529989361763,0.031998272985219955,426,0.36550197991605105,0.8139534354616241,0.8138673970601794,0.041884135065702335,0.02551237167790532,0.2833330995401654,0.2833331003450717,0.6435082890182684,0.8338498456547833,0.8357204250881382,0.04152810631833143,0.02551237167790532,0.46712407846679127,0.4671240811213388,0.14595362032294676,0.30134932533733133,0.1598774794465351,0.09052604822232382,1.275370168248545,,0.34823120037899546,0.02664630228670065,0.2761448509847102,0.05608506991105214,,0.4925141728116077,0.3505129441920883,0.26536141817448533,21.806402470154225,0.9999999999981874,,
hospital2_slide20,7.231933739607134,0.04803193733096123,5.814578010774691,5.814578010774691,0.00029040661320323125,0.8339174389839172,0.006616451982838661,0.0005226922943286638,4.696446711737779,4.5198243670350084,6.4466247826512,5.006254479859075,3.0227549520917156,342.00044907697685,0.0007079050308220758,-0.000218648727695836,0.0016731703802624074,-0.01808062755553596,0.014383161440491676,0.23617473244667053,1.6197642087936401,22,7.786556570073261e-05,-7.550693692040338e-05,0.0032173824334141934,6344.541512231838,4.864597095063965,3.2780725924927703,0.261880959306336,18.666666666666668,0.00681651933786575,8398659.2586065,0.00024893842749759086,0.7634316527400513,2.73960636663136,0.005968159940762681,0.04872321721516498,0.0021736519127823475,0.5406364651237187,0.00018403872297271354,-0.00017846400185067614,0.017973399357618894,3553417.1343541006,0.0005883770351726059,0.005968159940762681,0.11515948813019086,0.5747697949409485,6.425949322874658e-06,5.814578056335449,2.605543613433838,0.7019143104553223,1.0,0.0,0.15848803336082945,1.0,,,,,0.9999999999906524,0.0,7.788080728134802e-05,0.05497844274486936,0.016138322349629707,0.007657325300097167,0.0,0.2489159136277665,0.0,8041.821138690515,2.6326379673316445,0.0,0.5603270635061626,0.9999999999989999,0.0,0.0007280012056834526,0.5139183067308803,0.016138322349764426,0.007657325300097167,0.0,0.24891591362776674,0.0,860.305611314797,2.6326379673316445,0.0,0.5603270635061693,61,229,0.1251366120218579,1.0,0.40830558239118114,868.3560744603354,9.080353715929826e-05,1.5142123849760913,14,22,0.24175824175824176,1.0,0.446315746810107,1152.732535075222,0.0001753043735047225,0.12092399179576516,0.18243181161407196,0.10037137136300704,1.5086486056645447,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.014961158856749535,0.10697895288467407,0.01715008355677128,0.014383161440491676,397,0.22530637173044255,0.6761525082240981,0.6760484282887569,0.015595719850787006,0.007897260133177042,0.17158806220146322,0.17158806236396346,0.593310862623981,0.7548079221824064,0.7579613783729577,0.01406824303880441,0.007897260133177042,0.42362428292026205,0.4236242853274506,0.2096538107356173,0.23201174743024963,0.153927043681488,0.07515108842197221,1.2858690188972206,,0.43171994681408743,0.03966756104337376,0.14928274587843543,0.13871789635075316,,0.14568824203237862,0.03894768538172962,0.03166523612851516,18.19661390382234,0.999999999996508,,
hospital2_slide21,7.217594545240276,0.2859606444835663,5.389669514680785,5.389669514680785,0.0009474047692492604,0.0,0.002847441633823165,0.0005381324018927103,6.272567477755046,6.0091428755983705,9.25177354471015,6.772909935409698,3.736194683969608,83.60731224363712,0.0006912619036540946,-0.0003310710401223105,0.0008871244324637751,-0.004379803915909446,0.05587485432624817,0.2078298032283783,1.6123648881912231,22,0.0002823437210343684,-1.3243470975494195e-05,0.030443169678625332,7060.850415124052,4.823781805498874,3.0275489177469095,0.25965785201449976,150.6875,0.004128635159787438,5336257.292103641,0.0004575732863928122,0.5984632418675755,2.353671795724699,0.005367449926172621,0.16129369064915633,0.0019373168660120968,0.6189850550495613,0.00036234404882664375,-1.6995928254500293e-05,0.05013902354756965,4158088.7485240116,0.0005872238275313191,0.005367449926172621,0.20699525058825252,0.921744167804718,0.00010775494592962787,5.389669418334961,2.5259528160095215,0.702818751335144,1.0,0.0,0.15418459983387608,,,,,,0.999999999995906,0.0,0.00029503881054449363,0.16489982119581148,0.032428005394162455,0.004341044083160782,0.0,0.25199952652536867,0.0,4267.986702611141,2.355516192609157,0.0,0.6200289865895833,0.999999999999,0.0,0.0012078742111505867,0.6750916636295434,0.03242800539426278,0.004341044083160782,0.0,0.25199952652536844,0.0,1042.5106426923455,2.355516192609156,0.0,0.6200289865895856,67,258,0.11668928086838534,1.0,0.4000219487524749,1095.7772878954124,6.055564769752866e-05,1.6125441532604623,16,34,0.2833333333333333,1.0,0.5199202187006721,1224.342358706378,0.00016974297515756796,0.12482557296371807,0.13131513688790997,0.07027141894284891,1.0519890577716648,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.05721922963857651,0.24426287412643433,0.06173458322882652,0.05587485432624817,428,0.24838257649569528,0.7366713701324801,0.7366131753591821,0.05643651244729987,0.049388953018933535,0.18759108845135714,0.18759108862901286,0.5976004961936688,0.7562609913148216,0.7571819517950757,0.05612334744543466,0.049388953018933535,0.4275383137054805,0.42753831613472293,0.14483946026832328,0.27379209370424595,0.14296242150757907,0.08360202752479973,1.2795676423146016,,0.5781578780363653,0.025280710230669697,0.2771937517777322,0.08927929256622863,,0.35627370596030306,0.17068851379733035,0.12940557985353068,17.21741937207683,0.9999999999978677,,
hospital2_slide22,7.310949978715785,-0.25175684690475464,6.110511475402646,6.110511475402646,0.0010407148220110685,0.0,0.007776900227971709,0.002180814027887834,5.732672501947443,12.302255070113231,12.408991080027675,6.1879081008584835,3.178439761690327,13.851291529530695,0.0028513917106920417,-0.0013313868164459564,0.0019138935197410675,0.03833276234360802,0.024194693192839622,0.2547326683998108,1.599694013595581,22,0.0006855196659030823,-2.3080059437691723e-05,0.030179461640764696,6028.086811154978,4.209102159228007,3.368301997271142,0.23446873889990127,96.1875,0.01258148949806983,1980296.9965650311,0.0008785917499946796,0.8373503476204472,2.7278587718515817,0.005254893133534847,0.1420037591002123,0.0020183473620509432,0.5383598688809642,0.000460130742356883,-1.5491686841318376e-05,0.013596720125442593,2950319.119857443,0.0005897235282029832,0.005254893133534847,0.09531498347750378,,2.090417365252506e-05,6.110511302947998,2.656524181365967,0.6865984797477722,1.0,0.0,0.19211065808798589,,,,,,0.9999999999971653,0.0,0.0006860037886170708,0.1572817089052918,0.05079880306937763,0.014134304096366805,0.0,0.22146606669048213,0.0,1887.6195759728425,2.6544897200581765,0.0,0.5445230156488052,0.9999999999989999,0.0,0.0019446725970212089,0.44585967948862004,0.05079880306947082,0.014134304096366805,0.0,0.221466066690482,0.0,665.8777331303166,2.6544897200581765,0.0,0.5445230156488067,58,204,0.12341197822141561,1.0,0.5222160195856824,659.6663119795418,0.00012357861299165117,1.4261360976141075,15,29,0.2761904761904762,1.0,0.5356154836160151,801.191890655095,0.00027798875394976694,0.14946870684573316,0.21219759777008004,0.11869186298519713,1.4196790903469143,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.029568986967206,0.35276055335998535,0.04091236740350723,0.024194693192839622,396,0.17686139304542978,0.1933942519275945,0.1932698318315578,0.05767894619097031,0.025245269644074142,0.1352391883584231,0.1352391887426605,0.5963310781100432,0.5292867086759675,0.5368006894067825,0.05289437640118901,0.02236413036007434,0.42574041921798017,0.42574042163700715,0.07655327533157903,0.2287390029325513,0.32499074079605067,0.170099064773609,1.244502865489066,,0.8102260218382786,0.04501746169289642,0.29245572932834396,0.11008925538439683,,0.4062836285912636,0.26341887979260786,0.19026714882404058,17.25982921115789,0.9999999999988213,,
hospital2_slide23,7.364896739868646,-0.4881095886230469,5.096441961984877,5.096441961984877,0.00043858772551175207,0.9462568163871765,0.005971483761081583,0.0019345885397576978,16.67770021708741,42.13155109872238,38.52511426070053,18.364267115229204,7.726997684243403,98.18420212007774,0.002266125443554756,0.0006125331920543431,0.001994758421025754,-0.021148303120389778,0.08418788760900497,0.2215661257505417,1.6076340675354004,22,0.00010268018963990057,-0.0002761993274504358,0.059937901395630114,6352.43739173038,6.74593538194453,2.8463841346949694,0.28526664239838867,171.1875,0.002849997000068218,6352736.914042919,0.0005767405268073852,0.5703192351341556,2.249512051247629,0.005921662971523813,0.2263306920359679,0.0022311612385855087,0.6695142892521649,9.038481221345434e-05,-0.00024312600913850707,0.04644287639623113,7216922.948554468,0.0005076790849507812,0.005921662971523813,0.19922885468472895,,5.9122285165358335e-05,5.096442222595215,2.5748214721679688,0.6722610592842102,1.0,0.0,0.18277745665696504,,1.0,,,,0.9999999999968492,0.0,0.00010275816462752851,0.23396181932244753,0.008490409434735837,0.003116732890038164,0.0,0.2795446676588396,0.0,4013.7463494448384,2.2494194830865517,0.0,0.6687515235831558,0.9999999999989999,0.0,0.0003237822616577752,0.7371938500105502,0.008490409434754096,0.003116732890038164,0.0,0.2795446676588393,0.0,1273.8350953436573,2.2494194830865517,0.0,0.6687515235831575,65,226,0.10865384615384616,1.0,0.33482636209462324,1123.24265179984,6.251560881068285e-05,1.6366425360812922,21,36,0.17142857142857143,1.0,0.2512483269390584,2029.2924209473535,8.735807022157119e-05,0.10096103437312541,0.1311982147727917,0.07020445710717288,1.2994935678641883,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0851927250623703,0.3173680901527405,0.09106423705816269,0.08418788760900497,431,0.11198557298461076,0.6567240675267276,0.6565202308357445,0.09405045385412342,0.07770198630169034,0.08471778843399874,0.0847177886746963,0.608630685539238,0.7285814407207185,0.7294428320554056,0.09300694628559154,0.07770198630169034,0.4360871593492168,0.4360871618270333,0.08993122444433604,0.18614130434782608,0.37503345749676464,0.17645171309499524,1.2040202600383578,,0.5757472006858594,0.13391521911626816,0.3240253154603008,0.08692542330403032,,0.44714163546089924,0.17102700339073781,0.13009884767809843,19.446579111973765,0.9999999999984803,,
hospital2_slide24,7.293955865745301,0.09453345835208893,5.590469899247408,5.590469899247408,0.00014352261496242136,0.8349072933197021,0.005489475566469969,0.0009204041901611504,5.821885487963742,13.31382880001338,12.452919288370527,6.381609393536999,4.348033057311673,-14.478430322603453,0.0012181273336580034,-0.00034524445160855066,0.002155615473550108,-0.007633570893566,0.053633421659469604,0.18357010185718536,1.6298165321350098,22,0.00017718387958519545,-3.2772961678771776e-05,0.024345946603966342,6761.869535970021,5.616257981804749,2.7088181412008723,0.25057429121680896,266.56,0.002470687918797279,9000181.076978913,0.00029916118417169704,0.434610222424736,1.9634356419853634,0.004827673061584316,0.14769791304210012,0.0017911737895119698,0.6927890252627935,0.0003135482529464256,-5.799571190267497e-05,0.07624072243384657,5085938.083835211,0.0005294018110064806,0.004827673061584316,0.26136927142033944,0.984612226486206,7.928808190627024e-05,5.590469837188721,2.396617889404297,0.7277789115905762,1.0,0.0,0.10959121537511012,1.0,,,,,0.9999999999945723,0.0,0.0001773112035234386,0.15200959448079882,0.011708262966306685,0.002729596265172533,0.0,0.23726199035647394,0.0,6488.701277569148,1.9683687039142161,0.0,0.6919178934917326,0.999999999999,0.0,0.0009623879878896198,0.8250590197643997,0.011708262966358525,0.002729596265172533,0.0,0.23726199035647377,0.0,1195.4839911840347,1.9683687039142161,0.0,0.6919178934917367,69,266,0.113384484228474,1.0,0.4047195756471277,1233.5405565562305,5.770630306229822e-05,1.7204628236226644,15,29,0.2761904761904762,1.0,0.40668562111390344,1652.8680520794035,0.0001602468977894842,0.08150453882784385,0.09901631877474572,0.05208688520194242,1.2148565000029108,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.054955679923295975,0.18424087762832642,0.05897670239210129,0.053633421659469604,429,0.170503800685844,0.7180824040069438,0.7179810388828146,0.05637650415895481,0.04714752035215497,0.1278278007535925,0.12782780099574134,0.600499605490946,0.7489222212050449,0.7485943860262964,0.05591175809311672,0.04714752035215497,0.4289412534059157,0.42894125584267917,0.15170030012968344,0.24428571428571427,0.09874700268182174,0.05523006709418124,1.3370786250085023,,0.17658715480931128,0.02392923535185176,1.1514464454980973,0.07645496641848548,,0.2774979842412138,-0.03335059170991057,-0.01866028708133971,18.418575344333398,0.9999999999972238,,
hospital2_slide25,7.390861447628456,0.03240979462862015,5.929765677657227,5.929765677657227,0.0008152388618327677,0.0,0.01298169038181651,0.003434468192679674,8.29026493381523,22.09974384870361,18.292694039047635,9.135935788032073,4.7271755207052815,61.71360506664812,0.004303977204472176,-0.0033804819013312226,0.003408215976605256,-0.1310988723682852,0.05727503448724747,0.21338637173175812,1.6244441270828247,22,0.0005142090325646139,-2.5317728108728977e-05,0.039569702497840545,7399.849336395146,4.992637145255896,3.208374434897826,0.2638691345989591,290.0,0.003971738500124031,3023078.6274754694,0.0006858914479748877,0.6723370098156282,2.5719573188972684,0.004446608244076599,0.17941388133356428,0.001648857471642282,0.5715215747022587,0.00040719360803862556,-2.0048697828533777e-05,0.02481334271672523,3817580.3723776615,0.0005431460681243555,0.004446608244076599,0.14207487566847868,1.7821694612503052,7.396412547677755e-05,5.929765224456787,2.6338882446289062,0.7069915533065796,1.0,0.0,0.1532100977982942,,,,,,0.9999999999968066,0.0,0.0005170576666753009,0.1857655180313112,0.09169737714221118,0.0042230279775459555,0.0,0.25645063553173914,0.0,3005.2644646342164,2.541926406217951,0.0,0.5780809504054426,0.9999999999989999,0.0,0.0016512278757827622,0.5932436969842871,0.09169737714241231,0.004223027977545954,0.0,0.25645063553173925,0.0,941.0542630824685,2.5419264062179505,0.0,0.5780809504054443,64,243,0.12053571428571429,1.0,0.4178824391256493,1009.0862608356616,8.005356595721736e-05,1.5322640225936863,16,28,0.23333333333333334,1.0,0.47317129033411165,1074.5740124144963,0.0001961236346892603,0.11316643747485278,0.17728476996573012,0.09726410743953512,1.5665843506395203,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0589810311794281,0.3131352663040161,0.06528419256210327,0.05727503448724747,419,0.13492858971960414,0.7037767048370486,0.7036404739333771,0.0638371956151119,0.05078913317993283,0.10248455696833125,0.10248455725955502,0.6155677102614088,0.7671590952443234,0.7696302889140992,0.0628491435606679,0.05078913317993283,0.4415287929868697,0.44152879549457474,0.09996666034637437,0.23706896551724138,0.23216370523315374,0.09025374058761633,1.1745082082230756,,0.37388764233702226,0.022002176867159523,0.4809208602171707,0.08861978227179079,,0.4522575997112221,0.22370857665707483,0.16378444186339403,18.311355098012783,0.9999999999986152,,
