model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,test_id_acc,num_edges,total_nodes,middle_layer_entropy,longest_path_to_logits,circuit_instability,normed_circuit_instability,weighted_shortcut_score,early_to_deep_edge_importance,path_depth_entropy,logit_contribution_ratio_deep_vs_shallow,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,object_edge_score,bg_edge_score,object_vs_bg_diff_mean,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy
10,False,0.0,ViT-B_16-scratch,False,0.009,0.7398373484611511,0.5525000095367432,140,48,6.9689776339803755,3,2.579180069517406e-08,55451600.0,16.92861557006836,0.0001756667479639873,1.1154803037643433,0.5125444907867331,0.22270916402339935,1.6596641540527344,10,0.0064724041149020195,0.006807923316955566,-0.04453349742935389,0.00017543277431544154,-1.9283608175243983e-05,0.0007574775793137935,1407.3846995032784,3.5674826867344036,2.8994465975510106,0.3178164686117174,42.0,0.08665463152143292,4729669.329528666,0.00034859720119181237,13546,0.7922490776584045,2.5883791419900057,0.010975562750539625,0.019680562456554078,0.00640684669939989,0.5492061537280616,0.0011061556205059248,-0.00012158887943597495,0.03011485524804448,750110.554564702,0.002198008651055019,0.010975562750539625,0.12409177711045627,0.3952384293079376,0.0007184301503002644,5.285787582397461,2.815992832183838
11,False,0.01,ViT-B_16-scratch,False,0.009,0.724593460559845,0.5525000095367432,136,49,6.962527894206739,3,2.8199995227851105e-08,70935312.0,17.151470184326172,0.0,1.3441076278686523,0.7510244138730133,0.22118063271045685,1.7076276540756226,12,0.003227180102840066,0.0033839819952845573,-0.042077902763506585,0.0001415199192999144,-3.6296881148345647e-06,0.0004073367312777966,1421.6851647882152,3.802902706596674,2.940431083807519,0.3027196449347644,90.25,0.0820434147727656,6211201.546005792,0.000289330831885284,3255,0.6783389688271667,2.501150381559939,0.006522289766970619,0.015939299645743338,0.00425492166563595,0.5170978776757196,0.001072288624414414,-2.750194849534247e-05,0.023385239207970407,819750.1325425588,0.002192243746482628,0.006522289766970619,0.12077119240419379,0.36392930150032043,0.0005558076081797481,5.352417945861816,2.839909315109253
12,False,0.0,ViT-B_16-scratch,False,0.01,0.7357723116874695,0.5537499785423279,137,47,6.920201257643225,3,6.33907077940421e-08,141981280.0,15.983246803283691,0.0,1.3408043384552002,0.7954516453666242,0.21443526446819305,1.7054460048675537,6,0.004847529344260693,0.005056828260421753,-0.04187052938928117,0.00023385659610097425,-1.3640530064127992e-05,0.0013268871277219924,1415.0500341709633,3.780513660705138,2.8686211424133514,0.301603005648739,72.25,0.07679966281563115,3359720.181281169,0.0005105353882655292,5935,0.6899349395956706,2.4247141503105194,0.008695652173913044,0.02915826176551796,0.005338869407453621,0.5420316604752025,0.0011222927654401691,-6.546178787576414e-05,0.030559558660156583,700078.211310512,0.002450092051546094,0.008695652173913044,0.13993236631182931,0.3889736831188202,0.0006813441286794841,4.411489963531494,2.810154438018799
13,False,0.01,ViT-B_16-scratch,False,0.01,0.7276422381401062,0.5550000071525574,137,44,6.920626635681875,2,2.9673453028067343e-08,71515288.0,16.138845443725586,9.530577517580241e-05,1.0060253143310547,0.6902462558393285,0.21530473232269287,1.687071442604065,18,0.0051685599610209465,0.0054540857672691345,-0.045374927141732586,0.00017744340187014957,-1.9026608378564164e-05,0.0007100369881034966,1511.8333274725796,3.331963280647645,2.887979182148191,0.2983428705837935,42.88888888888889,0.08030617695589691,3516107.307198603,0.00029428326636317766,7704,0.6848278085952076,2.4959340474540754,0.010935769656699889,0.020350839613620234,0.006014717209957881,0.5385704035076673,0.0010976309574629423,-0.00011769497491228675,0.027169020428503908,568415.1168695276,0.001820380059755102,0.010935769656699889,0.1258864065405485,0.3970404863357544,0.000617155572399497,5.066264629364014,2.8192336559295654
14,False,0.0,ViT-B_16-scratch,False,0.01,0.724593460559845,0.5537499785423279,138,46,6.948417390939586,2,2.711473712224688e-08,70157328.0,17.287633895874023,8.223023905884475e-05,0.8918992280960083,0.5071859072440531,0.2155744582414627,1.6738067865371704,18,0.007363195065408945,0.007746626622974873,-0.043998319002037045,0.00015491271151882872,-1.8515341520191828e-05,0.0010349482080535312,1468.4187835742464,3.249813727988783,2.857965192607878,0.26236712823296365,100.0,0.08453100740625925,4240436.805087641,0.0003459865213563027,3012,0.7138023389716008,2.5070186200132527,0.007861220904699167,0.02327767980496543,0.004719435154217763,0.5725565245761731,0.000958611978152662,-0.00011457434541117372,0.03963055609430262,685259.1096473021,0.0021409915667083474,0.007861220904699167,0.14404409660077183,0.40148013830184937,0.0008974777301773429,5.416225433349609,2.800434112548828
15,False,0.01,ViT-B_16-scratch,False,0.01,0.7347560524940491,0.5649999976158142,131,47,6.9416288145027,3,3.131886927576488e-08,68421712.0,16.565357208251953,0.0,1.3037744760513306,0.6263332518520417,0.2147243767976761,1.6916697025299072,6,0.0033776937052607536,0.003542044200003147,-0.042675844876915656,0.00015251055621612206,-3.0194462031669776e-05,0.0007834209462927804,1415.3465250139616,3.805717287084826,2.8178189518446315,0.31700829577246803,72.25,0.05786887053004753,4840289.201244125,0.00032313788625447013,8170,0.6900557728749677,2.393056687894164,0.009990749306197965,0.02233725581246984,0.005901799224089094,0.5797224537647839,0.001026300891972942,-0.0002031898895891789,0.03547682759646621,719277.5650645299,0.0021745163452928707,0.009990749306197965,0.15031579479128787,0.40029996633529663,0.0007283267332240939,4.683326721191406,2.812432289123535
16,False,0.0,ViT-B_16-scratch,False,0.03,0.7215446829795837,0.5849999785423279,129,46,6.942039417429806,2,1.6565476101959575e-08,46898960.0,19.505294799804688,0.0,0.987616240978241,0.7037744519839904,0.22308549284934998,1.6822608709335327,6,0.0029222487937659025,0.0030655348673462868,-0.044318422966001136,7.231702851669636e-05,-9.317543489527695e-05,0.0005008888385990189,1293.5723281817009,3.373938928561053,2.779236896294081,0.2729630110850455,64.0,0.05659611668899587,5538383.969686931,0.00028823058368781005,2693,0.7078761619171924,2.487625701267197,0.007674571805006587,0.01716264691924589,0.004914073018135741,0.5317094004124271,0.00054675587250498,-0.0007044567924019673,0.028631701288682355,732537.9980374755,0.0021791793241228564,0.007674571805006587,0.12975890250550576,0.3999251127243042,0.0006350937183015049,5.865687847137451,2.86483097076416
17,False,0.01,ViT-B_16-scratch,False,0.03,0.7164633870124817,0.5612499713897705,138,47,6.9464161106113735,2,1.8840498938743622e-08,42652676.0,19.250713348388672,0.0,0.8935654163360596,0.4034010797507929,0.19421356916427612,1.622389793395996,10,0.004319986794143915,0.004579342436045408,-0.047027311155806106,0.00013115908957933578,-9.407611104926821e-06,0.0008404652022786197,1504.519657589094,2.692876269662993,2.7147611660583997,0.2505667550932987,56.25,0.07410435279469355,6020709.602103431,0.0002601357071509582,5365,0.592114021742896,2.2512696496782354,0.009250693802035153,0.022637701650127205,0.0054530405569891425,0.6031174241777735,0.0012472573449646197,-8.946166750841865e-05,0.07600376229649564,633125.7875875887,0.0024737604843344018,0.009250693802035153,0.21527322062581505,0.39124566316604614,0.0018789177993312478,5.2247233390808105,2.7052152156829834
18,False,0.0,ViT-B_16-scratch,False,0.03,0.7215446829795837,0.543749988079071,157,44,6.906521741951806,2,2.0006625689461544e-08,39256072.0,23.163555145263672,0.0,0.6620646715164185,0.10658987071764456,0.2169431447982788,1.7191046476364136,1,0.013871950097382069,0.014607722871005535,-0.04540448669222465,0.0001568979870755229,-3.7269683525888815e-05,0.001943734465752692,1962.6770306556048,2.4631332005196875,2.721928903507936,0.2750874156500052,81.0,0.097166163354989,3676106.250597333,0.0002374266296332007,7325,0.7207727605965256,2.4064059293772067,0.006845867310983591,0.027808597477924996,0.004084509067897773,0.6369964446922318,0.0013040929689760112,-0.0003097753710840966,0.13428247362562679,442279.55053121585,0.0019734249981642007,0.006845867310983591,0.23113743387806968,0.42747288942337036,0.00260800844989717,6.738966464996338,2.576993942260742
19,False,0.01,ViT-B_16-scratch,False,0.03,0.6930894255638123,0.5600000023841858,142,49,6.950057673499622,2,1.8993405959122356e-08,46433988.0,17.513988494873047,7.187631854321808e-05,1.019660234451294,0.5650920402649566,0.22424830496311188,1.6936477422714233,6,0.003848928725346923,0.004039586056023836,-0.04193868627241621,0.00015994940162302162,-3.879365015564982e-06,0.00044742891471890103,1576.4720966298955,3.3581137358345394,2.939285584333552,0.2815264149732659,72.25,0.09517444186810858,5623606.865591505,0.0002816728483532618,4173,0.6621044446862024,2.5138097606257954,0.006757490230134606,0.016341589101693366,0.004129349581559243,0.5085453378115916,0.0013007604035329147,-3.154824074600793e-05,0.02959057748584106,691512.8558105718,0.002290654978918808,0.006757490230134606,0.13289510506525123,0.3775213658809662,0.0006813060026615858,5.684186935424805,2.811032772064209
