,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_43,test_alphaReQ_location_43,test_ATC_location_43,test_EMD_location_43,test_AC_location_43,test_ANE_location_43,test_acc_location_43,test_f1_location_43,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
14,14,14,6.846375815352188,0.049350943416357,3.006098662345837,3.006098662345837,1.842484743974637e-05,0.9109451174736024,0.1020307468665353,0.0704021241997041,10.965559185789507,110.4058552966216,34.07656323036123,7.727718882902407,2.2930059238645786,0.0337730041449373,0.0517356008855721,0.1152390471640801,0.1958098642898871,0.0001854269538199,1.381536159007323,1.3019664369634365,1.7581301263707296,1.5772546263694227,1.928820263928695,1.5859711295253496,1.8031467746315188,0.0009374085675233,0.0008933323092321,0.0322404044562917,0.0684643242863191,4.977511882781982,1.55051913912474,0.6704312562942505,0.2597417831420898,3.7927727699279785,1.5559197914445189,23.258706467661693,1.92107617855072,0.5709347128868103,-1.0395244359970093,0.1206467661691542,0.052836537361145,0.5127958357334137,0.590419336328114,1.101008246238267,0.8645670949861801,0.7049238718979902,0.5392187021643478
15,15,15,6.761277855852287,0.0665648579597473,3.1246777203503027,3.1246777203503027,9.850943570199888e-05,0.9860697984695436,0.0931624009577585,0.072375516295168,9.857403627770871,87.75267590869994,28.735196781899425,7.500067725747924,2.389868639614235,0.0402261448357207,0.0571262999174677,0.1151585252644892,0.197175358097406,7.938256859851833e-06,1.00950368504447,1.002497564535331,1.5960506003641657,1.4388611013273351,1.3243960765627725,1.250287146824942,1.3012567656575755,0.001106244037885,0.0009229847610185,0.0332902206077733,0.0521773393248868,9.782116889953612,1.503539802823147,0.6611909866333008,0.2407970875501632,5.708408355712891,1.460052613148358,46.14427860696517,1.924095630645752,0.5700418949127197,-1.1249979734420776,0.1082089552238805,0.0537447333335876,0.623298853635788,0.5572810618475696,1.1357204445497218,0.8562637128410704,0.6941848115708961,0.5583129976725769
16,16,16,6.56830018357408,0.0450780242681503,2.956236252767092,2.956236252767092,0.0,0.915974736213684,0.0800186192434583,0.066805723253748,12.611073381777148,111.0160901499061,40.26590692844743,9.229027225859287,2.6820486599269864,0.03620186552583,0.0530171787551896,0.1019593023531039,0.179731539971047,0.0001629423591325,1.3912858190500657,1.7687062590064584,1.93819588555592,2.2013732268867443,1.7647593237577064,1.4614382472725556,1.6971904248273126,0.0007348951384429,0.0006771374747316,0.0302468254126016,0.0545317460838106,7.526987075805664,1.6650082484081317,0.7392197251319885,0.3381116390228271,4.34688663482666,1.727811819610902,48.75621890547264,1.92014741897583,0.6123554110527039,-0.9949923753738404,0.1455223880597015,0.0677026659250259,0.3684448599815368,0.6602113017187993,1.3485327468748485,1.132901547421855,0.7572479366542647,0.5609583650813046
17,17,17,6.682483517899605,0.0850637629628181,3.381910279055099,3.381910279055099,0.0001106110557884,1.2177085876464844,0.1216002671659267,0.0755169265326847,9.916198448506252,105.87837082456684,28.898725900587927,7.459020379176298,2.367319657913576,0.0400035531653619,0.0586394160545875,0.116216799550151,0.198226136808421,0.0001013429190024,1.1027281250579537,1.2346300973792328,2.6088419198768804,1.694562383682477,1.450053674590872,1.300380752772821,1.4173987086877546,0.001430500854461,0.0013189484766158,0.0376289499165335,0.0648407196582724,6.257339000701904,1.574399010545966,0.6498973369598389,0.2197429537773132,11.55639934539795,1.3934168698589693,46.39303482587065,1.9281301498413088,0.5172526240348816,-1.2903748750686646,0.0982587064676616,0.0314691253006458,0.153251439332962,0.5865221330615455,1.4720017590626486,0.90700691205102,0.699451586351192,0.5570657713786658
18,18,18,5.132502954862057,0.0392430312931537,5.146512149623361,5.146512149623361,2.0367066099424846e-05,0.990054965019226,0.080053719060007,0.0749096022362281,6.363817667216787,21.42136758675996,14.395561819386243,5.416749073152538,2.124640570425747,0.17708221103145644,0.053791410200256,0.1125189639229181,0.1965280912007521,-0.0003421152481521,5.1084514191762525,0.4811480287204499,0.2859820579182312,0.5198227717505308,0.6704070972785376,0.7527795760109974,0.7801014410430261,0.0004434144242537,0.000441005238926,0.0401145565176777,0.0657668114626323,69.49268341064453,1.0646440972929987,0.7885010242462158,0.4316101372241974,43.57108688354492,0.927943564684753,32.46268656716418,1.9364227056503296,0.4939314723014831,-1.3540449142456057,0.2450248756218905,0.1440823376178741,0.9141066074371338,1.004826821889735,0.2685141623879284,0.4556124318978775,0.5187781245512513,0.5132179106450838
19,19,19,7.527691483258904,0.0344924926757812,6.362514473694801,6.362514473694801,0.0001196642369905,1.6294572353363037,0.1492069067573627,0.1154879236409655,17.3203934040021,281.0596396470423,70.35035268643688,9.001836901672874,1.2644026508007105,0.33280787398153255,0.1426927263164419,0.1657890497596387,0.2579253402477784,0.0016069888891419,30.905039653023866,1079542147.635948,38.46467970821242,29.50477591020574,13.636665411633633,7.006801990800102,27.78434845286035,0.0018300679023059,0.0017845249329067,0.0281245402384964,0.3212959939136949,69.49268341064453,1.0646440972929987,0.7823408842086792,0.3901507556438446,43.57108688354492,0.927943564684753,24.875621890547265,1.9323499202728271,0.4783634543418884,-1.4054968357086182,0.2611940298507462,0.149710938334465,0.8988918662071228,3.240650055152097,6.918299016080347,3.3092345120621283,1.001812739512596,0.4642937108260358
20,20,20,7.505899739329681,0.0376664139330387,6.519025171059663,6.519025171059663,0.0001443420842406,1.572396159172058,0.1341135764455068,0.1031074158888379,18.654670449186163,280.817607654899,76.05470452180748,9.632792031497186,1.316946597449598,0.3043502635051594,0.1248196417632423,0.1498307179972819,0.240842985601119,0.0015464118911978,37.910039100234926,1058924186.5091026,31.673704890646267,23.33089677547277,11.19596013590018,6.967349685259526,24.22118947794462,0.0018066058821062,0.0017524622880202,0.0246186635874509,0.3159454092336612,69.49268341064453,1.0646440972929987,0.8039014935493469,0.4272196590900421,43.57108688354492,0.927943564684753,32.46268656716418,1.9464527368545528,0.524388313293457,-1.2899227142333984,0.2761194029850746,0.1602088212966919,0.89615598320961,3.1571594369098164,6.10301257395101,3.204388793881842,0.9789921236009264,0.4497106745039023
21,21,21,7.51507366609728,0.0494877807796001,6.43621706877101,6.43621706877101,0.0001447346367058,1.5771336555480957,0.1510734397210507,0.1146657335979264,17.89971214225257,265.22746266545136,72.20817245580365,9.398063853638629,1.3296102572055055,0.3358089692420821,0.1399027494738697,0.1642664687560964,0.2564648758879654,0.0021722699169401,41.495108392535975,1501541111.7929034,34.32638682414003,22.06758635146464,12.190760963479464,7.248313488675035,39.38228958396969,0.0025019639435726,0.0024123179493216,0.0274952661504181,0.3136098683604026,69.49268341064453,1.0646440972929987,0.802874743938446,0.4247481524944305,43.57108688354492,0.927943564684753,31.218905472636816,1.943605303764344,0.5100866556167603,-1.3222501277923584,0.2599502487562189,0.1526737809181213,0.8955751359462738,3.328456203860738,6.750318765278238,3.3707938094723207,1.0347741638475207,0.4755112673239701
22,22,22,7.511576703314166,0.0457627288997173,6.426467559251037,6.426467559251037,0.0001363211631542,1.572399020195007,0.1511570899108282,0.1144256161113892,18.23999102046473,273.28518457777164,73.58658945009073,9.515353307609862,1.328885769641854,0.33834118065612884,0.140341325861199,0.1638015958129614,0.2551514856568372,0.0020131189213969,43.19052244536769,1387726952.088997,36.00177376345676,23.31877318217156,12.70794343355669,7.491825310890054,37.31081960788783,0.0023135657864941,0.0022391037574607,0.0278581509767506,0.312586640918571,69.49268341064453,1.0646440972929987,0.826488733291626,0.5438910126686096,43.57108688354492,0.927943564684753,44.40298507462687,1.9697943925857544,0.5598146319389343,-1.1818183660507202,0.263681592039801,0.1731408387422561,0.9064150750637054,3.3857262311443317,7.0268494373651205,3.4482717292840084,1.0448546589743115,0.473423862250558
23,23,23,7.5182276016643215,0.0596112795174121,6.608650297824118,6.608650297824118,0.0001499851205153,1.6119855642318726,0.150299059877586,0.1185417702954619,16.97194934780773,253.9985693967542,67.38953253697599,9.078080683553244,1.3233790673317916,0.3379495983641503,0.1429911699800865,0.1712762847697025,0.2655283265187525,0.0025762595597385,40.39879585460931,1769558686.646633,34.70485113303281,20.43581661532812,11.923774650395702,7.043862934880361,42.923856495395846,0.00298870606494,0.0028723828790759,0.0276232680933379,0.3130911334693732,69.49268341064453,1.0646440972929987,0.8151950836181641,0.4897706210613251,43.57108688354492,0.927943564684753,37.81094527363184,1.9510444402694704,0.5290617942810059,-1.2727973461151123,0.2549751243781094,0.1524896174669265,0.9009985327720642,3.2373695416354358,6.458259533242001,3.1794298737564857,1.034643940872806,0.487482534124193
