,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,model_id,AC,ANE,EMD,acc,f1,l2,ood
0,photo-train,7.515739847122223,-0.0072774249128997,-0.7154477394967066,5.222210875456124,0.000174490358404,1.3746850490570068,0.3611979626049966,57.14445306317962,57.14443788355918,58.113813429006434,135.51964152186105,396.9555658158386,-481.5509273201255,0.0022441472365244,-0.0021989343404129,0.0564100719785358,0.773642364728634,0.0010369953233748,0.2021921873092651,1.858241319656372,22,2.407311517916793e-05,-1.3125084685217078e-05,2.013751754295041e-05,1146.7625088597952,4.021047827513318,2.757131019652252,0.4266698798764404,0.888888888888889,0.0419276539522636,14896434.85393911,6.819472375420512e-05,1.0483595820524607,2.571385081142717,0.018060918060918,0.0031563395822845,0.0097816262864806,0.5524423364150293,0.0006051142685299,-0.0003299189181119,0.0127237795732737,592621.2775598388,0.0017141778350758,0.018060918060918,0.0793393833136436,,1.483906544308411e-07,2.490694999694824,2.971536636352539,0.6663297414779663,0.1663958122208121,0.8336041877791879,0.1376193346377832,0.3828833257125271,0.5268679538759978,0.0114109369349211,0.0124705949358966,0.0663671885406572,0.3548139471145723,0.6451860527439182,3.924906166456363e-05,0.0032274866739036,0.3395681865635642,0.0043735477346207,0.0530467236319737,0.291669003750142,0.4348494850578511,53937.79625532711,1.4504842684395058,2.74144525939897,0.5548423729605252,0.3548139471644231,0.645186052834566,0.0054943632204114,0.451806573798289,0.3395681866112731,0.0043735477346207,0.0530467236319737,0.2916690037501419,0.434849485057851,385.305413266341,1.4504842684395058,2.74144525939897,0.5548423729609038,15,18,0.1714285714285714,1.0,0.198097635120289,481.7510614426385,0.0003676279261498,0.5196857610139529,8,6,0.2142857142857142,0.75,-2.775557561562892e-17,502.8999475343618,0.000688931532762,0.0449762428653662,0.0740448554704591,0.115929325615571,1.6463103797288734,13,16,0.2051282051282051,1.0,0.0589423966605258,595.222261313617,0.0003295653789889,0.2268966882666749,19,38,0.2222222222222222,1.0,0.2038101610871169,283.0842808469821,0.00057451301705,0.8359332638607486,0.1122091665261693,0.0954939837702962,0.494538582221563,-0.204904627812016,0.0011504512513056,0.0071435142308473,0.0014620274305343,0.0010369953233748,107,0,0.5119217038154602,-1.3524099588394165,1.9913134574890137,0.5339805825242718,0.49981489777565,322.44194233989174,
1,photo-val,7.570644811910361,-0.006057524587959,-0.8238190000241213,5.379033634855692,0.0001468996670155,1.1609869003295898,0.3380060875144354,44.83423642301859,44.83423491481856,45.69672611339539,93.99837319572744,213.18756033989567,-216.18427151550503,0.0021729786451203,-0.0021147718403256,0.0521682795314411,0.9221144627665604,0.0010121164377778,0.2029795944690704,1.8575400114059448,22,2.4223310831859294e-05,-1.980668442483424e-05,1.852617642319916e-05,1025.7919299208966,4.123733251798551,2.706502215553304,0.4249364379015767,2.0,0.0439377969752285,10148527.715735162,6.79727451935116e-05,1.1032215135782628,2.5217320862040125,0.0190004887585532,0.0030152336154412,0.0106019433465085,0.551180973631885,0.0005815438671822,-0.0004755112132812,0.0106778487430939,422721.2343708832,0.0016318633523483,0.0190004887585532,0.0723885624361212,,1.437656322877956e-07,2.714986562728882,2.9588518142700195,0.6741364002227783,0.165455655331688,0.8345443446683121,0.1281794183561479,0.3957901322813281,0.512892840745885,0.0135765175108522,0.0149121090178975,0.062828400444037,0.3472759830273469,0.6527240168229111,4.562297466819306e-05,0.0031032356271316,0.2506711379404433,0.0029243539233963,0.0602935358004355,0.2777515836606788,0.4738392112868962,50676.878669664526,1.464001891492008,2.6489557653421985,0.5486830045328982,0.3472759830789991,0.6527240169199942,0.0067866234001345,0.4616203059180522,0.250671137977727,0.0029243539233963,0.0602935358004355,0.2777515836606788,0.473839211286896,340.6745616330147,1.464001891492008,2.6489557653421976,0.548683004533342,15,17,0.1619047619047619,1.0,0.1817420340781758,425.9960074733487,0.0003857070170757,0.5416695267953936,5,4,0.4,1.0,0.3984187417279168,547.4567232274296,0.0009133142014447,0.0276199269840422,0.0636383004883242,0.1005459154843794,2.304072002981475,14,13,0.1428571428571428,1.0,0.0485208284275493,516.2273933550847,0.0002980201280026,0.2222269732968836,17,34,0.25,1.0,0.2064545425989286,252.02509058263917,0.0007633692818598,0.8398327360949456,0.1206871179260433,0.102039688577924,0.5430804196969001,-0.3095005448975687,0.0011294052237644,0.0067224851809442,0.0014338191831484,0.0010121164377778,95,0,0.5141902565956116,-1.346685767173767,1.653610110282898,0.5365853658536586,0.5112013816833496,322.44194233989174,
2,photo-test,7.554244532676099,-0.004669458605349,-0.6604035874612615,5.211547891167345,0.0001317545793426,1.3800368309020996,0.3252042447705415,44.09250010372812,44.092499034604096,44.91189890699503,95.05083879309308,257.1405956936368,-225.9717437389677,0.0020657489966424,-0.0020125952670468,0.049684054436032,0.9321565934176164,0.0011281380429863,0.209928497672081,1.8533250093460083,22,2.2327636486459957e-05,-1.590913752648078e-05,1.9321977249347542e-05,1155.8450202956208,4.10457838976288,2.754937513850191,0.4344562452987318,14.0,0.0356893604978734,13283217.805523591,7.178574877119871e-05,1.1097199365921535,2.59587385673271,0.0185807656395891,0.0031562410914034,0.0099751011515717,0.5417945019695051,0.0005370128747967,-0.0003826384376131,0.0111772625600813,552282.5822534167,0.0017265540590169,0.0185807656395891,0.0759122927873067,,1.480886311355789e-07,2.3859033584594727,2.9691476821899414,0.6715204119682312,0.1599935919758944,0.8400064080241056,0.1379192100341779,0.400545053444595,0.5017609776069781,0.0163402433009842,0.0140796997483877,0.0672740258990548,0.3600482566105337,0.6399517432437348,3.6711739642220736e-05,0.0032076176722126,0.220131863420912,0.0,0.0517752239463505,0.2792772221689122,0.4526039882635758,55136.109111276375,1.4409934546554966,2.779086239467229,0.5490801599350865,0.3600482566626399,0.6399517433363489,0.0052906183861577,0.4622576101747991,0.2201318634527695,0.0,0.0517752239463505,0.2792772221689123,0.4526039882635757,382.59090617350006,1.4409934546554966,2.779086239467229,0.5490801599354761,15,18,0.1714285714285714,1.0,0.3201103642502017,465.0980434366776,0.0003784644442876,0.5623743825807652,6,5,0.3333333333333333,1.0,0.3513635367412925,538.4346032726891,0.0007428943042827,0.039804942358306,0.0605133454807201,0.0913143425026674,1.520247032039551,17,19,0.1397058823529411,1.0,0.1284017560898663,591.8347002743261,0.000257972104057,0.218054155239227,18,36,0.2352941176470588,1.0,0.2096391635943197,258.47593304124325,0.0007206068594131,0.8200310595868083,0.1193543846367266,0.1031193201719781,0.5473612025681559,-0.3271350515047116,0.0012144221691414,0.0069390260614454,0.001489964663051,0.0011281380429863,105,0,0.5196356773376465,-1.3326280117034912,1.6561341285705566,0.562874251497006,0.5296294093132019,322.44194233989174,
3,cartoon-train,7.53125401493474,-0.0025510692503303,0.1667244904036308,6.14563817109419,0.0004270194112905,1.4296741485595703,0.2914428068081801,25.727204132480026,25.727192559949607,26.2208311501131,45.37245559809607,102.42363751165524,-105.24822158788052,0.0022153431690412,-0.0021209019320167,0.0478624759824264,0.7651381821664807,0.0011121487477794,0.1962933391332626,1.8409866094589236,22,3.114136542208692e-05,-1.5920251198546844e-05,2.376563102608368e-05,1031.5234431129254,3.945155275160248,2.7818616240427256,0.3823661187471984,36.0,0.0476525068604115,13992928.988357048,8.263193851020213e-05,0.9794432568313683,2.4884936865930563,0.0131183815394341,0.0035147441283902,0.0077589551273761,0.5137581436155472,0.0006728106765554,-0.0003439577521037,0.0110932757210357,647669.4402972615,0.0017852669415841,0.0131183815394341,0.0759362153538862,,1.1537441935161041e-07,-0.7689045667648315,2.936232328414917,0.6995317339897156,0.2898548057730678,0.7101451942269321,0.1126131590129891,0.3431580690865699,0.5817004956840127,,,0.0751414352294174,0.3908621462431762,0.6091378536292515,4.497556084580897e-05,0.0036277752811158,0.2156193664181868,0.0082047439285485,0.0535950711683345,0.2828436632172157,0.4779239729702137,42833.50601119198,1.4485963346933886,2.683702627610302,0.515760757168796,0.3908621462926459,0.6091378537063474,0.0056997231565132,0.4597455682051607,0.2156193664454768,0.0082047439285485,0.0535950711683345,0.2828436632172158,0.4779239729702135,337.9920222343208,1.4485963346933888,2.683702627610303,0.5157607571691257,15,20,0.1904761904761904,1.0,0.4639272061672006,396.9933566215798,0.0004506449609126,0.5395939748522617,3,2,0.6666666666666666,1.0,1.0000000000000009,296.1086376527086,0.0033771389039074,0.023376953441381,0.1100977392611127,0.1635757903589474,4.709670126057651,17,21,0.1544117647058823,1.0,0.321297392050081,449.9041074555353,0.0003804918401899,0.2752587652925412,18,31,0.2026143790849673,1.0,0.1184528010842448,289.5170247175082,0.0005768755684499,0.7122550790499124,0.114659874420839,0.1040306736305548,0.416553036191164,-0.0202980227676826,0.0011971596395596,0.0078908326104283,0.0015129130333662,0.0011121487477794,103,0,0.5083643198013306,-1.3546987771987915,2.0362648963928223,0.6335106382978724,0.5607878565788269,322.44194233989174,
4,cartoon-val,7.576623758880601,-0.0002233391278423,0.9376027536866984,6.44480400559014,0.0003360247537784,1.5878028869628906,0.2491203615089871,20.894452066130373,20.894450152042456,21.31378738808517,40.19437483248812,86.07887515378948,-76.56072448004994,0.0021405407792371,-0.0020260104290628,0.0442805638061205,0.9302934299795332,0.0009984412463381,0.1937177777290344,1.8437488079071045,22,3.315140141295269e-05,-1.7198820670939876e-05,2.3472413728703815e-05,810.3235789914744,4.044445889874878,2.718034972361826,0.3876488621144207,16.75,0.0576083032093477,10097170.357133131,9.82261727341063e-05,0.7523837867030344,2.3313228577521485,0.0141209893048128,0.0035472519888105,0.0089663466701028,0.5024832815804198,0.0006857927138005,-0.0003557866401386,0.0100447634061474,488099.8899481962,0.0020319742302919,0.0141209893048128,0.0733808978658502,,1.367413489106184e-07,-8.150561332702637,2.909334659576416,0.7099442481994629,0.3742145960082821,0.6257854039917179,0.1084683688903423,0.3651527977257097,0.5604066908860391,,,0.0744405113882511,0.4417381397423502,0.558261860127225,5.057576351765437e-05,0.0037179466735565,0.2584555783111605,0.0107458624587911,0.0482462093370785,0.2118023083433171,0.4981071031046407,37548.48613077984,1.2631542133987688,2.581857216053041,0.5032807964748014,0.4417381397995163,0.5582618601994707,0.0065120752817083,0.4787184008230679,0.2584555783446078,0.0107458624587911,0.0482462093370785,0.2118023083433169,0.4981071031046408,291.61876557699406,1.2631542133987688,2.581857216053041,0.5032807964751939,14,20,0.2197802197802197,1.0,0.5330756418049506,251.02993337881563,0.0007600492342826,0.6213154831525546,4,2,0.3333333333333333,0.5,0.0,96.13740132850532,0.0053249422950568,0.0279603830904209,0.1178443944574955,0.1536191917938521,4.21469169704861,14,16,0.1758241758241758,1.0,0.2210917551821078,418.1320575421985,0.0004967417119995,0.242428744383898,16,27,0.225,1.0,0.1324157355013036,269.9277544829825,0.0006734089705581,0.6604430085529007,0.1060817959526173,0.1051404160968407,0.4375792822019138,0.0525289091165949,0.0011053020134568,0.0077664591372013,0.0014584265882149,0.0009984412463381,89,0,0.52409827709198,-1.32331120967865,1.7164479494094849,0.6478260869565218,0.5892211198806763,322.44194233989174,
5,cartoon-test,7.573062256620549,-0.00375218084082,0.3260073357389982,6.386520563578589,0.000360156984243,1.4219739437103271,0.2663636526782506,21.78112755447323,21.78112602834318,22.166029421657296,40.86885032206728,88.15458165853397,-85.43429831744164,0.002207371544955,-0.0021028343678608,0.0423116874362043,0.7400167422390826,0.0010291485814377,0.1983425021171569,1.833971381187439,22,3.347231968957442e-05,-2.605892047144817e-05,2.361397782207401e-05,996.1595765077304,3.957787603723693,2.821474244294948,0.3853824108177557,1.5555555555555556,0.0490401851166391,11052401.000828872,9.956433169045831e-05,1.1275691296955492,2.489496734300844,0.016044616044616,0.0034254672264038,0.0091263138138138,0.4828126590201761,0.0006416087787815,-0.0004995062483378,0.0086763713469433,576596.6903939937,0.0019084828946052,0.016044616044616,0.0656605191623753,,1.115122287842496e-07,-1.8995591402053835,2.934150218963623,0.7086033225059509,0.3166357371890285,0.6833642628109714,0.1182866470122524,0.3585747069030428,0.5752845744097695,,,0.0661407186871875,0.4136229248287255,0.58637707504726,5.7403192071946536e-05,0.0035547432245047,0.2002826564892319,0.0168726782089639,0.0494006167723389,0.2885306055244281,0.4967067673837489,35280.00112817353,1.599792988926033,2.626693525263263,0.4870312104180272,0.4136229248796044,0.586377075119389,0.0070721983894776,0.4379521138099798,0.2002826565138682,0.0168726782089639,0.0494006167723389,0.288530605524428,0.4967067673837488,286.3585789776764,1.599792988926033,2.626693525263263,0.4870312104183392,13,21,0.2692307692307692,1.0,0.3144104564581215,276.1071623747637,0.0008885594829931,0.5473078649292432,7,5,0.238095238095238,0.7142857142857143,0.0,404.5720961785135,0.0010259023277371,0.0473605612890226,0.1168544627586657,0.164231487938056,2.4673369482584757,17,20,0.1470588235294117,1.0,0.2293047829665951,398.186899615524,0.0004689405009973,0.2708892904451369,15,24,0.2285714285714285,1.0,0.1390547207547991,250.491462953674,0.0008265072400461,0.6361309546719034,0.1323012015736812,0.1272957485818639,0.4883958363812691,-0.061996338138278,0.001131011522375,0.0081167398020625,0.0014742303173989,0.0010291485814377,99,0,0.4933625161647796,-1.3768694400787354,1.7168859243392944,0.6239316239316239,0.5398983955383301,322.44194233989174,
6,art_painting-train,7.51197678505047,-0.0028963724616914,0.1285979633059073,5.372814860337488,0.0001754906606947,1.3547706604003906,0.3219094998328311,37.57630965751043,37.57629744506277,38.44728271292335,73.18541588502877,115.98020640106586,-261.46823821553124,0.0022937396543767,-0.0022254227032618,0.0538112240116872,0.8796580091505898,0.0011439463123679,0.1973958909511566,1.8497412204742432,22,2.379402473891877e-05,-1.8919133267464768e-05,2.5523280443654064e-05,1191.7092973229371,3.890161714297021,2.787339071562406,0.4146582195492338,30.25,0.0468984338148146,12757220.942274688,7.349105902352124e-05,1.033551464022315,2.540433481489615,0.0169669669669669,0.0036347836881655,0.0091663091663091,0.5444432001878428,0.0005582107699964,-0.00044384522778,0.0140474371331466,543783.1809342783,0.0017241093689906,0.0169669669669669,0.0852724750661613,,1.478968982837614e-07,-0.7131936550140381,2.952341318130493,0.6796675324440002,0.2250941758268303,0.7749058241731697,0.1103666315670505,0.312276537158781,0.6091428320283153,,0.0153114766721442,0.0632691541407594,0.4093952725209844,0.5906047273560731,4.578897186871564e-05,0.0037165625809218,0.2522736357101806,0.010587465645742,0.0612600467615874,0.2740757324428607,0.459769284139997,44065.967498460814,1.565049529440511,2.686025987090948,0.5423108503534536,0.4093952725709051,0.59060472742809,0.0056015478326779,0.4546619463277044,0.2522736357409422,0.010587465645742,0.0612600467615874,0.2740757324428608,0.459769284139997,360.21032158001725,1.565049529440511,2.686025987090948,0.5423108503537686,15,20,0.1904761904761904,1.0,0.3414449680387325,360.59973233952303,0.0005057195521999,0.6053770930401621,5,3,0.3,0.6,5.551115123125783e-17,373.19521498137016,0.0017402059436096,0.0221710094700893,0.0960695837943804,0.1327629017540854,4.333117259454824,13,15,0.1923076923076923,1.0,0.232210247779939,449.1509767486237,0.0004580890594725,0.2292014671351568,18,37,0.2418300653594771,1.0,0.1551576357582272,291.63630923257847,0.0006037949432142,0.7616433785114127,0.094733942127209,0.0872658375367504,0.4133217091116866,0.0070000890220461,0.0012423302978277,0.008174343034625,0.0015872266376391,0.0011439463123679,109,0,0.4955305755138397,-1.396188735961914,2.014557361602783,0.5462287104622872,0.5154700875282288,322.44194233989174,
7,art_painting-val,7.558397211084015,-0.0002528056502342,0.3191193541974348,5.8219817110572745,0.0001752047810441,1.349496841430664,0.2666516273010115,29.807562566553237,29.80756239613209,30.45731520936802,56.95292025021983,95.77404898174368,-160.9948582395134,0.0022578738256555,-0.002174926068406,0.0472520626684213,0.9330394747888352,0.0010161007521674,0.1986250132322311,1.848052263259888,22,3.0057578727179776e-05,-1.6024085162160592e-05,2.5861970201171696e-05,1039.3545793072938,3.785575960317413,2.7328716138512084,0.3928328312641724,6.888888888888888,0.0560541414588023,9958082.35456744,8.23099870139427e-05,0.8690643125898528,2.3269945896494963,0.0147615864527629,0.0038544965276982,0.0085618386619638,0.5272220214234864,0.0006290349004245,-0.0003353466290162,0.0113266920607139,475833.45385617536,0.0017225557096022,0.0147615864527629,0.0806656061814851,,1.5931759378418064e-07,-2.674476861953736,2.918268203735352,0.6882330179214478,0.3133821634694695,0.6866178365305304,0.1132047842029249,0.3795802620244263,0.5270260578824948,,0.0187826090556706,0.0746110710374081,0.4390189111935877,0.5609810886814879,4.6810355903644176e-05,0.0039739743168465,0.2720511516490927,0.012568074012093,0.0528503262451051,0.2255676850585814,0.5059110265754221,38689.783923819305,1.5030921108991782,2.4536191188215537,0.5283280451139466,0.439018911247983,0.5609810887509948,0.0057210749605916,0.4856917773696109,0.2720511516828003,0.012568074012093,0.0528503262451051,0.2255676850585815,0.5059110265754219,316.56333255276934,1.5030921108991782,2.4536191188215537,0.5283280451142949,18,27,0.1764705882352941,1.0,0.5179590372030634,338.8265130258498,0.0004801830556813,0.6640144037477301,2,1,1.0,1.0,2.0,153.41839249700968,0.013036246615861,0.0130362466158611,0.1018145570739375,0.1307216654456912,7.81011283953927,14,15,0.1648351648351648,0.8571428571428571,2.7754855546333046e-16,335.6010316863512,0.0006799789159152,0.3257162989842015,14,27,0.2967032967032967,1.0,0.1302761873593546,331.2538769222977,0.0007366636088819,0.6345813478477238,0.079511294328304,0.0764672154478538,0.2441121140583777,0.1230010093605315,0.0011492019984871,0.0081820907071232,0.0015301220118999,0.0010161007521674,102,0,0.4923156499862671,-1.406130075454712,1.6855885982513428,0.5522388059701493,0.5257198810577393,322.44194233989174,
8,art_painting-test,7.557577547609303,-0.0014949049800634,0.1284221331864531,5.237446730583528,6.42211307422258e-05,1.4024206399917605,0.2988723780190522,25.781692067668867,25.7816901387124,26.314636192293307,48.162376423628885,82.55454294430766,-134.01495603238644,0.0021981660894425,-0.0021091211850716,0.0479771706260768,0.8228743520684798,0.0012399903498589,0.2032065242528915,1.8685370683670044,22,2.3685944713508097e-05,-2.09722038019679e-05,2.49805195059888e-05,1110.9377183405886,4.037794913940079,2.747602941320135,0.4150210463005099,0.6666666666666666,0.0417608797377949,12238192.920880182,7.58144762931763e-05,1.0618547463015555,2.50949718001682,0.0187675070028011,0.003727035326147,0.0100555555555555,0.5473171714111652,0.0005169695012275,-0.0004577393862879,0.011900080071181,560716.1734651391,0.0016547269884049,0.0187675070028011,0.0813462838056428,,1.385951264865071e-07,-0.790611207485199,2.947045087814331,0.6877743005752563,0.210603917634591,0.7893960823654089,0.1280304665108635,0.3592155569408589,0.5578151749919207,,0.0134178014896459,0.0695514665775745,0.4183195272278689,0.5816804726463038,4.456913658417832e-05,0.0038471835480868,0.2434369394788481,0.0066249477863818,0.0591479770925184,0.3046055287202159,0.5023715437624884,44410.91908196699,1.559277023440106,2.696779882858504,0.5455647191448614,0.4183195272800842,0.5816804727189101,0.0055761863586915,0.4813333634971132,0.2434369395092342,0.0066249477863818,0.0591479770925184,0.3046055287202159,0.5023715437624883,354.96595541643995,1.559277023440106,2.6967798828585035,0.545564719145202,16,21,0.175,1.0,0.344748956515577,404.1725155846232,0.0004168429361791,0.6375172363201385,5,4,0.4,1.0,0.3694475541820799,572.4210614613166,0.0008734828846506,0.0320749661773838,0.0839868694020672,0.11145063940053,2.6184554314912045,16,19,0.1583333333333333,1.0,0.2421198581335333,498.7169321999681,0.0003556973441038,0.2632653595595198,15,31,0.2952380952380952,1.0,0.1850811773238604,244.32784781341655,0.0010807281815154,0.6855589194986021,0.1068048898201105,0.1011765238863255,0.4056929099932105,-0.1195964674316543,0.0013191950274631,0.0079927640035748,0.0016381093300879,0.0012399903498589,106,0,0.4983106255531311,-1.390461564064026,1.687692403793335,0.5714285714285714,0.5359162092208862,322.44194233989174,
