model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_hospital1,test_acc_hospital2,val_AC,val_ANE,val_l2,val_EMD,test_AC_hospital1,test_ANE_hospital1,test_l2_hospital1,test_EMD_hospital1,test_AC_hospital2,test_ANE_hospital2,test_l2_hospital2,test_EMD_hospital2,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0
39,True,0.0,ViT-B_16-mae,False,0.003,0.8212157330154947,0.821047842502594,0.784924328327179,0.7342511415481567,0.6859384179115295,-0.5992355346679688,624.4257915918512,2.3444273471832275,0.7102898359298706,-0.5696802735328674,624.4257915918512,2.348684549331665,0.6447288990020752,-0.6347909569740295,624.4257915918512,2.42950439453125,6.9686884364725525,0.15135374665260315,17.178300857543945,0.0008467372172162868,1.102502465248108,0.15649184009946956,0.000639780095081921,2.2656093280743375,2.2656540524658633,2.436930820459924,3.512905964996933,10.489154924339893,3.8269755588508723,0.0012318529811614631,0.0011485778861106688,0.015340803198768137,0.13036158120656158,0.002855782164260745,0.20340906083583832,1.7269352674484253,20,5.620181343247952e-05,-6.8333532379201905e-06,0.0001204429104455977,1730.8766204284416,5.1249204856388415,2.806038784663382,0.27991883790589245,6.5,0.012787332132096459,10222565.965620492,0.00010483802519183979,13116,0.8858355803837513,2.465081205865204,0.011929930534581697,0.009351009754809344,0.005990133897110641,0.5869400109367244,0.0006999063216493189,-8.50988091496876e-05,0.01867929274459091,820862.3320054943,0.001305594841363135,0.011929930534581697,0.11645230867870515,0.4898032248020172,0.00010997509525623173,4.8516035079956055,2.8735058307647705,0.6363601684570312,1.0,0.0,0.19828268957427378,0.0359812656410684,0.1322895335955403,0.49920328323336466,0.10588603867504584,0.04152174469849595,0.03438739123854603,0.04015971469932627,,,,,0.11057102821861255,29,74,0.18226600985221675,1.0,0.3758832633823008,344.4877277035364,0.00034643049312379896,1.5338184087603792,15,22,0.20952380952380953,1.0,0.24449305564142815,838.3248464193197,0.0002793412952793334,0.15651595754261569,0.15483281684850245,0.08391262226117205,0.9892462038980596,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0029286080971360207,0.01645616441965103,0.0034126320388168097,0.002855782164260745,147
40,True,0.0,ViT-B_16-mae,False,0.01,0.8471692491060787,0.8471032977104187,0.7934620380401611,0.7726385593414307,0.7684758901596069,-0.5001197457313538,624.4318331677308,2.345982551574707,0.7754178643226624,-0.4818769693374634,624.4318331677308,2.3508338928222656,0.7291654348373413,-0.5469631552696228,624.4318331677308,2.4303760528564453,6.986704345779758,0.2724452316761017,22.44102668762207,0.001195557058963459,1.2052034139633179,0.23662637004484488,0.001586298781560913,2.7418572488115505,2.7418873170729032,2.980905542642119,4.261932136648533,17.73810174088831,6.051014260254703,0.002714645592504894,0.0024499491112237592,0.016311235858096632,0.20179869225809616,0.002614819211885333,0.2036210298538208,1.7050788402557373,20,8.436831270264137e-05,-2.315844596534718e-05,0.00022089929907923389,1464.383804399435,6.803900307329696,3.0965453371614853,0.29870088805282197,17.84,0.016596949440840822,8916659.498356745,0.0002284208046119898,3648,1.1168764215508227,2.745353005084533,0.009585218702865762,0.01170422141431871,0.005500360679388814,0.4991480980388647,0.0005069384385938354,-0.0001391506708821634,0.007975282218275868,1483974.0927281808,0.0013724973654939173,0.009585218702865762,0.07032640069760997,0.14213711023330688,3.399401612114161e-05,4.910968780517578,2.9039652347564697,0.6526776552200317,1.0,0.0,0.21578914962794665,,0.12066694077418753,0.4571119977113367,0.16821167036764298,0.04972403491794536,,0.05422010909916193,,,,0.04468974549012669,0.1053755016395988,34,74,0.1319073083778966,1.0,0.29748100428036994,366.58423496918107,0.00025397540659578567,1.4791331414149254,18,21,0.13725490196078433,1.0,0.09788445587035953,1049.4234315539588,0.00015671630299014615,0.16088364666515298,0.17999160595996072,0.09889603067182394,1.118768810198448,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0028755965176969767,0.027432959526777267,0.003993741702288389,0.002614819211885333,150
41,True,0.0,ViT-B_16-mae,False,0.03,0.8670441001191895,0.8670427799224854,0.7904824614524841,0.8086627125740051,0.8115118145942688,-0.4294870793819427,624.4412200179012,2.3484861850738525,0.8109493255615234,-0.4229193329811096,624.4412200179012,2.3536109924316406,0.7773898839950562,-0.4771881997585296,624.4412200179012,2.4320526123046875,7.059532333673992,0.3284512758255005,24.99927520751953,0.0014009116639499553,1.1515787839889526,0.32390287140471175,0.0022880557642430688,3.2210461465428817,3.221077396093844,3.518506294037341,4.681474884549531,17.79929076876557,9.108980670420241,0.0036246096440777364,0.0032115118773958784,0.017394565436187674,0.24443636585034348,0.001821976387873292,0.20292295515537262,1.693587303161621,20,9.752479171754154e-05,-1.2206181420795444e-05,0.00020705992117264809,1316.1031345305237,7.236178091520378,3.1637850695073033,0.3321661438669139,18.96,0.02903121799772272,6391843.189574739,0.0002855534525236731,2754,1.2477653790394363,2.901164093088146,0.011949992763062672,0.01055514085883313,0.006705635009909476,0.4600417289553765,0.00046802367593307413,-5.85777436179395e-05,0.0047687179135293255,1331905.2212887057,0.001370377454544983,0.011949992763062672,0.05065435991027618,-0.057550717145204544,1.913127925945446e-05,4.706727981567383,2.912975788116455,0.653198778629303,1.0,0.0,0.254589216476695,,0.08016839337118058,0.40844350505026006,0.18508697219612488,0.04172116475333864,,0.0446634730012447,,,0.040295922583128634,0.050570167398666384,0.14905040164605615,32,72,0.14516129032258066,1.0,0.26429891853133336,328.983794032139,0.000330584262413808,1.4705854100833806,16,18,0.15,1.0,0.18432616655940487,705.3460784144066,0.0002476853926969846,0.17731734483123188,0.17604862254269377,0.09652045812104691,0.9928449058960044,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0023636959958821535,0.028885480016469955,0.003760343650355935,0.001821976387873292,138
42,True,0.0,ViT-B_16-mae,False,0.003,0.8213051251489869,0.8211336731910706,0.7852108478546143,0.7342276573181152,0.6860828995704651,-0.5991330742835999,624.42579537311,2.3444273471832275,0.7103299498558044,-0.5696408748626709,624.42579537311,2.348684549331665,0.6449046730995178,-0.6346750855445862,624.42579537311,2.429504632949829,6.9686834856705016,0.15160542726516724,17.18549346923828,0.0008478746385662816,1.1025569438934326,0.15658553331618097,0.0006408537946940296,2.265270709670465,2.265315340492918,2.4366563348049177,3.5128804118261074,10.492041780158164,3.82639413226793,0.0012341116037946076,0.0011505882028630676,0.01534408130003229,0.13042640754228924,0.002857754472643137,0.20341037213802338,1.7268874645233154,20,5.628548824318649e-05,-6.855073351663368e-06,0.00012069312518346196,1730.8761230015048,5.124988239330946,2.8063740768908327,0.2799288727835782,6.5,0.01279648472878977,10205532.099115219,0.00010500919593651137,13116,0.8859818072172585,2.4653419642150958,0.011929930534581697,0.009360014125921478,0.005990133897110641,0.5868046540337288,0.000699812243844283,-8.523093652908524e-05,0.018657469420063674,820824.9537006958,0.0013056068960097314,0.011929930534581697,0.11637551277712133,0.4893431067466736,0.00010982909589074552,4.8521928787231445,2.8735742568969727,0.6364127993583679,1.0,0.0,0.19827929221280968,0.03594377246974164,0.13233273759222064,0.498946753888217,0.10596709660112402,0.04157812664246714,0.03439988353250224,0.04017603265614522,,,,,0.11065559661758205,29,74,0.18226600985221675,1.0,0.37590813101114307,344.4233866620686,0.0003464638659090407,1.533724764073922,15,22,0.20952380952380953,1.0,0.2444591968035592,838.0715043887926,0.00027944782758872996,0.15653466336867158,0.15487028627870308,0.08393463349867009,0.9893673576564409,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.002930679591372609,0.016477830708026886,0.0034154527820646763,0.002857754472643137,147
43,False,0.0,ViT-B_16-in21k,False,0.01,0.992938021454112,0.9929372668266296,0.9300366640090942,0.9336186051368712,0.9923129677772522,-0.0220084339380264,679.0792819339822,2.516334056854248,0.9635804891586304,-0.0883856415748596,679.0792819339822,2.560660123825073,0.9719148874282836,-0.072242148220539,679.0792819339822,2.534242630004883,7.3226763663878724,2.0040221214294434,41.32232666015625,0.0,1.3632967472076416,0.3040004790847003,0.017019894836352023,44.4856084170758,44.48669311547165,55.59401596053625,71.63991183245768,103.25583430519399,-184.09492575153575,0.021758453214800966,0.021568855620813565,0.055667307175506775,0.44474242558939114,0.011575505137443542,0.18567609786987305,1.7077761888504028,20,0.00011031471519651582,-0.00024676020447402447,0.0021439823376721576,1258.8181842171216,6.33745159533531,3.0294597929282183,0.4936144177427984,28.5,0.034200366280322476,3138682.8051958825,0.0007276035679172764,15509,1.5203304857635611,2.807933241073885,0.01690045248868778,0.03535092779498103,0.009468090120663651,0.5693053973099016,0.00028223095481618175,-0.0006313153152056423,0.014033422594898351,1226806.957564826,0.0018615127564126943,0.01690045248868778,0.09044238749104616,0.7436435222625732,9.051189408637583e-05,4.341278076171875,2.9103941917419434,0.6010996103286743,1.0,0.0,0.1497913894194534,,,0.2139132191114102,0.2651392725267684,,,,,0.014944558055881902,0.09590130994788863,0.21239433351367876,0.19770730684437213,28,59,0.15608465608465608,1.0,0.2760859262679291,379.4592577705543,0.0003679735867833892,1.1904348054397396,24,48,0.17391304347826086,1.0,0.3957665249896566,330.5805456523276,0.0004238300596305,0.6589033623978195,0.07533091608122061,0.039139671702857544,0.11432771538315327,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.01231724675744772,0.07858377695083618,0.015293693169951439,0.011575505137443542,138
44,False,0.0,ViT-B_16-in21k,False,0.03,0.9940107270560192,0.9940099716186525,0.9394338726997375,0.8813929557800293,0.994028627872467,-0.0171687435358762,679.0866753472516,2.4925549030303955,0.9704441428184508,-0.0741019546985626,679.0866753472516,2.4950273036956787,0.9774712324142456,-0.0561437159776687,679.0866753472516,2.5353498458862305,7.457234585699061,1.9946908950805664,30.235027313232422,0.0,1.43625009059906,0.9540320753213661,0.019473171410091084,88.07199811405835,88.07588359660463,100.67448455975484,154.49127776969868,270.52040619233077,-1903.3657197894763,0.022514274159902925,0.022231581582900617,0.115029201668267,0.33698047085738797,0.007188975811004639,0.1617906391620636,1.7433024644851685,20,4.626396905818104e-05,-0.00012034491628804624,0.0010497158444338125,1579.944772042097,6.133041700193729,3.151350882605551,0.48271702528860105,42.0,0.027405118877815573,7456402.987880706,0.0004190131701761857,135901,2.1994197315250217,3.267849631043935,0.015288330411065651,0.022243733789275015,0.008124220412356007,0.544320157002028,0.00023636932355237673,-0.0006148596087870775,0.027401112223079685,1459422.8784435412,0.0021407990252545186,0.015288330411065651,0.11364645990485099,0.5127153992652893,0.0002802051603794098,3.5360045433044434,3.039637804031372,0.5657393336296082,1.0,0.0,0.19435350099029486,,,0.38415700924351587,0.32492234657443914,,,,,0.004650556159058178,0.0468998678169836,0.10443489693829329,0.13493532326770993,23,46,0.18181818181818182,1.0,0.5592380750919707,550.7226364311423,0.0002588251607268407,0.7714838235563879,37,96,0.14414414414414414,1.0,0.3565982698417373,298.17499915575587,0.00033045208285866965,1.162417021947336,0.03304957724813817,0.01680244548406063,0.042838976319407654,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.007529144641011953,0.05533837154507637,0.009397253394126892,0.007188975811004639,159
45,False,0.0,ViT-B_16-in21k,False,0.003,0.9897794994040524,0.98977792263031,0.8913591504096985,0.9504197239875792,0.9887887239456176,-0.0328000076115131,679.0783797742678,2.4954986572265625,0.9555014967918396,-0.1066208109259605,679.0783797742678,2.5829806327819824,0.963447332382202,-0.095125988125801,679.0783797742678,2.557092666625977,7.3421020086122875,2.096259832382202,41.02880859375,0.0,1.3202307224273682,0.20141868286548503,0.016235897979242964,22.83425550871042,22.834557815906653,29.485774290915195,33.85854013870716,48.758480693606764,-74.12746141552108,0.021925239943357155,0.021453391356317297,0.03405901294701489,0.41989376457773475,0.01568187214434147,0.20732104778289795,1.6676733493804932,20,0.00021119191385453407,-2.487985453848975e-05,0.0032991523976375545,1353.059686493794,7.323024667875051,3.1632948589677437,0.5210100070317086,51.6875,0.021061541873749423,2500517.632201532,0.0010488733813316658,27311,1.5478613358773048,2.9182978756605986,0.012230000853752242,0.0431985782621887,0.006969867642917489,0.5051835676158616,0.00032807005887453385,-3.8648899417632616e-05,0.007961244744064636,1609683.9650872531,0.00162934243221749,0.012230000853752242,0.06710559763922212,0.9702629446983337,4.881479253526777e-05,4.534936428070068,2.876887798309326,0.6067885160446167,1.0,0.0,0.1564974872627978,,,0.14360021909909865,0.21827851752263644,,,,,0.01998487652003103,0.13259814126429587,0.2548613414050579,0.23067690418888015,35,75,0.12605042016806722,1.0,0.2441696782436604,419.61795343411234,0.00026530051894682854,1.342028414877548,18,38,0.24836601307189543,1.0,0.415752895303729,385.74689271467486,0.0005307272164140153,0.5018275929906275,0.07807199606591193,0.04062170690374592,0.15557533534703433,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.016206730157136917,0.11156043410301208,0.01979992352426052,0.01568187214434147,143
46,False,0.0,ViT-B_16-in21k,False,0.01,0.9919249106078664,0.9919242262840272,0.8872908353805542,0.9416605830192566,0.9900462627410888,-0.0285864807665348,679.079232841822,2.499074935913086,0.9535031318664552,-0.1095263808965683,679.079232841822,2.531386137008667,0.9671738743782043,-0.084300547838211,679.079232841822,2.542567014694214,7.321539895841003,2.451319694519043,51.76576232910156,0.0,1.4048173427581787,0.22143866469237272,0.020370956482992142,40.097993706705594,40.098724577470946,54.605780235535704,71.74744264761088,128.80541302775586,1031.5996791750913,0.028450310968764825,0.027688299132933025,0.048407876739463195,0.5847082624436154,0.020810863003134727,0.19355498254299164,1.6738313436508179,20,0.00010873727903902833,-0.00011668636515517148,0.0050843236896000125,1282.763784170892,7.311841311500785,3.0051907522893457,0.5356039239873107,21.6875,0.023539933017774694,2281133.0782012767,0.0010029387214978902,65078,1.4391592717769934,2.7401323716678694,0.016494597839135657,0.057849594916088654,0.009221813725490196,0.5834262492482711,0.00018501693645273847,-0.0001985423404468476,0.014719709741503438,1340656.7400006698,0.0017065044495907118,0.016494597839135657,0.09843132942507357,0.9409536123275757,0.00010232195927528664,4.096020698547363,2.8591103553771973,0.586681067943573,1.0,0.0,0.14681218691327247,,,0.26805402017207053,0.22987929763379583,,,,,,0.056258736639029215,0.28421190966851956,0.16159603588658486,29,68,0.16748768472906403,1.0,0.2792407642370985,390.1227072802376,0.000368175548854843,1.2894070642716577,22,49,0.21212121212121213,1.0,0.47300649805709916,299.6522928952271,0.0005735055766320819,0.6387098421439368,0.035941546792202586,0.018299631934834262,0.0562721042023695,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.021314453333616257,0.11760792881250381,0.024916911497712135,0.020810863003134727,138
47,False,0.0,ViT-B_16-in21k,False,0.03,0.9941001191895114,0.9940994381904602,0.9372564554214478,0.8608648180961609,0.9939809441566468,-0.0176922287791967,679.086596486422,2.50981879234314,0.9719964265823364,-0.0698813647031784,679.086596486422,2.511221408843994,0.9730408191680908,-0.0664530470967292,679.086596486422,2.558075189590454,7.428752220224422,1.910527229309082,28.882278442382812,0.0,1.4658026695251465,0.6977761552207289,0.017797996493904122,82.80894414848562,82.81261849950603,97.26180098132107,156.23349864400186,254.8238602478639,-398.7350937690943,0.021158868108614115,0.020978010041289963,0.09834877763960129,0.3171339035450782,0.008966317400336266,0.15855135023593903,1.728817105293274,20,5.7953224788840434e-05,-0.00010829954422548532,0.0012004178957339088,1521.382904967128,6.011675953390563,3.0607339180225654,0.4887029681951773,89.55555555555554,0.021753638570572,6046431.339436515,0.00041296206848516714,89881,1.7063935866089786,3.050787921866781,0.015452140452140451,0.023964206839813575,0.00829256360078278,0.565555420276619,0.0002693743078783607,-0.0005033907150309675,0.025935198546299058,1300830.0532488916,0.001919502692955528,0.015452140452140451,0.11138882325445454,0.5488116145133972,0.0002893975761253387,3.634910821914673,3.011874198913574,0.560806155204773,1.0,0.0,0.18411746595944714,,,0.3855889739068716,0.26397519682720466,,,,,0.00825959065828592,0.04886467304394294,0.13833966955107313,0.1549718960126218,20,40,0.21052631578947367,1.0,0.51073303714366,444.42941413909506,0.00042593048053026373,0.8538369149604461,36,95,0.15079365079365079,1.0,0.33916963931502464,357.329384025992,0.00030302758131843223,1.0880461570604036,0.029058463989575074,0.014743442897040543,0.034032803548814945,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.009284012950956821,0.05758365988731384,0.011086094193160534,0.008966317400336266,150
48,False,0.0,ViT-B_16-in21k,False,0.003,0.9897497020262216,0.9897480010986328,0.8970891237258911,0.9500316977500916,0.9888297319412231,-0.032791007310152,679.0783509562247,2.4907126426696777,0.956136167049408,-0.105862058699131,679.0783509562247,2.588141679763794,0.9662888050079346,-0.0886837244033813,679.0783509562247,2.553954601287842,7.320374190917508,2.047719955444336,40.38859176635742,0.0,1.329248309135437,0.19531252578233782,0.01560511757326033,21.888729765191506,21.889014908184745,28.597735523930982,34.848210197865306,51.2972618268721,-75.70898719397174,0.02136390154464607,0.02105080780620483,0.03386580950981208,0.4151996797360445,0.016185175627470016,0.201680526137352,1.6573745012283325,20,0.00022602028392156687,-3.447986428860376e-05,0.0033551295083703754,1414.3672837504669,7.358698117111684,3.1564530447242327,0.5309517229557253,2.1875,0.018618911222777694,2478912.8040427566,0.0009694267734164589,52746,1.2532765698142792,2.96302034965287,0.011233956572469336,0.043892369012762375,0.006533853145890056,0.5129510851939533,0.0003582880621785332,-5.465758779645447e-05,0.008431000846984171,1563782.438705506,0.001536738352127088,0.011233956572469336,0.06957832129400951,0.986487627029419,4.28666862717364e-05,4.375766754150391,2.874244213104248,0.6057454347610474,1.0,0.0,0.18582191529758751,,,0.13748815213502108,0.22140204094466748,,,,,0.02137063701033318,0.1357921402716582,0.26802897126916,0.2159180583691601,36,76,0.12063492063492064,1.0,0.2380761879912177,440.8119474324242,0.0002247805560081418,1.3373569070634044,17,37,0.27205882352941174,1.0,0.4143142569796249,346.7058011641711,0.0006980770778581718,0.49245909717848196,0.08509199787905679,0.04443659840828348,0.17278998066354512,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.01674438826739788,0.11070504784584045,0.02028961293399334,0.016185175627470016,145
