,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift_x,shortcut_reliance_x,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_38,test_alphaReQ_location_38,test_ATC_location_38,test_EMD_location_38,test_AC_location_38,test_ANE_location_38,test_acc_location_38,test_f1_location_38,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
32,32,32,32,7.344049188100858,0.017900925129652,7.105725980928024,7.105725980928024,0.0003804896837209,0.9833265542984008,0.4591671695766793,0.0922301857250654,5.284417106980383,65.85477162236279,15.919984236346757,3.509416502447183,1.1029172412038497,0.0231166565836806,0.1061811780145624,0.1356961953208748,0.2288676570420652,0.000287584548607,2.317786636392172,2.6967171581564875,0.137868875055652,3.249337701502632,2.3624172116100635,2.2403212955275005,2.6302647885818704,0.0005155574267288,0.0004922902227004,0.0405601265249697,0.2035062871828207,7.100247859954834,1.5375847630984916,0.7012320756912231,0.2602791488170624,6.519371032714844,1.4629429348255678,12.135176651305684,2.070759057998657,0.4376029670238495,-1.2848360538482666,0.3261648745519713,0.1449298411607742,0.1473414599895477,0.8300180542564292,0.117082866844455,0.8086918423092048,0.4090891942055107,0.3916530304867595
33,33,33,33,7.288750861880937,0.0192612763494253,5.801545250640131,5.801545250640131,0.0004953061229571,0.9614197015762328,0.4673000345099562,0.0783689319716624,7.145507784407021,142.83970156422407,18.10069644864384,4.607316785919701,1.3147724708670108,0.0374519168091181,0.0854983593159043,0.1184466080769627,0.2049307745045151,0.0004322296538692,3.240273457337453,4.372898483832391,1.1770362034384545,5.9077112669189855,3.315314348053784,2.952461198355836,5.72675146351673,0.0006396438650595,0.0006029203943951,0.0323700441520763,0.1979831768629656,7.100247859954834,1.5375847630984916,0.6611909866333008,0.2295582294464111,6.519371032714844,1.4629429348255678,5.427547363031234,2.065990447998047,0.4352909028530121,-1.2984319925308228,0.2652329749103942,0.1306000053882599,0.1343393921852111,0.9309699002743212,0.4092779756250612,0.7434653229747877,0.4522012961601694,0.3936891025557661
34,34,34,34,7.292450622882677,0.0184730999171733,5.954781879152147,5.954781879152147,0.0004641053551495,0.9711158275604248,0.4722450847044869,0.0817117975535858,6.885654130793225,117.82256847506268,17.722348314051313,4.509946285033921,1.3060215276617102,0.0358812605863369,0.0909796214320829,0.1209931912659296,0.2060850072360547,0.0003958787760165,3.1295222248873173,4.020913373045528,0.7102582616301302,5.255866360405629,3.1969893753581435,2.8784556288328704,4.723188852362879,0.0005943212172496,0.0005623357522779,0.0346746191828717,0.1989050511378904,7.100247859954834,1.5375847630984916,0.7433264851570129,0.2987543940544128,6.519371032714844,1.4629429348255678,12.442396313364055,2.0697412490844727,0.4560105502605438,-1.262939691543579,0.3379416282642089,0.1560381203889846,0.3124396502971649,0.9398259640042286,0.3240414173056131,0.7758719853426475,0.4539560200399896,0.3940323114568392
35,35,35,35,7.295696507560368,0.0205927435308694,5.856318296056673,5.856318296056673,0.0005456120816234,1.1762617826461792,0.4494341540190081,0.0712872046674118,7.388819748171084,158.26989455421165,18.94725161475439,4.6661288087544905,1.2664682542395869,0.0139624543533375,0.0741796112976807,0.1151463920858276,0.20706532024419,0.0005095715602028,3.449577487896441,5.309546387193209,6.898753413925579,7.112740071352296,3.539637582817328,3.089282717987552,8.704025184299269,0.0007363305112519,0.0006854345413884,0.0265717330743151,0.1944507102426182,7.100247859954834,1.5375847630984916,0.6848049759864807,0.2528188228607178,6.519371032714844,1.4629429348255678,17.20430107526882,2.059926986694336,0.4701925814151764,-1.2701351642608645,0.1464413722478238,0.1044486165046691,0.2439701557159423,0.863151437112895,0.5869221839881018,0.6610101136073375,0.4396345962754454,0.3887999820858653
36,36,36,36,7.285692679325377,0.0186446700245142,5.875558111330926,5.875558111330926,0.0004706085783254,0.9789086580276488,0.4687145388436479,0.0780367441170103,7.158405216309984,127.44876535109668,18.136825405196973,4.65085083600234,1.3103181711012135,0.0123256507820501,0.0850507300434188,0.1189413142207457,0.2051217946317546,0.0004221032752451,3.2941717330062072,4.555360651589954,1.2944136303315783,5.772158663190514,3.3684289471036744,2.9942884810737933,5.48995879754069,0.0006197552127158,0.0005816621157723,0.0317662047583185,0.1958580224313786,10.32103157043457,1.7938439370629955,0.8244353532791138,0.4058332741260528,6.798875331878662,1.549314004718296,56.11879160266257,2.1323015689849854,0.6676590442657471,-0.9110252857208252,0.1802355350742447,0.1013955771923065,0.8397678732872009,0.4324565683900226,0.422875857456513,0.7374464090704083,0.4565461245442564,0.393235448514514
37,37,37,37,7.399239850833334,0.0331333167850971,4.968605927202945,4.968605927202945,0.0003136927989544,1.6286885738372805,0.1867033516053076,0.0647649347467268,12.335916584116788,382.2645501622492,46.439700479135226,6.110895827701147,1.2728868213687543,0.0238972664324537,0.0459562867051958,0.1307936418027117,0.2637378111006506,0.0008592863864613,3.9145215608817336,9.54469337119222,10.965218057491766,8.64794688516257,4.061548979937138,3.1397047410664443,6.742703408783784,0.0011974637004286,0.0011054464944137,0.0087835091103263,0.1298423691245708,3.775468349456787,1.6430498466448211,0.8213552832603455,0.3998969197273254,4.726508617401123,1.5099438020963565,57.85970302099335,2.098236083984375,0.594469428062439,-1.10972797870636,0.195084485407066,0.0952922329306602,0.8163096904754639,0.5539997218495201,1.826872869912168,0.8901150289792958,0.5965648939656166,0.474343799704168
38,38,38,38,7.166896956221725,0.0253393538296222,4.679150975106157,4.679150975106157,0.000216105763684,1.8960033655166624,0.1406329785272687,0.0342740669151532,17.416228048708724,418.3870452430804,71.8108578974996,8.557436919945836,1.447109583288539,0.0519995856491611,0.0296619064769371,0.0721889011024038,0.1653789706669577,0.0004810666015142,2.702525975635645,7.381903374291234,5.5265381737289,5.629661982029672,2.802460858160209,2.4491099868129864,3.6966208183554894,0.0007918647581277,0.0007363195077516,0.0073065974652063,0.1256579052979082,11.877281188964844,1.779088524581239,0.907597541809082,0.6222150921821594,11.989230155944824,1.7060011753547089,64.36251920122888,2.207257032394409,0.7320098876953125,-0.704693615436554,0.152073732718894,0.1149688512086868,1.0489617586135864,0.9573059725272896,1.4106546604420358,0.976976880607891,0.4885138134702501,0.3472694069311139
39,39,39,39,7.369838339158967,0.0884266421198844,4.772117272187394,4.772117272187394,0.0005894483401789,1.7391639947891235,0.179582848545461,0.1114779603846964,10.723181302671312,333.0635958012713,38.98726076147704,5.840419440776377,1.2336728507986936,0.0555240108168843,0.0900337214441006,0.1884056921818393,0.3506647290688344,0.0018584571140509,2.0230340261953086,1556247072.5853927,19.51394110885504,12.738370845298707,6.527800955811228,5.64601769168922,10.380265388580233,0.0022648979788755,0.0021852540837699,0.0129656156867124,0.1263585321685173,14.212650299072266,1.73956189444297,0.826488733291626,0.4001850187778473,11.64568328857422,1.6060605661950311,54.53149001536099,2.123873233795166,0.6383155584335327,-1.0335043668746948,0.1490015360983103,0.0900576561689376,0.833916574716568,0.7561495922464602,3.3092133433894007,1.2980136134437692,0.7456756799090755,0.5799146658651044
40,40,40,40,6.855357991528486,0.0299627222120761,6.374879572881485,6.374879572881485,0.0,1.4222811460494995,0.0571579321744144,0.0288370430919967,22.84841534100302,359.47973306295154,92.64741214242284,9.434053367066,1.0673728926123425,0.0390674453346189,0.0217870973435451,0.0565696364266744,0.1296707847403407,0.0005415846009952,2.644105398500205,83111568.52869317,4.147658864929573,4.0853422525973615,2.804446805486399,2.451823312735283,4.039669584473551,0.0009238125526387,0.0008867359134576,0.005467479977669,0.1164185116435558,5.4825310707092285,1.5947671725862438,0.9630390405654908,0.9387126564979552,9.493752479553224,1.6710950961807025,66.76907322068612,2.3313868045806885,0.7985683083534241,-0.538703203201294,0.2698412698412698,0.1341609805822372,0.8635155260562897,1.0922946258567447,1.1201447543419536,0.9611771962787312,0.4376697374747136,0.2373061859766242
41,41,41,41,7.384179498953582,0.102292388677597,5.193470375491461,5.193470375491461,0.0004732794259325,1.42257559299469,0.2630934424125616,0.1634162924105465,10.554102516923573,239.4595103107303,39.93708641578475,5.3852811379395,1.2814073772771255,0.0742286911699674,0.1246122268287322,0.2886213909682315,0.4441557672168753,0.0040100915697274,3.778262586899552,2658916098.8805814,38.83007001306867,28.07315769865756,19.010739802089923,14.541729953943722,-98.56427600451752,0.0043311626388913,0.0041146726987335,0.0176557785491653,0.1523434427697761,8.962995529174805,1.8521135164486475,0.7535934448242188,0.3237641453742981,11.052791595458984,1.653782462468549,43.93241167434716,2.1022729873657227,0.5703669786453247,-1.0750324726104736,0.1269841269841269,0.0665361508727073,0.6296187043190002,0.41027438472974487,3.577625834749363,1.836132107842589,0.9892265070900118,0.7016557818700933
