model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,test_acc_0,test_acc_1,test_acc_2,test_acc_3,test_id_acc,num_edges,total_nodes,middle_layer_entropy,longest_path_to_logits,circuit_instability,normed_circuit_instability,weighted_shortcut_score,early_to_deep_edge_importance,path_depth_entropy,logit_contribution_ratio_deep_vs_shallow,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,object_edge_score,bg_edge_score,object_vs_bg_diff_mean,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy
135,False,0.0,ViT-B_16-mae,False,0.03,0.9603658318519592,0.96999997,0.835,0.83,0.965,0.9013919455212288,65,30,7.311097852690846,3,2.3965983473317465e-06,3805017344.0,10.26899528503418,0.0038262924645096064,1.2997357845306396,26.065337444165998,0.16368049383163452,1.8289088010787964,20,0.12436222285032272,0.12312860041856766,-0.00705185405512589,0.0009967931506950603,-4.2137951362619577e-05,0.08236746434333334,1413.7530283410529,6.98015507366168,3.0252408586342314,0.4841200221604895,6.959999999999999,0.015977858839431657,406590.87957022904,0.004220557347803876,7652,1.6930303617143443,3.1113050195757785,0.013098375054896794,0.19839864471046492,0.007118055555555556,0.5613929138128169,0.000335563179762599,-1.4185444342663305e-05,0.009334567865920303,1207781.5029056,0.0014208200095774796,0.013098375054896794,0.06678946562880578,0.31071576476097107,0.0006560016190633178,3.7799108028411865,2.9845967292785645
136,False,0.01,ViT-B_16-mae,False,0.03,0.929877996444702,0.95,0.76,0.65999997,0.955,0.8444735900483259,67,33,7.089787707380308,8,1.9329056613059947e-06,2216310016.0,9.663787841796875,0.0,1.9694890975952148,39.70996586899975,0.1763445883989334,1.7294162511825562,20,0.09129519760608673,0.09099523723125458,-0.015330086543085809,0.0009376717816985963,-0.00046091175215560813,0.10126238949124586,1502.2580759077568,6.671760746203234,3.071172944247143,0.47975177557675597,14.75,0.01580708088388089,312417.2039175723,0.004956910311320914,86291,1.3449657003613789,2.996499817609949,0.01991655687307861,0.21959056137382071,0.009661835748792272,0.5419224123746219,0.00037186807701962014,-0.00018279141177551453,0.01592664422359365,787765.380461579,0.0019658442746661154,0.01991655687307861,0.08708667768808441,0.544638991355896,0.0006697769276797771,3.8466897010803223,2.960960626602173
137,False,0.0,ViT-B_16-mae,False,0.03,0.9563007950782776,0.98499995,0.84499997,0.7,0.97999996,0.8983793223886778,80,37,7.35340255381396,5,2.3024344955047127e-06,2650003712.0,10.629324913024902,0.00236617517657578,1.5042191743850708,56.737573003825986,0.1676599532365799,1.7856144905090332,22,0.1304515153169632,0.12955449521541595,-0.009648341467679069,0.0008884186178649214,-0.000661903915576051,0.06407726401485388,1755.3267846251933,6.910991832598054,3.2647508239037224,0.4698848364933317,12.24,0.030644470980995063,497729.64844846743,0.004259552700296031,36072,1.89044466922822,3.3535867664173047,0.011426050826716754,0.17661276804872345,0.006035554037773794,0.5144915334262818,0.0003405898646752512,-0.00025375175191089,0.009417423945438649,1298313.0783811784,0.0016329695109853451,0.011426050826716754,0.0677074064010597,0.3623758852481842,0.0006187437102198601,3.334005117416382,3.0108330249786377
138,False,0.01,ViT-B_16-mae,False,0.03,0.9085365533828736,0.97999996,0.81,0.325,0.91999996,0.8346116472419745,48,25,7.165145457659352,5,1.352070398752403e-06,2805999872.0,10.879013061523438,0.0,1.5544872283935547,19.282498559938258,0.16581986844539642,1.7979629039764404,20,0.07913725823163986,0.07881928980350494,-0.01418338007421888,0.0006332770977026593,-0.00033101601834185424,0.03784062593594406,1283.9190000578703,7.3544466357622005,3.0403784617876717,0.48226260761436307,4.0,0.009776591091640856,708231.6538192986,0.003252590423478384,22994,1.625052013237584,3.1100376070838207,0.01385204081632653,0.15943073260793394,0.007890085167925437,0.5346098490728638,0.0003461359801401814,-0.00018092641419701586,0.011304835083346627,1295753.4324933803,0.0017777977212170633,0.01385204081632653,0.08714149336971444,0.23530814051628113,0.00026663794415071607,3.8255913257598877,2.9636101722717285
139,False,0.0,ViT-B_16-mae,False,0.009,0.9583333134651184,0.955,0.85999995,0.84,0.995,0.9097160661460131,56,28,7.26274351350142,5,3.8891303120180964e-06,7147927552.0,9.11073112487793,0.0,1.5843205451965332,18.10604126067628,0.1742853969335556,1.7753249406814575,20,0.10948146879673004,0.10833442211151123,-0.011151373826120987,0.0014732836486867646,-0.00027540127984840095,0.10491084105040341,1389.8866845971297,7.676168541929128,3.1542798940122765,0.5100072105384943,22.222222222222218,0.024384130383527762,407676.8802275385,0.005769719408953571,35895,1.674143465896877,3.099905225712977,0.014343891402714932,0.21661473112455482,0.007977207977207976,0.5134912161273436,0.00039706955554217466,-7.422431847274987e-05,0.007620453605060437,1512640.9417102344,0.001555016231594072,0.014343891402714932,0.05838055428368366,0.40948712825775146,0.0006767347222194076,3.9483537673950195,2.943784236907959
140,False,0.01,ViT-B_16-mae,False,0.009,0.947154462337494,0.945,0.79999995,0.765,0.96999997,0.871391934413186,61,29,7.2143348224588175,6,2.5232807274733204e-06,3755335680.0,9.578618049621582,0.003350447863340378,1.6706527471542358,35.39359742781218,0.17972850799560547,1.7373735904693604,20,0.09243254363536835,0.09206940233707428,-0.012589569210958596,0.001048434772806298,-8.110464024723091e-05,0.05733055816506903,1477.2936930435512,6.798669282939718,3.248721709997055,0.47210690490037943,10.559999999999999,0.015942564691687568,410651.1571351645,0.0056052772314596575,25152,1.6853604077397977,3.2554802017926403,0.015179476045737444,0.1591373835050679,0.007854623330813807,0.4605761165464082,0.0003770703635863997,-2.9169356546615587e-05,0.007415631566176669,1141805.3295317083,0.0020159422217525358,0.015179476045737444,0.05723388155915079,0.4225517213344574,0.00041483587119728327,4.1565728187561035,2.9605488777160645
141,False,0.0,ViT-B_16-mae,False,0.009,0.9430893659591676,0.95,0.835,0.81,0.97499996,0.8924999955678288,64,29,7.302277369086971,5,1.8914926158686285e-06,3950063872.0,10.431978225708008,0.015288111637346447,1.4486126899719238,45.680031146181804,0.16728787124156952,1.7701821327209473,22,0.1005634218454361,0.09971033036708832,-0.007330017405865096,0.0008146731586912728,-0.0002734264864744355,0.056543111989960294,1549.9144540983868,6.042048096401327,3.092261442706563,0.4394800779345659,21.5,0.02185005083193782,344089.5714812311,0.004294626358414096,25452,1.5582935523373838,3.1360727869122464,0.01715242122218866,0.1596298989304297,0.008444555621903393,0.5113283049903041,0.00032555642408307395,-0.00010926560670755414,0.009029536389061937,861050.5390309925,0.0017162014038181897,0.01715242122218866,0.06379066249286351,0.36826324462890625,0.00042373425094410777,4.321845054626465,2.996243476867676
142,False,0.01,ViT-B_16-mae,False,0.009,0.936991810798645,0.95,0.745,0.69,0.96,0.8425138073869519,62,27,7.210217579149073,4,1.2768930446327431e-06,1708608000.0,10.011974334716797,0.0017948116874322295,1.5444282293319702,18.37401820439423,0.16681534051895142,1.7858542203903198,20,0.07822427153587341,0.0777246356010437,-0.017709114657424384,0.0006928853479504773,-0.0004261119541664679,0.04332707795499356,1338.3163643133905,7.55183267655811,3.147241052613333,0.4872396950686888,23.759999999999998,0.01259647490013943,595836.8211722089,0.0040338414696994805,6800,1.5451236554254093,3.147300318553747,0.01132452981192477,0.14943954168503076,0.006546924113156713,0.49164625499536896,0.00032337701181135844,-0.0001988710144536157,0.009437456290787908,1276672.691141288,0.0018826370285686981,0.01132452981192477,0.06974503638319889,0.36040616035461426,0.00028019235469400883,4.512463569641113,2.954859733581543
143,True,0.0,ViT-B_16-mae,False,0.01,0.8485772013664246,0.955,0.59499997,0.195,0.825,0.7162737197704522,48,28,7.145362150970203,4,1.5345553094903153e-07,297223584.0,10.495732307434082,0.009452318656258285,1.265394926071167,6.84017289488516,0.14589864015579224,1.7921937704086304,20,0.01790652982890606,0.018079036846756935,-0.017131103879188037,0.0001847761110201109,-4.8287024753469775e-05,0.006939529350005322,1071.5943941449077,6.636585687667606,2.6911941148258314,0.40538927520791457,17.6875,0.014293383079914018,2947281.4982283814,0.0009473829410682596,308,1.1246727017252276,2.5499461992858263,0.003705482192877151,0.06260350832439457,0.0028288922406569457,0.6421356093880825,0.0002859745187446398,-7.473293660980592e-05,0.016622373746760448,1904320.7396610568,0.0014662468108786817,0.003705482192877151,0.0968902741003917,0.11327853053808212,3.833594382740557e-05,5.299764633178711,2.909703254699707
144,True,0.01,ViT-B_16-mae,False,0.01,0.854674756526947,0.95,0.545,0.21499999,0.84499997,0.6993001336416984,44,27,7.090990887850706,2,2.074041134392246e-07,408104864.0,10.392618179321289,0.009400683455169201,1.0937968492507935,7.910499809816267,0.1441458761692047,1.7761473655700684,20,0.02002604305744171,0.020220022648572922,-0.0183468467476003,0.00017009349568075676,-0.00030370614056924596,0.008950140625950046,1193.3093165163455,6.5476304946071595,2.7728919683040223,0.4332473601380942,15.6875,0.013474536475024687,1451909.5056738264,0.0010535734914057426,275,1.219560497912847,2.638844100930235,0.005379375146817008,0.06962595137959585,0.0035614768373389066,0.628047925191545,0.00021495482584596283,-0.000383807156947098,0.014293837746965231,1148894.250482999,0.0013314483564398768,0.005379375146817008,0.0879894576762586,0.05296942964196205,4.8414021875942126e-05,5.221734046936035,2.9167094230651855
