,domain,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,model_id,AC,ANE,EMD,acc,f1,l2
0,location_7,6.851961946460311,0.0002729445986915,-1.890550255775452,7.432163897647115e-07,1.155637264251709,0.0602874906828644,0.8378434190900317,0.8378434189315951,1.1753887294820655,1.1026382557659395,2.7481468088552363,-1.8705829553559028,2.494579125922325e-05,6.79127901570542e-06,0.0120558756032976,-0.0470395032020762,3.826252577709965e-05,0.2190141379833221,1.6593583822250366,10,7.516620023792201e-07,-3.169008162708858e-07,4.52117494162934e-08,1260.7432727435692,7.03511944793309,2.96603411533843,0.3319921939240425,43.5,0.0142124907382601,583354779.5244453,2.998722067658933e-06,0.6564247326870222,2.3537599470392805,0.0084123496762257,0.0001752167859687,0.0051677910396125,0.5478441776476459,0.0003632809815494,-0.000153159326661,0.010560669947717,1207015.0544380853,0.0014492933226502,0.0084123496762257,0.0846829133315253,,0.0002073512878268,3.343888282775879,2.536908864974976,9,0.863845944404602,-0.8518951535224915,1.370468020439148,0.825,0.2260273993015289,231.40927519748715
1,location_21,6.825145102265238,0.0095573253929615,19.846921920776367,4.502904062064772e-06,1.0182058811187744,0.2131129125759603,1.0503851061499163,1.0503851061035565,1.326216642422894,1.853773188020074,4.188394323148667,1.0563574949941157,5.328307974039603e-05,4.068800139478412e-05,0.0336567464979758,0.0844931296642958,3.112146077910438e-05,0.2166015356779098,1.8106778860092163,7,1.3874930705876625e-06,-2.6431097585142127e-08,8.003692013185237e-08,2063.7419242235133,4.16795937195489,3.045957293562533,0.3287396337969893,44.1875,0.057217613422729,487947033.1690732,2.765870894469352e-06,1.0259112034328124,2.897128567994587,0.0101588507743522,0.0001747638270976,0.0052116758653146,0.5490222904282971,0.0008764628923685,-1.669621978501307e-05,0.031937124186504,772449.2668707612,0.0017471678131719,0.0101588507743522,0.1103962359096979,0.597016453742981,0.0002475093060638,3.969685077667236,2.78330397605896,9,0.879935085773468,-0.7701789140701294,0.8434082865715027,0.0,0.0,231.40927519748715
2,location_24,6.871407975100086,0.0068606431595981,19.383039474487305,2.1695762484341685e-06,1.0148630142211914,0.1164035642004903,1.395035278185052,1.3950352778475377,1.8035822997333752,2.278594234481233,5.014759028130381,1.546640322856094,2.8695472141127e-05,2.7112314048505223e-05,0.0319916530908872,0.0765990691275461,2.390258487139363e-05,0.1948646903038025,1.922228217124939,15,9.792100713882582e-07,-9.503898054162578e-08,3.59200581289192e-08,2100.3549358689243,3.4348048538490046,2.928108353732365,0.2964965301598335,61.55555555555555,0.0674344801942883,517606641.4586533,1.9850474812558097e-06,0.815910929911481,2.6563193237774323,0.0090481224202154,0.0001283785290496,0.0047360075664849,0.5568382127441676,0.0010917124183444,-0.0001059580848272,0.0446479769137893,464266.6202779252,0.0022131114279549,0.0090481224202154,0.1431280560941093,0.5892155170440674,0.0006989727262407,4.002331256866455,2.639741897583008,9,0.3215245604515075,-2.9952783584594727,1.7795376777648926,0.0861111111111111,0.0354630835354328,231.40927519748715
3,location_29,6.501012173799933,0.0158174149692058,14.750751495361328,6.031694738339866e-06,1.005379319190979,0.1583019564434741,1.4938346437520376,1.4938346437272858,1.9922960990305425,2.055729235722768,6.042087090757288,1.861831125632483,7.963907331465236e-05,7.011266208145628e-05,0.044629933696946,0.0653845486745559,6.55577823636122e-05,0.2045874744653701,1.943591594696045,15,1.657227451161943e-06,-4.996487807199677e-08,2.633208196051461e-07,2204.45627926368,3.4014157309451774,2.97525630973451,0.36409522010891,21.555555555555557,0.0732441893304589,401136777.98731136,4.26827619521089e-06,1.0363493433023645,2.7169403668037275,0.0115646258503401,0.0003279763381508,0.0057167445291369,0.5973827018594746,0.000928735554974,-2.80010794234608e-05,0.0826999197474372,715784.9028243416,0.0023920070993885,0.0115646258503401,0.1838029412446497,0.5422481298446655,0.0013773408718407,3.548580884933472,2.7765369415283203,9,0.387643426656723,-2.6760947704315186,1.1832070350646973,0.0434782608695652,0.0444444455206394,231.40927519748715
4,location_49,5.96987685873831,0.0022617729846388,14.720162391662598,6.804532830528842e-07,0.944330394268036,0.2180775247955674,2.0391902075758663,2.0391902073459987,2.670145837671261,3.6710062593495953,11.820669112069304,2.881197549037675,1.1503679962499014e-05,1.079137445347822e-05,0.0460161726183387,0.0702329781804388,8.601652552897576e-06,0.2157552391290664,1.9619932174682615,19,2.99535966976132e-07,-1.3505228808490004e-08,5.121204841146455e-09,2351.9963392095483,3.3567134117092188,3.0020029367681245,0.3305267577208249,8.0,0.0653791753742446,2180875085.8953943,5.727847786113862e-07,1.2456973903993669,2.881773196792915,0.0097710453283996,4.082107803166508e-05,0.0049260173927727,0.5715182612854746,0.0011982215142679,-5.402440731425194e-05,0.0819498981399095,545183.4423334621,0.0022912875811403,0.0097710453283996,0.163294894999907,0.6672160625457764,0.0008423750987276,3.687723875045776,2.7975621223449707,9,0.8042769432067871,-1.1451730728149414,1.7588369846343994,0.4915966386554621,0.0732394382357597,231.40927519748715
5,location_56,6.953695244714966,0.0059076626785099,24.06536102294922,3.330824483782635e-06,1.1168371438980105,0.0710719267189647,1.4817026434526093,1.4817026429525382,1.7413269574168837,2.9735954641463493,9.591494124901711,2.1312658269623346,2.7524295502234782e-05,2.129690012087071e-05,0.0148594621235147,0.0867547240139168,3.552931229933165e-05,0.2147436738014221,1.710368037223816,15,1.6297716073579797e-06,-3.874705234924233e-07,7.061966830534829e-08,1619.9898573117591,4.454971036347792,2.9360917250153227,0.2322806119551391,12.666666666666666,0.0362652088638529,354558380.1294565,3.082501573523834e-06,0.7308498001485831,2.528678099593666,0.0065539112050739,0.0001955666787927,0.0039842873176206,0.5425673702598403,0.0008798870936352,-0.0002091890189875,0.020583823139528,656731.0736106551,0.0016641922485003,0.0065539112050739,0.1055832542467431,0.7774863243103027,9.514167322777212e-05,3.5961146354675293,2.552372694015503,9,0.3155803680419922,-2.9812252521514893,1.7346689701080322,0.0607142857142857,0.010939510539174,231.40927519748715
6,location_58,6.742770697050357,0.0074413404799997,14.09779930114746,2.120576482411707e-06,1.0575268268585205,0.073383638380332,1.4771312527721363,1.4771312523801887,1.8575116736602049,3.1701981641869432,9.676411510864348,2.12234415743302,3.684732650199862e-05,3.318440422717117e-05,0.0278567645078521,0.0628684605735107,5.523880463442765e-05,0.1627813875675201,1.8784050941467283,13,9.701873342948224e-07,-9.969578615436057e-08,1.4308856597018484e-07,2002.0684357081832,4.272969287857244,2.805655611897691,0.3328606582477832,18.0,0.0223938476549123,649673514.4086714,2.019503528402259e-06,0.8245438605347132,2.385529947615454,0.0088363398088189,0.0002993460368865,0.0047757950125829,0.686030649168855,0.0007335065755106,-7.537465694474623e-05,0.0817902921871988,859303.8298207063,0.0015268382483309,0.0088363398088189,0.2263194745164102,0.4605410397052765,0.0006922262837179,2.703794240951538,2.47218918800354,9,0.1688464730978012,-3.3105685710906982,1.848863124847412,0.3151408450704225,0.1576293706893921,231.40927519748715
7,location_59,6.654495533794634,0.0042678504250943,15.44115161895752,4.377777713671094e-07,1.0396381616592407,0.1263499409966258,1.0942624654809607,1.0942624650521486,1.502124681657536,1.7532264312368573,5.627710325576597,1.9336110040877144,2.5025860495020424e-05,1.9622786375350643e-05,0.0248573009114238,0.070995481583069,1.4943478163331749e-05,0.2244946956634521,1.787933111190796,19,8.951193183363772e-07,-9.808085909800287e-08,2.7312300008278685e-08,2054.075123682313,3.8288991063195623,3.108423704106252,0.3267632710733589,19.5,0.0678184879484201,703084966.0195796,1.836741691444015e-06,1.2175652175078562,2.962325633374186,0.0103106691335183,8.790211841519448e-05,0.0052683290418755,0.5087755275346685,0.0008891449945192,-9.742618831165528e-05,0.0269489332912279,707809.1298691803,0.0018244826435146,0.0103106691335183,0.0873154298114443,0.6558398604393005,0.0001785007771104,3.6866729259490967,2.6831836700439453,9,0.7957680225372314,-1.1862698793411257,1.7927260398864746,0.7861635220125787,0.1257545202970504,231.40927519748715
8,location_62,6.765100466333266,-0.0001708632917143,1.5963127613067627,0.0,1.2972458600997925,0.0238180040034408,0.8664580316636291,0.8664580314415536,1.1169842817049294,0.935390361094114,2.9170325140085955,-0.7521741302920826,1.5815930044738025e-05,2.927432074528724e-06,0.0077682164788984,-0.0273498306267956,8.326736133312806e-05,0.1782171577215194,1.605135440826416,20,5.58498038140185e-07,-4.3668107942645627e-07,1.547441640432864e-07,1684.9119823017056,6.195838205642918,2.6900422814332243,0.163854188846052,58.5,0.0106949057305677,671229266.4901451,2.604377473631019e-06,0.417653191108441,1.8287596736578184,0.0049170437405731,0.0003574883423157,0.0029223227752639,0.6531558726277698,0.0002743274254574,-0.0002144924186681,0.0373344223397264,1366543.022126895,0.0012792384532323,0.0049170437405731,0.1755939157092485,,0.0005442281835712,2.565387964248657,2.349353790283203,9,0.7100960612297058,-1.5433988571166992,1.4705709218978882,0.696969696969697,0.1381381452083587,231.40927519748715
9,location_69,6.384302910356153,0.0032317561563104,14.646109580993652,6.852629326203896e-07,0.9223242998123168,0.1846211544635462,1.4492894631784772,1.4492894618931098,1.975446036190821,2.523109625297096,7.887668971088249,2.1526517039819058,1.6462108952008947e-05,1.4822293064487012e-05,0.0332290876993478,0.0671737168143086,1.20194608825841e-05,0.2418161034584045,1.86000394821167,19,5.155812236579297e-07,-1.276377545746138e-07,1.1195853856103457e-08,2142.3620409614764,3.744483870133895,3.097840493791269,0.3293646226006838,2.8888888888888893,0.0522375574406801,1177769189.5303218,1.0983551938254295e-06,1.3665455772738064,3.0343315829650788,0.0106202055290201,5.956171077545197e-05,0.005304127823969,0.5186253364579204,0.0010407681743767,-0.0002576535340943,0.0456216571844261,583449.5001109402,0.0022171737367477,0.0106202055290201,0.1202331096312896,0.6600982546806335,0.0003774314536713,3.66915512084961,2.8027327060699463,9,0.7239638566970825,-1.557816505432129,1.766460657119751,0.6688524590163935,0.1603143364191055,231.40927519748715
