,Unnamed: 0,domain,edge_start_ratio_deep_vs_shallow,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,kendall_tau_c,kendall_tau_b,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,abs_kendall_tau_c,abs_kendall_tau_b,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,mcs_approx,laplacian_spectral_dist,netlsd_dist,motif_counts_dist,degree_distribution_dist,ged_approx,trim_srcc_w,trim_srcc,trim_tau_b,trim_rbo,trim_sign_agree_w,model_id,AC,ANE,ATC,EMD,acc,alphaReQ,bacc,f1,l2,rankme,layer_vec_L1,layer_vec_L2,layer_vec_Linf,layer_vec_Lp,layer_pearson,layer_spearman,layer_spec_L2,layer_spec_Linf
0,0.0,hospital0_slide8,0.133477467387107,0.6494830021296616,0.6746730853580156,0.6747062394244044,0.0122100798447522,0.0052867636550217,0.5299702102893498,0.5299702117947137,0.673115045632869,0.8122907153953653,0.8149589965665066,0.0094441940882968,0.0038070166483521,0.5624045095680904,0.5624045127633542,0.4375664431893553,0.425,0.2425600875382243,0.1655485453868538,1.1256542814074737,0.8982456140350877,0.4870736756837053,0.0375713986199126,0.1598093921063519,0.1584855187290295,,0.5388610496262435,0.3230947080030247,0.2163728427751841,29.223624107105408,0.9999999999957248,0.0,0.9643707871437072,-0.0869587883353233,96.175,2.2097513675689697,0.912,0.9258779871442918,0.9305900031801956,0.9089508652687072,479.09810160932346,184.6029510498047,0.0019099723391162,0.0004685847778255,0.0002776997929546,0.0004685847778255,0.927365002105623,0.9770021526160876,0.1458354121331019,0.1373599865892867
1,1.0,hospital0_slide9,0.0580861094211354,0.4565866653539269,0.7822429231436212,0.7822142646355934,0.0106936536634584,0.0056050466373562,0.3566223485262661,0.3566223495395841,0.6619029999882059,0.8728021050324877,0.8738194043471308,0.0085535387000625,0.0056050466373562,0.4833284275564892,0.4833284303015992,0.3386489191708229,0.3476190476190476,0.1660100314730094,0.1237482329781343,1.1793679911870607,0.9363957597173144,0.2453093610058081,0.0312589954903308,0.1798661809388175,0.0876226729637982,,0.4971880787841898,0.2759006739613759,0.1811142923194565,26.922323750931945,0.9999999999951762,0.0,0.9725519418716432,-0.0735997408628463,97.5577731092437,2.1898553371429443,0.9419642857142856,0.8908483150250728,0.8685967336438158,0.9004554152488708,479.09810160932346,200.97427368164065,0.0024390524938328,0.0008957365476171,0.0008134552155331,0.0008957365476171,0.6890103680636241,0.9117427404120724,0.136603408387975,0.1274812541418065
2,2.0,hospital1_slide18,0.0399991658712693,0.1537624683853524,0.7438716567469527,0.7436817913050119,0.013406252623278,0.0074790329672396,0.1191447474707722,0.1191447478093381,0.6084047404187959,0.8097323818639758,0.812458263726476,0.0119945566126457,0.0074790329672396,0.4510496963323463,0.4510496988953762,0.2444829627785241,0.1535087719298245,0.2727888777633159,0.1890710241310632,1.15128555980073,1.0,0.3476293416540645,0.230084578163436,0.4613162357823286,0.1217923820857684,267.0,0.2983685603975537,0.1171196879840264,0.0847383635183764,23.664576866192267,0.9999999999965692,0.0,0.9836907386779784,-0.0410934388637542,98.50980392156865,2.05210018157959,0.9050980392156864,0.953615916861148,0.6601123595505618,0.7164192795753479,479.09810160932346,108.06935119628906,0.0031897325064768,0.0011403750834526,0.0010433038901391,0.0011403750834526,0.4463304234790644,0.8948073628256381,0.2986160638130986,0.26820330274653
3,3.0,hospital1_slide19,0.0318104751743013,0.365501979916051,0.8139534354616241,0.8138673970601794,0.0418841350657023,0.0255123716779053,0.2833330995401654,0.2833331003450717,0.6435082890182684,0.8338498456547833,0.8357204250881382,0.0415281063183314,0.0255123716779053,0.4671240784667912,0.4671240811213388,0.1382612179707655,0.2352941176470588,0.1641817444623674,0.109273091995545,1.0380936988247933,0.9523809523809524,0.3041236707750859,0.0387043133571884,0.1840458845515971,0.1108386037613087,,0.4925141728116077,0.3505129441920883,0.2653614181744853,21.806402470154225,0.9999999999981874,0.0,0.9681437611579896,-0.0876188427209854,97.13954387321222,2.118005752563477,0.9605720912253576,0.9269280565693132,0.8082967487433989,0.8281094431877136,479.09810160932346,148.6994171142578,0.0098468808128308,0.0023552182831703,0.0011768127008975,0.0023552182831703,0.391467352866608,0.8524799015946932,0.3575099279478371,0.3258513326379011
4,4.0,hospital2_slide20,0.0174433254226153,0.2253063717304425,0.6761525082240981,0.6760484282887569,0.015595719850787,0.007897260133177,0.1715880622014632,0.1715880623639634,0.593310862623981,0.7548079221824064,0.7579613783729577,0.0140682430388044,0.007897260133177,0.423624282920262,0.4236242853274506,0.2005082616581765,0.198237885462555,0.3358658350608434,0.1451663880161293,1.136481746566092,0.9889705882352942,0.5302841347022623,0.0747671505052432,0.3163878365946134,0.105178477366996,269.0,0.1456882420323786,0.0389476853817296,0.0316652361285151,18.19661390382234,0.999999999996508,0.0,0.994438648223877,-0.0205977074801921,99.63254593175851,2.1497395038604736,0.9923884514435696,0.8352104156717991,0.5181220078127294,0.5303474068641663,479.09810160932346,196.57911682128903,0.0042493870566054,0.0012981311689365,0.0010982211549004,0.0012981311689365,0.3637790515950609,0.8008171154944428,0.438118537997669,0.4123494003537737
5,5.0,hospital2_slide21,0.0158200605406026,0.2483825764956952,0.7366713701324801,0.7366131753591821,0.0564365124472998,0.0493889530189335,0.1875910884513571,0.1875910886290128,0.5976004961936688,0.7562609913148216,0.7571819517950757,0.0561233474454346,0.0493889530189335,0.4275383137054805,0.4275383161347229,0.1321755103883921,0.2094017094017094,0.0934808645674592,0.0667430172965161,1.2220557707775994,1.0,0.4258807160868032,0.0812001224362813,0.483667844920659,0.0744587729008703,,0.356273705960303,0.1706885137973303,0.1294055798535306,17.21741937207683,0.9999999999978676,0.0,0.9965847134590148,-0.0155972326174378,99.89171629669734,2.137904405593872,0.9972929074174336,0.8551112332348555,0.6495928338762215,0.6868217587471008,479.09810160932346,154.1558074951172,0.0091900574118206,0.0024880190093379,0.0017043264131864,0.0024880190093379,0.365419538605213,0.7827505161885517,0.462364879520413,0.4335781767424161
6,6.0,hospital2_slide22,0.0221780395415251,0.1768613930454297,0.1933942519275945,0.1932698318315578,0.0576789461909703,0.0252452696440741,0.1352391883584231,0.1352391887426605,0.5963310781100432,0.5292867086759675,0.5368006894067825,0.052894376401189,0.0223641303600743,0.4257404192179801,0.4257404216370071,0.0644599562446693,0.1673640167364016,0.369778671040732,0.1663915412142533,1.0309216038331437,0.9247311827956988,0.5251961277303175,0.1124160141590247,0.5361363607904259,0.0655081349369377,,0.4062836285912636,0.2634188797926078,0.1902671488240405,17.25982921115789,0.9999999999988212,0.0,0.9558313488960266,-0.1122906729578971,95.65,2.193301200866699,0.4975,0.8846126723629745,0.5677603240496758,0.4324712753295898,479.09810160932346,165.66690063476562,0.0152565223403691,0.0033654471073181,0.0015431901155524,0.0033654471073181,0.3618052149603736,0.8409809779027371,0.4081869431776638,0.3586692334095747
7,7.0,hospital2_slide23,0.0235343945653401,0.1119855729846107,0.6567240675267276,0.6565202308357445,0.0940504538541234,0.0777019863016903,0.0847177884339987,0.0847177886746963,0.608630685539238,0.7285814407207185,0.7294428320554056,0.0930069462855915,0.0777019863016903,0.4360871593492168,0.4360871618270333,0.0810474307846551,0.099601593625498,0.1742359434237913,0.1030581201468809,1.20283632655011,0.960144927536232,0.2903548589582365,0.0487072293906336,0.0387705517238573,0.075887781763852,,0.4471416354608992,0.1710270033907378,0.1300988476780984,19.446579111973765,0.9999999999984804,0.0,0.9118107557296752,-0.1984075605869293,89.4,2.1810014247894287,0.6475,0.8991776293159387,0.6589259796806967,0.6075654625892639,479.09810160932346,173.33493041992188,0.0138016641513677,0.0037991220717642,0.0027730194556784,0.0037991220717642,0.3803900544200977,0.8463076044458113,0.2703869963056428,0.2417128329928545
8,8.0,hospital2_slide24,0.0164849214032955,0.170503800685844,0.7180824040069438,0.7179810388828146,0.0563765041589548,0.0471475203521549,0.1278278007535925,0.1278278009957413,0.600499605490946,0.7489222212050449,0.7485943860262964,0.0559117580931167,0.0471475203521549,0.4289412534059157,0.4289412558426791,0.1336868205969965,0.1695652173913043,0.1373040813696366,0.0926565372392473,1.2973986354954958,0.9851301115241636,0.3643675553273317,0.0937652674494044,0.235956760622398,0.080602210475844,269.0,0.2774979842412138,-0.0333505917099105,-0.0186602870813397,18.4185753443334,0.9999999999972238,0.0,0.9968305826187134,-0.0154382977634668,99.95,2.1461572647094727,0.97825,0.9325152204090232,0.5,0.4945027232170105,479.09810160932346,159.91131591796875,0.007224909354426,0.0022751674610121,0.0016084976650437,0.0022751674610121,0.3628365560147982,0.846724948381145,0.3771259391661395,0.3262040680267216
9,9.0,hospital2_slide25,0.0268196644362383,0.1349285897196041,0.7037767048370486,0.7036404739333771,0.0638371956151119,0.0507891331799328,0.1024845569683312,0.102484557259555,0.5975677102614088,0.7671590952443234,0.7696302889140992,0.0628491435606679,0.0507891331799328,0.4415287929868697,0.4415287954945747,0.0944632551203208,0.1422222222222222,0.2652753549018112,0.140556886255696,1.164407849072674,1.0,0.537707258241086,0.0560339385587594,0.1785081242378763,0.0741111184701721,,0.4522575997112221,0.2237085766570748,0.163784441863394,18.311355098012783,0.9999999999986152,0.0,0.979932427406311,-0.0607170909643173,98.675,2.1746826171875,0.76475,0.8666809949183503,0.511117354379196,0.4552644491195678,479.09810160932346,177.42413330078125,0.0126483097959888,0.0031078926790109,0.0019737724996957,0.0031078926790109,0.4085738278793862,0.8644950138382463,0.3325109695217655,0.2941801677914371
