Unnamed: 0,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_art_painting,test_acc_cartoon,test_acc_sketch,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_art_painting,test_ANE_art_painting,test_l2_art_painting,test_EMD_art_painting,test_AC_cartoon,test_ANE_cartoon,test_l2_cartoon,test_EMD_cartoon,test_AC_sketch,test_ANE_sketch,test_l2_sketch,test_EMD_sketch,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,sharpness,test_ATC_cartoon,test_rankme_id,test_alphaReQ_id,test_rankme_cartoon,test_alphaReQ_cartoon,edge_start_ratio_deep_vs_shallow,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
0,0,False,0.0,ViT-B_16-scratch,False,0.01,0.4634146341463415,0.3134380578994751,0.1390374302864074,0.1443850249052047,0.1684492081403732,tensor(0.3809),0.2390611469745636,0.4348308145999908,-1.5392377376556396,231.28836518876795,1.6481785774230957,0.3748220801353454,-1.6247819662094116,231.28836518876795,1.688798427581787,0.2923966348171234,-1.7619736194610596,231.28836518876795,1.7042746543884275,0.2588530480861664,-1.8160392045974727,231.28836518876795,1.7874059677124023,6.790795380928948,0.0942712798714637,17.03193473815918,2.602048084554553e-05,1.015434980392456,0.2038178334466502,-3.609496026180104e-05,0.8410339914073007,0.8410710190945963,1.050535475210515,0.9796278766956644,2.1740329958854083,0.8786625755221547,0.0002385910805369,0.0002056847656515,0.0450933506544472,0.073449208557437,0.0001669659541221,0.2013473659753799,1.9309865236282349,19,6.768753571885757e-06,-3.205380609674939e-07,1.7374160600430283e-06,2106.6925728778115,2.9953343943405724,2.9287027150270344,0.3161536524808422,4.0,0.0743156063715741,108513417.82611877,1.2020665076145356e-05,95102,0.8849766071403007,2.623099977401302,0.0083738051187172,0.0008887183010915,0.004580378250591,0.5685110865323704,0.0012793351396429,-6.058361284787717e-05,0.0620661855206694,574126.8058093054,0.0022719779665084,0.0083738051187172,0.1679730975301808,0.5375680923461914,0.0008267756202258,4.932689189910889,2.8102877140045166,0.5613861083984375,1.0,0.0,0.1672681032692625,0.0870656524993351,0.1023767571190706,0.0692010074210031,0.0602147157314544,0.0624745262655122,0.1157025535583135,0.0971973021022142,0.0404283968511907,0.0994027079531479,0.0998789002596568,0.0640987413551762,0.1019587388839247,41,104,0.1268292682926829,1.0,0.3753944107911805,532.2909208613406,0.0001579955327287,1.39410608945401,7,14,0.6666666666666666,1.0,0.8962827589617657,96.89390240671416,0.0044755770210441,0.2560884313297268,0.1749027396081313,0.0958320103831495,0.6829779022033808,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002004988200496,0.0021836021915078,0.0003053188556805,0.0001669659541221,162,0.3581695556640625,7.6923076923076925,13.25978946685791,1.6258241561409148,11.366532325744627,2.340145766733355,0.0793168337970636,0.030778592367251,0.0535955614860364,0.117381402871748,0.2086850748668279,6.891854371470702,56.23379024048772,19.020670202326784,5.327089521382328,1.751905624237005,0.5376738288430333,0.8365322413232684,0.6915768427764695,0.6379369248887469,0.577405037873368
1,1,False,0.01,ViT-B_16-scratch,False,0.01,0.4207317073170731,0.2100712358951568,0.1657754033803939,0.1871657818555832,0.0481283441185951,tensor(0.3562),0.1687692254781723,0.5881441831588745,-1.2241339683532717,229.61406662309508,1.655584454536438,0.5607916116714478,-1.2959622144699097,229.61406662309508,1.696428656578064,0.6034208536148071,-1.285942792892456,229.61406662309508,1.7086340188980105,0.5438359975814819,-1.4571568965911863,229.61406662309508,1.787392020225525,6.775809560632595,0.131088837981224,17.873085021972656,2.793820431179484e-05,1.0238804817199707,0.2392770095810447,-3.366143930061405e-05,2.884646146268379,0.8846764510463883,1.183361380037317,1.4681627730307192,3.1684440481104152,1.045399579181295,0.0003454077577231,0.0002900132494148,0.0506798795799818,0.0877355196596914,0.0001794830313883,0.2077089101076126,1.921746850013733,11,6.163393177135149e-06,-1.783846000187876e-06,2.562902799212431e-06,2135.482346738386,2.966724176305399,2.916604187847628,0.3036640236919856,12.25,0.0845360999459966,70782149.564368,1.3492261279330852e-05,74764,0.9294850561396184,2.693273948806476,0.009584214235377,0.0010265351056835,0.0049755620723362,0.5702631990176614,0.0009043656233553,-0.0002617468958786,0.055179845274832,482391.4204835796,0.0019797434343314,0.009584214235377,0.1506253181241845,0.5582269430160522,0.0006223059026524,5.054305553436279,2.8251659870147705,0.5781273245811462,1.0,0.0,0.1758182730104475,0.0466154204013349,0.0765120498649948,0.0660777066353267,0.0990705202242339,0.1192053223693069,0.0994509016475647,0.101881131469991,0.1172497896249496,0.0878185778511869,0.0212659593158742,0.0846052094301466,0.0802474111650892,38,99,0.1408250355618776,1.0,0.4283933371827559,538.9223344539676,0.0001551609805889,1.365110077922112,7,15,0.7142857142857143,1.0,0.9085700198148592,127.30191214798342,0.0040444699213388,0.2519064716006048,0.1914917252386414,0.1058837982170193,0.7601699314110901,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002431246684864,0.0026568647008389,0.0003754247736651,0.0001794830313883,155,0.3466728925704956,44.87179487179488,12.766921997070312,1.5914180249362295,11.66611671447754,2.343869483933283,0.0821703119227773,0.040278581614693,0.0631368843380887,0.129914332052861,0.2048253962043397,6.859287289618154,68.57457688268195,22.40098723981103,5.31432177534631,1.7051832554480992,0.5381832919963772,1.2599649858789534,0.9095752785999591,0.6836217714284251,0.5464139386336937
2,2,False,0.0,ViT-B_16-scratch,False,0.01,0.4024390243902439,0.2064701169729232,0.1576354652643203,0.1752136796712875,0.0407124683260917,tensor(0.3689),0.205149844288826,0.5675672888755798,-1.2816874980926514,231.28824620397776,1.658564567565918,0.5520801544189453,-1.3287495374679563,231.28824620397776,1.6971282958984375,0.6184413433074951,-1.264867067337036,231.28824620397776,1.708005666732788,0.5965970158576965,-1.361143946647644,231.28824620397776,1.7873895168304443,6.800216018523583,0.1200734674930572,18.59787368774414,1.876428768810001e-05,1.0343716144561768,0.2258029150638794,-7.261452940099389e-05,0.7112262263312263,0.7112545047983312,0.9880890870379176,1.0275807198398086,1.8665539683581664,0.7974002440916383,0.0002484874266244,0.0002021793767781,0.0517137981287816,0.0840744007372047,0.0001303641329286,0.2041006982326507,1.8956776857376096,7,5.537509907941209e-06,-1.2049675122738909e-07,1.331789788917972e-06,1839.016879496907,2.9912755473484363,2.903327308633236,0.2932456170909802,6.25,0.0869724948753328,119054844.98279968,1.0597399665015648e-05,33949,0.9112399245110844,2.675767031012925,0.009127351218008,0.0007533325740526,0.0050815886021383,0.5609541707240205,0.0011524747194444,-2.507792681208875e-05,0.0576858681281475,572045.004990072,0.002205546349903,0.009127351218008,0.1567846795596826,0.5376123785972595,0.0006998894969001,5.223013877868652,2.82602334022522,0.5828603506088257,1.0,0.0,0.160285518902888,0.0813902884106426,0.0744241210703459,0.0529805756451503,0.0818978804090099,0.138707111959653,0.1150939041669061,0.0783881809077599,0.1150945080491727,0.0774283224534811,0.0171210773263529,0.0845086293814848,0.0829654002200404,40,99,0.1269230769230769,1.0,0.4346694198803376,558.5876370126957,0.000150248595331,1.3755545382138417,7,12,0.5714285714285714,1.0,0.8882546695637149,145.36553829746708,0.0030650060015024,0.2280564287282281,0.1981945165289653,0.1099977319123035,0.8690591080208097,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001721713051665,0.0018823731224983,0.0002671465917956,0.0001303641329286,149,0.2575790882110595,53.84615384615385,11.2816743850708,1.5958754282161949,10.811376571655272,2.361700079102982,0.0834903381912704,0.0352807058506437,0.0607329873114314,0.1334600496000367,0.211364644264265,6.132168189852094,48.34620890031299,19.280053020391545,4.810684459817525,1.5885029640031418,0.4950385776952996,0.7905555413601711,0.7526078245908591,0.6447031946082481,0.5408103066495309
3,3,False,0.01,ViT-B_16-scratch,False,0.01,0.4024390243902439,0.2584550082683563,0.1625615805387497,0.1794871836900711,0.0407124683260917,tensor(0.3353),0.1935368180274963,0.5442596077919006,-1.3064218759536743,228.0116854612676,1.6527924537658691,0.5394653081893921,-1.3389432430267334,228.0116854612676,1.6872296333312988,0.6329798102378845,-1.222210168838501,228.0116854612676,1.7039475440979004,0.6247969269752502,-1.2999897003173828,228.0116854612676,1.787403225898743,6.763640572765584,0.1077692955732345,19.57990837097168,1.674656277828035e-05,1.0216901302337646,0.1989707769289957,-5.240554139618325e-05,2.561314552494356,0.7613492186879371,1.0892116149068984,0.9948718024368528,3.536784453748787,0.7750511273648215,0.0002391809704249,0.0001879392071941,0.0476439332956956,0.0751882691430053,0.000131588167278,0.2177241295576095,1.9147825241088867,3,5.7560391600168045e-06,-3.707564099871513e-08,1.3533745235189e-06,1839.0163028623176,3.023679453703994,2.8952315932890618,0.2950501849788447,0.25,0.0883444577236653,123639824.36771744,1.1927129951162711e-05,27334,0.8701817582164785,2.602890966380789,0.0082536745811491,0.0007706490787932,0.004634786384489,0.5760634410752852,0.0011466303872853,-7.385634624741807e-06,0.0537053313527521,620667.0285599608,0.0023759410168008,0.0082536745811491,0.1535169619849264,0.5398208498954773,0.0007415626896545,5.027412414550781,2.830212354660034,0.5829430222511292,1.0,0.0,0.1662478323423518,0.0249982305829492,0.1488244537094524,0.0714697268323198,0.0706115388667235,0.1074782642855996,0.0771812803232809,0.1015792596858192,0.1108057981948169,0.0340056189973257,0.0953127789583512,0.0887606423801164,0.0689724071832447,40,99,0.1269230769230769,1.0,0.3791338575789343,562.9637783372975,0.0001495300073565,1.4066485995521565,7,13,0.6190476190476191,1.0,0.8575172439262673,117.03649406793036,0.0040220387419156,0.234461649332847,0.1794448755574985,0.0985660215108558,0.7653485167749312,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001760686282068,0.0019067632965743,0.0002749032282736,0.000131588167278,149,0.2779841423034668,65.8119658119658,10.60586166381836,1.6382161492255498,10.214341163635254,2.416270468865223,0.0753287536271391,0.033312358775128,0.0551291627291044,0.124642322117043,0.2094459617860536,6.824183673450157,76.39078236321467,19.91664203661397,5.214010323871959,1.6652843585915786,0.4911358423894505,1.1340618601542114,0.6998566732962119,0.6454153834586439,0.5543441882389329
4,4,False,0.0,ViT-B_16-scratch,False,0.03,0.4634146341463415,0.2867175340652466,0.1604278087615966,0.1711229979991912,0.0481283441185951,tensor(0.4115),0.2543409466743469,0.4322111904621124,-1.5605332851409912,231.28898975680843,1.643167495727539,0.3900567293167114,-1.6156766414642334,231.28898975680843,1.683570146560669,0.4269108176231384,-1.5558605194091797,231.28898975680843,1.707305669784546,0.3938159644603729,-1.489896535873413,231.28898975680843,1.7873915433883667,6.676137856407877,0.108862929046154,17.482677459716797,1.4628130657001748e-05,1.041121244430542,0.1607336362780387,-0.0001085454550278,2.52439428934281,0.6244158921858453,0.8484491014577024,0.9268187692348984,2.428388028341697,0.607915775110029,0.0002452055151422,0.0002317975240941,0.0512089551317022,0.0639276984167767,0.0001295296533498,0.1916503459215164,1.8827440738677976,3,7.526008570081524e-06,-8.599771949814421e-07,2.544263015719466e-06,2045.384830784299,2.9059958412937203,2.885260538173084,0.3051192933635515,2.8888888888888893,0.1343048908065461,70164891.12992933,1.2834017857092218e-05,123535,0.8200813192618369,2.532060381532538,0.0095389107017014,0.0010832170761806,0.0052924594785059,0.5946508690916273,0.0015718197399497,-0.0001796077481106,0.1109783003416689,335955.5520548625,0.0026804065833534,0.0095389107017014,0.2262317364009941,0.4696999192237854,0.002134138951078,4.5273542404174805,2.704657077789306,0.4815215170383453,1.0,0.0,0.1409366839903801,0.0801438264896055,0.1452194456416166,0.0597241963862157,0.0729875256019566,0.113504231488313,0.0890587624992309,0.060686634849747,0.0698749680859626,0.0791970261793,0.0912497487155245,0.0743447341992309,0.0640088998632962,37,95,0.1426426426426426,1.0,0.3637378026352935,539.6711113228623,0.0001839325097231,1.4722119886419545,7,14,0.6666666666666666,1.0,0.901654616337692,113.04922477682749,0.0036797028443338,0.207110709834502,0.1603386507617717,0.0871566121820003,0.77416880512792,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002120310236932,0.0026037937495857,0.0003541958285495,0.0001295296533498,157,0.1867328882217407,41.88034188034188,9.373705863952637,1.791041970109827,7.905740261077881,2.436969221773623,0.0671230469600486,0.0333236257324685,0.0520380837636668,0.1018167935610362,0.1775092794074332,6.319294179643363,53.58863486720652,17.113790599949713,5.151893336316594,1.912490807960884,0.4803920823205563,1.0955298675255603,0.7250838932808952,0.6124676978075824,0.5735338774320206
5,5,False,0.01,ViT-B_16-scratch,False,0.03,0.4268292682926829,0.2537479698657989,0.1336898356676101,0.2032085657119751,0.0481283441185951,tensor(0.4078),0.2494337707757949,0.4676357507705688,-1.4260748624801636,221.08016136150005,1.6572754383087158,0.4656656682491302,-1.4212507009506226,221.08016136150005,1.6958125829696655,0.6131038069725037,-1.108551025390625,221.08016136150005,1.72325599193573,0.6992354989051819,-1.0392193794250488,221.08016136150005,1.787501335144043,6.562975431572971,0.1707808673381805,18.13834571838379,3.1802888315723976e-05,0.9987119436264038,0.1793835369129633,-6.267444216856433e-05,4.865709096444044,0.8657276411572239,1.195832738555599,1.0454947382339586,2.0186735402121525,0.8753163365458567,0.0005581800436544,0.0005388333281644,0.0668479494379439,0.0888767646381329,0.0004579850647132,0.164234310388565,1.891076922416687,19,9.866249507538232e-06,-2.66161197939027e-06,7.605792603811245e-06,1742.291281029426,2.907416787928572,2.721824317349127,0.3183731032051063,0.0,0.0576404168134991,40894107.63205914,2.0014325584783457e-05,34205,0.8316646391738659,2.3817769901837744,0.0104251012145748,0.0020051226304328,0.0057206682206682,0.6265947171379375,0.0011816388248535,-0.0003187700544581,0.1090962498293927,341450.7456789665,0.0023970308715107,0.0104251012145748,0.240145035430235,0.4611698389053345,0.0019328572088852,4.612743377685547,2.69877028465271,0.4899488687515259,1.0,0.0,0.1108458883166894,0.1012100870406655,0.0836235948378103,0.0653289192921932,0.0719638436156601,0.0833225709394536,0.1129837669507726,0.0619726629534881,0.0985181833006067,0.068043139419643,0.0450599557862375,0.091876753720313,0.1160965221431559,33,83,0.1571969696969697,1.0,0.3815591803269237,601.9010897877889,0.0001538729987795,1.446147582439114,7,11,0.5238095238095238,1.0,0.9064035423766392,108.42957587853788,0.0037992274041009,0.2243774314044988,0.1647374930781937,0.0897623595844605,0.7341981412614151,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005376205663196,0.0043492917902767,0.0007474671001546,0.0004579850647132,139,0.1887867450714111,71.36752136752136,7.411262035369873,1.8073972537930827,5.699894428253174,2.4121075579836937,0.0871981668831607,0.0310639224998728,0.057403505177159,0.1312104298024284,0.1993712333247447,6.505441283545981,44.15055809220868,18.18924745932519,5.297649049986028,1.8831969668280504,0.6509319607891801,0.9040464064548064,0.8708957807390891,0.821861851476185,0.6563445675604457
6,6,False,0.0,ViT-B_16-scratch,False,0.03,0.4268292682926829,0.2578183710575104,0.1674876809120178,0.1623931676149368,0.1959287524223327,tensor(0.3555),0.2236416786909103,0.4530929327011108,-1.4490851163864136,231.28852798618635,1.6475735902786257,0.4189341366291046,-1.5136359930038452,231.28852798618635,1.689387559890747,0.4694906771183014,-1.5139223337173462,231.28852798618635,1.7032208442687988,0.6193801164627075,-1.30232834815979,231.28852798618635,1.7874146699905396,6.850196499762178,0.1498894691467285,17.16512107849121,3.898249178746482e-05,1.0531010627746582,0.2061926505745656,-5.875076038108773e-05,2.0811143744517606,0.8811321997840695,1.060637523463886,1.2007475483847263,2.5503716444889704,0.9783485911773788,0.0005242232293483,0.0004859828272572,0.0528369826694699,0.0815733420858093,0.0002089941699523,0.1880688220262527,1.8208390474319456,12,1.35060568552173e-05,-6.886029031510595e-07,6.211465739029696e-06,1638.2983281318664,3.187495109632944,2.8631938154709298,0.3331300644527376,4.222222222222222,0.1015066502360265,30401449.199967712,2.1354809606959743e-05,19416,0.8282909918788461,2.4270179933466487,0.0104251012145748,0.0017932773021334,0.0059595352564102,0.58373665115726,0.0013613537510389,-6.940827101976324e-05,0.0631072023300504,301614.2592746083,0.0021524750251466,0.0104251012145748,0.1807548119906784,0.3713217079639435,0.0012722574174404,4.442953109741211,2.765202522277832,0.5287216901779175,1.0,0.0,0.1292546424791405,0.1140039074302863,0.1387165453863804,0.078670414937593,0.097814487168495,0.1263652341982375,0.0627754910556764,0.0789303498026928,0.0738932559387502,0.0728449766843996,0.065433990593822,0.0291683894733576,0.0613829573303086,33,83,0.1571969696969697,1.0,0.3096658988766151,446.0974166704792,0.000237916704695,1.4979182510661384,7,9,0.4285714285714285,1.0,0.8758002038426861,142.61725249586567,0.0025723266754063,0.1772224539847127,0.1624296474745746,0.0883937027234592,0.9165297275964024,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003630899882409,0.0040778210386633,0.0005916073569096,0.0002089941699523,134,0.2217891216278076,52.991452991453,9.076082229614258,1.7747201383548634,6.933077335357666,2.226129040832096,0.0879605029710963,0.0376470287108992,0.068770437461983,0.1258420994386199,0.2060187383910037,6.162215251085383,47.37434799390846,17.153149230070667,4.909241029732894,1.648291438591829,0.5661193261801192,0.9689391981362432,0.8514202282902394,0.6682370753929419,0.5747494866218977
7,7,False,0.01,ViT-B_16-scratch,False,0.03,0.4146341463414634,0.2545618116855621,0.1428571492433548,0.1794871836900711,0.0407124683260917,tensor(0.3816),0.2440884709358215,0.4654072523117065,-1.338554620742798,223.7143162946589,1.646536946296692,0.4297631978988647,-1.407359957695007,223.7143162946589,1.6888779401779177,0.4328755736351013,-1.4865858554840088,223.7143162946589,1.7083121538162231,0.2788993716239929,-1.6608363389968872,223.7143162946589,1.7873876094818115,6.757680226595962,0.1410098820924759,16.971750259399414,2.843718220901792e-05,1.041230082511902,0.1700080996471212,-0.0001210245967637,2.4931488992309,0.693166470818501,0.991918440298708,0.9464259593263338,2.980571544824159,0.6319259951328373,0.0003912431949402,0.0003615892257471,0.0566999640753198,0.0737725752079454,0.0001940467482199,0.1889820247888565,1.9326834678649905,3,7.982680850186652e-06,-1.44204593486947e-06,4.814426007137288e-06,2234.7822920389226,2.902453482840577,2.8725918165266866,0.3209040221504924,1.5555555555555556,0.1064094343310117,52716312.98515899,1.464250055192308e-05,72318,0.7909033184595297,2.4865291108646685,0.0094670880263619,0.0015313599041827,0.0049262315578894,0.6123333665848175,0.0011569373306745,-0.0002089970075095,0.1011268854785694,363734.0603228442,0.002122151119733,0.0094670880263619,0.2219414039491343,0.4595882594585418,0.0019111015135422,4.775430202484131,2.752345323562622,0.5056420564651489,1.0,0.0,0.1392764344982397,0.053175884735238,0.1479238992540523,0.0721477821968985,0.0801736656529447,0.1028948612067624,0.0930466689105009,0.0773980226485608,0.0960796741189826,0.051969302915566,0.0647540777727085,0.0841796081515829,0.0762565524362021,36,97,0.1539682539682539,1.0,0.3755727334882952,550.7454611746953,0.0001729704127004,1.423278160293386,7,14,0.6666666666666666,1.0,0.9360043695105992,108.22374456395056,0.0039166144055954,0.2204844998229573,0.1781186699418286,0.097766340212807,0.8078512098802988,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000304960849462,0.0035628131590783,0.0005010841996408,0.0001940467482199,159,0.1609333753585815,34.18803418803419,8.618393898010254,1.8057864048605872,7.7317705154418945,2.440340953892027,0.0780026928529438,0.0363636180717744,0.0584609086924129,0.1228502896753946,0.2014571477343913,6.272328582827426,63.2487051632288,16.921460307656655,5.054633833647783,1.7610006390352209,0.5333041410495086,1.3338398292802096,0.7664899049606094,0.6992877736671531,0.6036450506505564
8,8,False,0.0,ViT-B_16-scratch,False,0.003,0.4146341463414634,0.2714657485485077,0.149732619524002,0.1871657818555832,0.0481283441185951,tensor(0.3846),0.2627414464950561,0.3300498425960541,-1.7290092706680298,231.2883277398148,1.6416866779327393,0.3151949346065521,-1.7596977949142456,231.2883277398148,1.679245114326477,0.3323679864406585,-1.7568819522857666,231.2883277398148,1.7017645835876465,0.3517123758792877,-1.745005488395691,231.2883277398148,1.7873969078063965,6.814246621931188,0.064948484301567,16.365909576416016,6.611222261199146e-06,1.0346152782440186,0.2166169396897177,-1.3019677666648022e-05,2.927545062015479,0.9275966382894124,1.2021407063113625,1.2134973658362729,3.176191612832121,0.9517134216881796,0.0002161707045189,0.0001472816337724,0.0417325109024977,0.0849328232045316,8.968418114818633e-05,0.2171995490789413,1.8759167194366453,23,4.992907853475633e-06,-1.0205045848611643e-06,7.965880474943999e-07,1752.0465892836664,3.323143082256984,2.9843227987355734,0.2976199240800359,1.0,0.0710980384523812,143922862.76509345,1.0110884352504677e-05,26721,0.991249466397067,2.7200718156711567,0.0075740055504162,0.0005794196711512,0.0043134018097334,0.5348048926375127,0.0009639282817234,-0.0001970181330612,0.02969040649979,745484.4854349801,0.0019520022888302,0.0075740055504162,0.1118624723445868,0.5618555545806885,0.0003714673803187,4.845449924468994,2.7901275157928467,0.6065201759338379,1.0,0.0,0.1646155703272225,0.0421076633593227,0.1226286661199158,0.0773229197047174,0.1176741553754111,0.0809586512318896,0.0951078468870497,0.0724556955793286,0.0973384675634055,0.0256770010354708,0.1025799681393351,0.0732776378609133,0.0928713271432399,40,94,0.1205128205128205,1.0,0.4011734334413367,461.001398279689,0.0001591879262883,1.416866212812292,8,18,0.6428571428571429,1.0,0.8900396467727872,182.18260608977863,0.0021808186947105,0.2741236381750891,0.1545050745063092,0.0837201296909431,0.5636328028290039,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001298378920182,0.0015431172214448,0.0002080351405311,8.968418114818633e-05,151,0.4676567316055298,50.85470085470085,14.371339797973633,1.5601780647198575,12.276617050170898,2.3564199997357385,0.0721204089637292,0.0392963499393086,0.0555218164431581,0.1130048031698108,0.1911295854167771,7.324763577506197,70.41116228693991,21.1400518395374,5.444922330288954,1.7175514928972715,0.5032526365581723,1.1981839099216,0.7477481759530002,0.6104787632908198,0.5122031237620407
9,9,False,0.01,ViT-B_16-scratch,False,0.003,0.4085365853658536,0.245319202542305,0.1818181872367859,0.1871657818555832,0.0481283441185951,tensor(0.3592),0.2150750458240509,0.4199114441871643,-1.5925087928771973,230.5710766468452,1.6408799886703491,0.4041648507118225,-1.6282531023025513,230.5710766468452,1.683200716972351,0.4346565306186676,-1.633081078529358,230.5710766468452,1.7016868591308594,0.3694387674331665,-1.763843059539795,230.5710766468452,1.7873904705047607,6.882767373465558,0.0723908469080925,18.13933181762696,1.707475644252554e-05,1.0218710899353027,0.2626215421041671,-7.648060450726746e-06,3.058731824822245,0.95878348709144,1.252954628901137,1.6280460569168995,3.4737168899704574,1.2814522874464958,0.0002324959906516,0.0001822219633496,0.0467970508667365,0.089556473955878,0.0001087494092644,0.2137154787778854,1.882472276687622,23,4.733654251696467e-06,-2.1677184695045729e-07,1.035232094698775e-06,2053.642222905675,3.207843834311949,2.9419335331467096,0.3060830507460579,0.6666666666666666,0.0779545607616855,108967228.85900334,9.545210063418316e-06,42523,0.9651896823781494,2.74443843175889,0.0095254874324641,0.0006401933205636,0.0049375332270069,0.5575687247878895,0.0009528337586247,-4.363382957628902e-05,0.041944877517091,541346.4673679237,0.0019213482631709,0.0095254874324641,0.1288640385023766,0.5777800679206848,0.000414736859966,4.950589179992676,2.835538625717163,0.5871040225028992,1.0,0.0,0.1858466878167882,0.0417137847834734,0.0552143018924917,0.075616022380984,0.1178198915152513,0.1072128500633004,0.1121247116051021,0.0851649307154001,0.1207263158881274,0.1056111051126142,0.022037424888801,0.0800597345989758,0.0766989265554781,38,100,0.1422475106685633,1.0,0.4474991666718071,537.6922286667376,0.0001456570675981,1.365970485325965,7,15,0.7142857142857143,1.0,0.9118634277650552,128.66747770631216,0.004127998971393,0.2651754848695813,0.1844270149022266,0.1015806119698871,0.6954904409543423,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000155723770149,0.0017269867239519,0.0002422855031909,0.0001087494092644,152,0.4613089561462402,52.991452991453,13.967348098754885,1.5666636396584737,12.454511642456056,2.3240109779732285,0.0812230778196933,0.0421717218501538,0.0637079575561335,0.1284622356534475,0.2074185751710668,7.2335031881377,76.40858707980964,24.5366478323569,5.482519852260264,1.7176942167242717,0.5401600980144198,1.349813721202496,0.9498096075717811,0.6726323184507927,0.5405744054510749
