,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,inflow_from_5,inflow_from_4,model_id,AC,ANE,EMD,acc,l2,ood
0,photo,7.583197973610764,0.0069478726945817,3.467734034957401,3.467734034957401,4.722916401078692e-05,1.3325656652450562,0.8035980712121616,28.676290174379357,28.67628966219813,29.225682884625996,57.23761431037816,166.55981138761285,105.39879719895646,0.0012344044681276,0.0011902643138137,0.0700705925213079,0.4605211299783777,0.0002188081707572,0.1964333951473236,1.8131099939346316,22,6.929240284215128e-06,-3.890332746929467e-06,2.1781229616729305e-06,1443.7150573894282,5.753818989613049,3.136242240048714,0.4084055136227836,57.55555555555555,0.041032086915084,87357908.23421267,2.443299764153892e-05,2.0504513990234123,3.2743530306979856,0.0148340874811463,0.0011879528334029,0.0082625975713137,0.4779067438535035,0.0003933351881458,-0.0002208329772962,0.0070183778003386,1538951.911016755,0.0013869280436463,0.0148340874811463,0.0674336039512925,0.3255235850811004,2.158641621008428e-08,3.467733860015869,3.044851303100586,0.6574579477310181,1.0,0.0,0.2209786527821628,0.2146481181894419,0.7306020246431761,0.0067248681445631,0.0480249890228188,0.999999999613379,0.0,6.952611610581486e-06,0.0011879771849875,0.0610356637460848,0.041415203046447,0.0,0.4070606269147806,0.0,178069.81118729597,3.2686955807326434,0.0,0.4784944371251613,0.999999999999,0.0,0.0026880251870816,0.4592968475421342,0.0610356637696214,0.041415203046447,0.0,0.4070606269147807,0.0,460.5798497368156,3.2686955807326434,0.0,0.4784944371258347,21,42,0.2,1.0,0.4739698342669901,475.97890461404353,0.0003610266105948,0.4407448677565524,31,73,0.1569892473118279,1.0,0.2886861752891865,365.4848957445105,0.0003442497394101,1.3822944733757687,0.0884803294338394,0.0462879513071571,0.2007518088281223,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002827104181051,0.0025865130592137,0.0003949820820707,0.0002188081707572,139,,,0,0.5196356773376465,-1.3326280117034912,1.6561341285705566,0.5628742575645447,322.44194233989174,
1,cartoon,7.660635113718319,0.0127820651978254,6.509530632426748,6.509530632426748,0.0003269908102083,1.2546284198760986,0.2405465061275051,14.58194457639697,14.58194343064758,15.013762801769138,29.56062726479444,61.53848485701569,45.2258515640515,0.0013081552341986,0.0012790257233632,0.039379068485118,0.4736819411567447,0.0003039837174583,0.2046595215797424,1.8194934129714968,22,2.232602404765957e-05,-4.668938407917114e-06,4.744091763524679e-06,1146.832395372844,4.167303360170759,2.944918697483355,0.3662184454446566,9.555555555555555,0.0610317055359362,18608570.1621553,4.333068972226937e-05,1.1801347691448534,2.745500366586138,0.0143715143715143,0.0013262254499723,0.008374879734103,0.4661945119543931,0.0006720753071789,-0.0001405480084228,0.0042989874576083,618167.9058527751,0.0013043740568923,0.0143715143715143,0.0399230677501654,0.7967739105224609,3.1416512058513035e-08,6.509531021118164,2.9054081439971924,0.7222259640693665,1.0,0.0,0.13555580380927,0.3121764173868102,0.6406656787251526,0.0175198022617341,0.0175844717528143,0.9999999997485252,0.0,2.233397025830221e-05,0.0013793629540333,0.1585714785361348,0.0613026645043532,0.0,0.3709347916783044,0.0,66942.78457524559,2.7205338269216286,0.0,0.4655490814945755,0.999999999999,0.0,0.0056164272677192,0.3468748107710391,0.1585714785758529,0.0613026645043532,0.0,0.3709347916783047,0.0,266.2009296024569,2.720533826921629,0.0,0.4655490814951415,13,23,0.2948717948717949,1.0,0.5401325590195736,211.38428627033267,0.0011872599289008,0.7545263639636602,24,49,0.1775362318840579,1.0,0.3319139208827362,340.74552270161,0.0004210607699806,0.7982623668587712,0.2236056345887842,0.1258761224099143,0.2963523148669641,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000406596227549,0.0039765438996255,0.0006100294995121,0.0003039837174583,108,0.0120536298734887,,0,0.4933625161647796,-1.3768694400787354,1.7168859243392944,0.6478260869565218,322.44194233989174,
2,art_painting,7.712314933400456,0.0127526056021451,5.16567056453153,5.16567056453153,0.0001351240789517,1.4730509519577026,0.259055655471464,19.41747842638589,19.417477506705723,19.661611725645432,33.42111427457827,51.89534141848056,75.5911480802165,0.0011531486255615,0.0011301100952469,0.0431523914203501,0.4437049934111502,0.0002053118078038,0.200183093547821,1.8148306608200075,22,1.4694796868477115e-05,-5.731570481475241e-06,3.1529740272996998e-06,899.9395336641207,4.397782371188892,2.872381202790993,0.421765298649276,4.0,0.0879497360451301,24994575.483423,3.7896689766404005e-05,1.3231293945491234,2.7699675381500963,0.0145891690009337,0.0010480091946178,0.0088800705467372,0.5071527869066011,0.0005498967361755,-0.0002144821765161,0.0044152521016563,667925.7874978787,0.0014181390994631,0.0145891690009337,0.039217747796719,0.6439648866653442,2.183873171190953e-08,5.165670871734619,2.884247064590454,0.6972376108169556,1.0,0.0,0.1227148775502978,0.2349228382835152,0.7319685429370516,,0.0232517516479684,0.9999999996738854,0.0,1.5062215040043558e-05,0.0010485720991023,0.0691480787842523,0.0892015887149364,0.0,0.421106374998601,0.0,77122.84462587154,2.75004767153522,0.0,0.5019541822189849,0.999999999999,0.0,0.0049120079823031,0.3419546532245154,0.0691480788067333,0.0892015887149364,0.0,0.4211063749986009,0.0,236.4900208712738,2.75004767153522,0.0,0.5019541822198915,17,31,0.2279411764705882,1.0,0.3848794426134064,224.45148275935105,0.0007557024919648,0.816769252534294,18,36,0.2352941176470588,1.0,0.5184534584029217,234.99166575307697,0.0007334781798307,0.8232518596187881,0.1799894439234587,0.0988947252654776,0.2203675559100474,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003388331679161,0.0030664068181067,0.0005136765539646,0.0002053118078038,93,,0.0098568671314647,0,0.4983106255531311,-1.390461564064026,1.687692403793335,0.5522388059701493,322.44194233989174,
