,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_38,test_alphaReQ_location_38,test_ATC_location_38,test_EMD_location_38,test_AC_location_38,test_ANE_location_38,test_acc_location_38,test_f1_location_38,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
58,58,58,60,60,60,7.614033553698992,0.0508562959730625,2.307612725393984,2.307612725393984,0.0,1.282096266746521,0.2240793310091232,0.079264400595061,18.54742672178584,520.3514520734726,85.43282812651155,10.842768437104782,2.211461692788536,0.0917340876115168,0.0997139763494875,0.1147884466201494,0.1836264740978637,0.0025507573894466,10.773835844448447,1695227256.2775762,147.73938190023992,68.27686745378855,21.16045237398068,10.833652763142592,27.596314828075148,0.0028744063376748,0.0027667993320292,0.0229739118253177,0.146869256158901,97.4023895263672,0.963729074006543,0.7611939907073975,0.5578591823577881,113.74815368652344,0.9655564934522396,64.41372247823861,2.087444305419922,0.6493119597434998,-1.0481698513031006,0.4362519201228879,0.1440346986055374,0.4548379778861999,1.0445063886524957,11.196340592635242,3.4314267609480384,0.916420389947982,0.4982225391642921
59,59,59,61,61,61,7.389429261830558,0.0356947258114814,2.83456319769332,2.83456319769332,2.3288344891625457e-05,1.315504550933838,0.4403323148127115,0.1610316773134348,16.969333665262383,377.1073212720729,70.86633708943639,10.431423361576432,2.07782055443182,0.1171644384916131,0.2120006374672272,0.223486320893808,0.2959709327200103,0.0016762090926505,9.127112964251085,63.29370567301135,81.17794190852001,42.80034635270001,19.226133012947287,10.297122647044803,28.163098100335336,0.0018811960854066,0.0018662819355483,0.0426137568719377,0.1920260728425788,41.12633895874024,1.2319895532993366,0.7599502205848694,0.532998263835907,39.5831413269043,1.3304369061850547,52.89298515104967,2.0626940727233887,0.5815235376358032,-1.2648699283599854,0.4290834613415258,0.1378808468580246,0.4725560545921325,0.6990208856877248,15.159990963270769,5.206436279810904,1.4952530742065464,0.7029057498443226
60,60,60,62,62,62,7.634884712503879,0.069632276892662,2.525757902771546,2.525757902771546,0.0,1.5755250453948977,0.3178540566693503,0.1025808539170337,16.70015483620214,465.81889915581945,76.1907020702002,10.053588789395208,2.0215864985674545,0.1285135584492998,0.1331060132809781,0.1451798967846825,0.2158111112570069,0.0036857453423171,10.811774353170216,2549744822.3177342,159.21417772938852,75.71561069408396,21.05055499445214,10.69857094350058,29.50430128767165,0.0041235032248607,0.0040189659316922,0.030027059879538,0.1851416141520838,89.74878692626953,0.968127892857736,0.8457711338996887,0.6581608057022095,99.31011962890624,1.0126743745872948,64.87455197132617,2.145515918731689,0.7225741744041443,-0.8071451187133789,0.438300051203277,0.1451150178909301,0.5617670118808746,1.163177798549018,12.96588540324711,3.854393754423048,1.0280459257342396,0.5363431325617876
61,61,61,63,63,63,7.143474623282608,0.0216215588152408,2.911662776006248,2.911662776006248,1.3775179468211718e-05,1.3815670013427734,0.3688399082424052,0.1342164206906678,19.37771478122829,453.2970965713564,76.32523981607645,12.149494680546796,2.237550899403619,0.0691810398100539,0.1667628616938135,0.1832232962672027,0.2639983201856989,0.0010353367303679,14.576380761709183,917440047.4876164,111.70395101287087,40.58166372250064,15.772308706227308,10.307571650980186,26.78390601332477,0.0012027985154361,0.0011947644640315,0.0395888391909903,0.1902655358921309,29.87042808532715,1.429896109445721,0.7425373196601868,0.5192325711250305,24.41699409484864,1.557412512174818,47.67025089605735,2.046945571899414,0.5484960675239563,-1.3785394430160522,0.4342037890424987,0.1445435881614685,0.5973107218742371,0.713231526160948,15.58216075826459,4.877129468394237,1.5044032615786505,0.6761939357899508
62,62,62,64,64,64,7.652046835470192,0.1135595887899398,2.3360339854840544,2.3360339854840544,0.0,1.4328101873397827,0.2961069574882944,0.1005429658751776,16.37700139993249,413.9502907954222,70.37810195493843,10.018682589594889,1.916631195721431,0.1268341644447901,0.1322405532877661,0.1433770203416101,0.2226275534671065,0.0050099120454731,10.27170666721504,3533571376.465261,115.76263448064869,62.44735841681327,20.361809948792214,10.806635040747691,35.02032814797868,0.0055817688029478,0.0054998305482101,0.0286552018207053,0.1580505199997732,108.99674987792967,0.96721153298101,0.9104477167129515,0.8605756163597107,102.65608215332033,0.963435421973783,59.651817716333845,2.189416646957397,0.7335928082466125,-0.7238169312477112,0.3952892985151049,0.1330771893262863,0.5809863805770874,1.0815620166431528,10.89090677124773,3.3502776946524966,0.9779893421244814,0.531087709930932
63,63,63,65,65,65,7.236169442706203,0.0179802998900413,3.005438951134362,3.005438951134362,1.154409437731374e-05,1.4529541730880735,0.3674161892555697,0.137802845749744,17.82877245027878,288.2911918501432,65.20491562310148,11.67282180302388,2.3539976662347177,0.0788447001244361,0.1676372073080093,0.1893230263935914,0.2656603946937618,0.0007256651750982,9.418231569547508,34.61469680375206,52.22293872052688,21.154346310406872,10.22167921087493,6.991839558501639,14.973157715208446,0.0008811252800668,0.0008731358506324,0.0423401790431431,0.1805469322404879,20.283327102661133,1.4530407358258526,0.6990049481391907,0.5066329836845398,22.51241683959961,1.5466460617922373,50.9984639016897,2.040748119354248,0.5202895998954773,-1.4474021196365356,0.4444444444444444,0.1231505125761032,0.663364976644516,0.6347933235957554,10.718313115444731,4.305209896130984,1.5066510212791773,0.7039995464418894
