Unnamed: 0,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_hospital1,test_acc_hospital2,val_AC,val_ANE,val_l2,val_EMD,test_AC_hospital1,test_ANE_hospital1,test_l2_hospital1,test_EMD_hospital1,test_AC_hospital2,test_ANE_hospital2,test_l2_hospital2,test_EMD_hospital2,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,sharpness,test_ATC_hospital1,test_rankme_id,test_alphaReQ_id,test_rankme_hospital1,test_alphaReQ_hospital1,edge_start_ratio_deep_vs_shallow,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5
0,0,False,0.0,ViT-B_16-scratch,False,0.01,0.9422824791418356,0.9422057271003724,0.8191324472427368,0.5892021656036377,0.94038325548172,-0.1644593775272369,231.29076710896683,2.3826582431793213,0.889321506023407,-0.2694211304187774,231.29076710896683,2.379337787628174,0.8539914488792419,-0.3443719744682312,231.29076710896683,2.4393444061279297,6.670169811759179,1.311320424079895,29.90166664123535,0.0006488846192951,1.0468562841415403,0.2113585614797649,0.0040486506033516,1.6905596658026352,1.6905625476166095,2.2899028142237103,2.795811828416183,5.1464206963080965,1.835033238924208,0.0134253101635408,0.0077651079506608,0.0521229282510372,0.1770651611461137,0.0077806743793189,0.1949122250080108,1.865574836730957,23,0.0001571875303387,-8.881005757568276e-06,0.0022309149481246,1847.409809932169,3.753184269503149,2.8187736806812302,0.4151545368565351,16.88888888888889,0.0339723055383651,3084527.8972026384,0.0003555825195993,50602,1.2894246292642428,2.7367761984077075,0.0123481781376518,0.0274915338666901,0.0061274509803921,0.6280780562508239,0.0006102846930785,-3.4480711468926235e-05,0.0336288301535928,794464.1951567798,0.0013805583744005,0.0123481781376518,0.1067365962322905,1.0190446376800537,0.0001193388234241,4.304081439971924,2.844759225845337,0.5128306746482849,1.0,0.0,0.1612362195792629,0.0562073489992466,0.0357023860335354,0.1026390908183218,0.1801170607158978,0.0602731141089588,0.0493283995540656,0.0289793928101006,0.0726255166959658,0.078834931169802,0.1362958571128309,0.1174276863747181,0.0815692156065562,31,72,0.1548387096774193,1.0,0.2742204822192488,766.4485455487371,0.0001392868416115,1.2325478260184055,9,24,0.6666666666666666,1.0,0.8735344716823286,397.5027761285533,0.000942505445359,0.4461168647112978,0.1606676546351483,0.0873510733609581,0.3601470093248403,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0095870224758982,0.0856535732746124,0.013847135938704,0.0077806743793189,145,0.180712778121233,87.54870501948201,30.164779663085938,1.4954079235669706,32.324886322021484,1.4872949349638072,0.0922963196756383,0.04610840167581529,0.07444142849049365,0.14715233246567835,0.2500139517290514
1,1,False,0.0,ViT-B_16-scratch,False,0.01,0.9438617401668652,0.9438100457191468,0.8348899483680725,0.5837938189506531,0.942550539970398,-0.1563598364591598,231.28991616986744,2.391094207763672,0.8951608538627625,-0.2568362951278686,231.28991616986744,2.378344774246216,0.8351852893829346,-0.3730943500995636,231.28991616986744,2.440672874450684,6.66717801587178,1.3907564878463743,30.62831115722656,0.0008637121354695,1.039911866188049,0.1600559827762579,0.0042759125258271,1.7150498090904878,1.7150526739344325,2.298353392534733,2.831755977403422,5.226275403944216,2.0143314799126504,0.013743823882919,0.0081742929702386,0.0431560664132316,0.1800206496644631,0.0103571359068155,0.1968229562044143,1.8536103963851929,23,0.0001858253420859,-2.428986407865361e-05,0.0032493180422071,1964.539546845113,4.043256136034784,2.8305230207669547,0.4270961271256264,10.888888888888888,0.0235277235763324,2766439.767193125,0.0003795009702405,43143,1.2211356005318077,2.6916390912626937,0.0108661663539712,0.0377295308819023,0.005393335623497,0.6449115425228795,0.0005835232315414,-7.627430240858709e-05,0.0320404523355708,880983.9681475497,0.0011916977094298,0.0108661663539712,0.1184771527729004,0.9707400798797609,9.40399695537053e-05,4.09401798248291,2.7786757946014404,0.4940949380397796,1.0,0.0,0.1508304371550677,0.0517843625493291,0.0338643067258215,0.095141999957056,0.1851094428243016,0.0591469913221275,0.0458582836991941,0.0272657558981714,0.0691944310175266,0.0780305701079306,0.1566643859110398,0.1068678706832361,0.0910715993042651,32,76,0.1532258064516129,1.0,0.2341144057745408,793.977669163504,0.0001336080063552,1.2919158063126006,9,24,0.6666666666666666,1.0,0.854788910201643,369.21487894018367,0.0009469983998525,0.3973127825010773,0.1553857055931609,0.0842375048617561,0.3910916346939822,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0127783073112368,0.1017049252986908,0.0177018325775861,0.0103571359068155,149,0.11310950294137,89.06142562457025,35.052574157714844,1.4847605079512691,36.498382568359375,1.463148590279424,0.0768805798639372,0.03807479912929273,0.05970142070975124,0.12201824987557217,0.21028581743258906
2,2,False,0.0,ViT-B_16-scratch,False,0.03,0.9578069129916568,0.9577747583389282,0.7709431648254395,0.671220600605011,0.9508431553840636,-0.1359990090131759,231.3060550334651,2.4040393829345703,0.8999990820884705,-0.2388519048690796,231.3060550334651,2.387319564819336,0.8598085641860962,-0.32936492562294,231.3060550334651,2.4446892738342285,6.613539017857303,2.052391290664673,26.750368118286133,0.0009254048927687,0.99960058927536,0.2476028906654823,0.0035257557090631,1.5115232854559664,1.5115254779250469,2.0608014541709934,2.462938294094395,4.981801478134021,1.870448454724944,0.0142043413280248,0.0109413278084389,0.0608565117478617,0.1426067541284666,0.0056991535238921,0.1983897089958191,1.9303765296936035,21,0.0001978183724661,-6.644126348814616e-06,0.0018519005769911,1785.540185345238,3.511031191018522,2.922494473351245,0.4244356177856478,6.0,0.0715685910979642,2774181.009811839,0.0004568983690412,329165,1.2182928008371958,2.844977640051997,0.0132549361207897,0.0247097028567002,0.0066125791602024,0.5661531033506628,0.0008475616295394,-2.8467051167154617e-05,0.0339959352953269,647485.6253265936,0.0019576014138871,0.0132549361207897,0.1058698242553115,0.6221801042556763,0.000209268881008,4.71390962600708,2.840014934539795,0.5295395851135254,1.0,0.0,0.1457787174459346,0.0539671367023096,0.0412325111149786,0.1412518081225867,0.1150352305668609,0.0481443605165876,0.066163903715658,0.0610052003500601,0.0945915172970008,0.0663053830606608,0.0579564255164169,0.135627089471468,0.1187194335654115,34,76,0.1354723707664884,1.0,0.1725204325198069,624.8601909247126,0.000149603265644,1.1804738716054142,8,22,0.7857142857142857,1.0,0.9495561167445914,205.0878793379001,0.0016093278588046,0.44257732638197,0.188474401006308,0.1040418093517453,0.4258564317947992,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0071446797810494,0.0808163732290268,0.0112869385629892,0.0056991535238921,144,0.2629553712904453,88.57151042860417,28.093036651611328,1.6546463944378742,29.791013717651367,1.606192078937856,0.097711426979584,0.0419477101862357,0.07914764561412278,0.15318073413897856,0.2343727227957008
3,3,False,0.0,ViT-B_16-scratch,False,0.003,0.9019964243146604,0.9015637636184692,0.8214244842529297,0.4595315754413605,0.8629593253135681,-0.3273810446262359,231.2861526996261,2.362080335617065,0.8751279711723328,-0.2987050414085388,231.2861526996261,2.3671584129333496,0.8413804769515991,-0.3601626753807068,231.2861526996261,2.4466488361358643,6.7755544938178005,1.3461555242538452,24.05823135375977,0.0010233116481686,0.949761152267456,0.0637288278631157,0.0026556424558066,1.5364179061226402,1.536421008644295,1.962505305922038,2.2584982342652222,5.17097557735015,3.052111262526537,0.0097157126923548,0.0077216229805117,0.0277786742002003,0.1379992551420416,0.0192505810409784,0.1554589122533798,1.7871909141540527,23,0.0002360458892803,-1.48729897505092e-05,0.007608274385801,1971.694092280087,4.035911192899276,2.580669229038069,0.3218766050620793,16.666666666666668,0.0120220233319941,2152897.532026046,0.0003753180118996,18127,0.6807387914525918,2.091436077410407,0.0084785133565621,0.0739531717852073,0.0045368757259001,0.7166606415683023,0.0006749302027388,-4.252662521741493e-05,0.0622029571777841,752940.9736420258,0.0010731534767178,0.0084785133565621,0.2114556227356971,0.7168982625007629,6.794342334615067e-05,2.952766895294189,2.445521116256714,0.3851699233055115,1.0,0.0,0.1156018024149346,0.0620680423644154,0.0778467329749158,0.1591578116127011,0.1708787802641794,0.0603347812107842,0.0555744935695829,0.0828498924609555,0.0537748577027786,0.0438479137824996,,0.1151792111691124,0.1184874828880745,35,95,0.1596638655462184,1.0,0.3110349312996109,749.4939261286011,0.0001476823035329,1.6608956585738062,7,13,0.6190476190476191,1.0,0.6742034151488737,243.2825729323699,0.0024366340249338,0.1549486234823331,0.0920778589719304,0.0482608052980164,0.5942476732129788,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0219057686626911,0.1170293241739273,0.0280486214905977,0.0192505810409784,148,0.1496387496590614,90.0212010084804,28.651445388793945,1.4886692692379797,31.192813873291016,1.4932892837384808,0.046836947138668,0.017495975593418537,0.034448138215370086,0.07193268727715942,0.12976687522489141
4,4,False,0.0,ViT-B_16-scratch,False,0.01,0.9423122765196664,0.9422401189804076,0.8073573112487793,0.538928210735321,0.9273656606674194,-0.1940282136201858,231.2898655463605,2.3864495754241943,0.886174738407135,-0.2721481323242187,231.2898655463605,2.377304553985596,0.8175899386405945,-0.4013763070106506,231.2898655463605,2.4475302696228027,6.754102526756672,1.6142220497131348,25.91824531555176,0.0022615141133428,1.0230534076690674,0.1429512269290618,0.0028969721040539,1.4122724387418897,1.4122744477714293,1.8460581327511505,2.1462616783081114,5.6890534570525295,2.4302172419835526,0.0129718902838931,0.0089549825910353,0.0369719866972329,0.1437833397683717,0.0076696584001183,0.1924251466989517,1.8360509872436523,21,0.0002353136915869,-8.305974580177637e-06,0.0038263945211598,2006.2363071938048,4.183391776569367,2.9395949806880624,0.3696867364128766,1.5555555555555556,0.0481877024576308,2479979.6561119035,0.0005731651314057,102249,1.1882075838598938,2.777109324212253,0.0101010101010101,0.0401585857707753,0.0051837020086448,0.582882812347783,0.000670713634058,-2.367449279194733e-05,0.0310863420231259,870077.9895869627,0.0016336901741302,0.0101010101010101,0.1144638505142046,0.9106468558311462,6.79996664985083e-05,4.189387321472168,2.733053684234619,0.4931205213069916,1.0,0.0,0.1746601388254645,0.0408805684603696,0.0782365346821349,0.1664332433157216,0.1167939421561236,0.0203125026642929,0.0943610128467553,0.1117728514460155,0.0731673102099861,0.0373078778223183,0.0379299909615437,0.1183128762009498,0.1044912892337882,39,89,0.1201079622132253,1.0,0.2829341420636657,621.0446686858387,0.0001508570598461,1.3716824267230576,7,18,0.8571428571428571,1.0,0.8538582184897912,159.39782074880813,0.0055005692118261,0.2795549333896813,0.1743813199436305,0.0955190269735004,0.6237819444973071,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0110743511468172,0.1097196415066719,0.0164880864322185,0.0076696584001183,160,0.0588335171341896,88.1532202612881,34.43402099609375,1.4763682809212886,36.882591247558594,1.4811658291022465,0.0680825230754787,0.024516930729044272,0.050845599929816986,0.10619323077904923,0.17593917281484203
5,5,False,0.0,ViT-B_16-scratch,False,0.03,0.9567938021454112,0.9567493200302124,0.7850962281227112,0.6583464741706848,0.951142430305481,-0.1351209282875061,231.30569723463373,2.404515504837036,0.8969221711158752,-0.2458745390176773,231.30569723463373,2.394932985305786,0.8586129546165466,-0.3320819139480591,231.30569723463373,2.443115234375,6.629540087154378,2.0990633964538574,24.800752639770508,0.0011106484380434,1.0294272899627686,0.2275147190151798,0.0024883035342853,1.3205481000668458,1.3205498002769411,1.7399365577061263,1.6283973634615578,3.3602137671508125,1.4257857274392614,0.0135064513217457,0.0099779448403296,0.0566239990048474,0.1178906312036359,0.0050731794908642,0.2018908262252807,1.9282987117767327,21,0.0001925259403693,-5.662068587109536e-05,0.0019233681357493,1922.8395879789348,3.424044861486625,2.9165786385349954,0.4180939224498831,12.666666666666666,0.0813667111338135,1966026.6395674408,0.0004071133228458,263043,1.232519529168972,2.828104247502995,0.0128752234015391,0.0249726064152098,0.0064274949023316,0.5670442371772159,0.0008071746924367,-0.0002373850469581,0.0338079595981819,468933.3560568873,0.0017068430485377,0.0128752234015391,0.1046989062701528,0.5374771952629089,0.0003669280267786,4.643841743469238,2.813640832901001,0.5194039344787598,1.0,0.0,0.1448094037492784,0.0708321461113453,0.071707600140604,0.1302596867474594,0.1066663244510835,0.061960874295587,0.0471084330770726,0.055735683654991,0.0831433528697409,0.0668630248683001,0.0785079319271118,0.1132912337949049,0.113923708061799,31,74,0.1591397849462365,1.0,0.1822860328547743,526.1507021506611,0.0002092109886887,1.2419071710809957,8,21,0.75,1.0,0.8612527987612285,282.7822611504827,0.0011254935345827,0.3955982390875227,0.1812472949157412,0.0996547218371528,0.4581600143969341,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0068134581670165,0.0845569297671318,0.0112980781123042,0.0050731794908642,146,0.2806330397725105,88.1303002521201,27.90752410888672,1.632525370907517,30.768861770629883,1.58393008222147,0.0934677592572659,0.03678514027426486,0.0713826799437604,0.14257162995377431,0.2242843570765636
6,6,False,0.0,ViT-B_16-scratch,False,0.003,0.8943980929678188,0.8943072557449341,0.823859691619873,0.4445058405399322,0.8655309677124023,-0.3248144090175628,231.2861503592633,2.360365152359009,0.8769811391830444,-0.2909299433231354,231.2861503592633,2.3683557510375977,0.8196614384651184,-0.3876548409461975,231.2861503592633,2.4468860626220703,6.764527092444026,1.4211455583572388,22.72712135314941,0.0010072774020954,0.9500185251235962,0.0661659177045376,0.0032708991507774,1.6827292686557396,1.6827327800824787,2.1692531034065445,2.427520812325851,5.438506555254768,3.4513066175110447,0.0103926577610309,0.0083705850522619,0.0287772547231677,0.1338630395982665,0.0195679273456335,0.155694305896759,1.799464225769043,21,0.0002157927452056,-2.432386160372606e-05,0.0081827340265304,1988.0207135731664,4.106143285525074,2.5999352448775483,0.3284945096916447,28.222222222222225,0.0129823227160647,2605239.339110346,0.0003994438573357,34444,0.6973191564061171,2.1194681969981963,0.0100296989831873,0.0761331774107896,0.0050889949145763,0.7176250888248026,0.0005975591749116,-6.735603462372183e-05,0.0627460758658487,940813.5485248212,0.0011061138002928,0.0100296989831873,0.2108230164768705,0.712183952331543,8.125577005557716e-05,2.926629066467285,2.461122989654541,0.3879742920398712,1.0,0.0,0.1216962168577571,0.0600374846343805,0.0630105121685861,0.1693397944282853,0.1688643695329071,0.0563736716027567,0.0505416075694215,0.0854483324211771,0.0602611500848753,0.0383793687413069,,0.1259198123978206,0.1218238964184822,36,95,0.1507936507936507,1.0,0.3061437078132127,784.2876296998842,0.000130032033274,1.6556011042554926,8,17,0.6071428571428571,1.0,0.6822958079528204,478.19686726772073,0.0011299894010776,0.1648406831106709,0.0897791063169181,0.0469993321787072,0.5446416783934468,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0223552193492651,0.1225624457001686,0.028840372338891,0.0195679273456335,152,0.1545415557920932,89.13018565207426,30.13092041015625,1.4876261544675378,32.0496826171875,1.4912857674207411,0.0479221586165147,0.01776203055626079,0.03533197675612131,0.07430624549100207,0.1330307561759177
7,7,False,0.0,ViT-B_16-clip-openai,False,0.01,0.991030989272944,0.9910300970077516,0.9261115789413452,0.9253297448158264,0.989588737487793,-0.0317593142390251,322.44178520007017,2.412158727645874,0.9560056924819946,-0.1101975291967392,322.44178520007017,2.420651912689209,0.9653728008270264,-0.0872846990823745,322.44178520007017,2.497519969940185,7.566770041513056,1.3156976699829102,30.28389358520508,0.0001867864339146,1.4374234676361084,0.4461829114051939,0.0151409359780103,36.28093893464271,36.28174212323472,37.75078105594122,65.14604950927877,114.99685839486082,1087.38527262472,0.0162004890272555,0.0153467589417459,0.0756382658086525,0.3532425184245182,0.0060975025407969,0.160575583577156,1.8429323434829712,22,7.919238080234267e-05,-9.944416084456737e-06,0.0010073322306342,1655.7883962616927,5.1099160825407415,2.980083028233804,0.4550572738919547,17.555555555555554,0.0296230879093,9462291.033457268,0.0002977411711071,72130,1.1773842062035618,2.6950480217728217,0.0126123498401175,0.0223790782577621,0.0067872685049665,0.6186022403226201,0.0003697400472879,-4.6429328819852544e-05,0.021958310046415,2026670.790354628,0.0013901190226411,0.0126123498401175,0.1044853220606132,0.7393873333930969,0.0001946267148014,4.157583713531494,2.9873714447021484,0.6274930238723755,1.0,0.0,0.1846133477178237,,,0.1478643086721051,0.7474336023250872,,,,,,0.0065550266925542,0.0245398330388773,0.073607229271376,24,41,0.1485507246376811,1.0,0.514234040738782,570.5425803919762,0.0001896796416927,0.7686711137082932,33,90,0.1704545454545454,1.0,0.3469642460414684,552.5533081826658,0.0002361881083755,1.108981362192884,0.0611737620494114,0.0315519569789164,0.0795837920255535,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0069885868579149,0.0522919856011867,0.0095069548115134,0.0060975025407969,158,0.1644852180033922,96.2411184964474,193.19674682617188,0.8945926334035452,155.12518310546875,0.9824066326817972,0.3303284993566109,0.21320900830047274,0.3322379762523309,0.43503457097152715,0.5286477131107392
8,8,False,0.0,ViT-B_16-clip-openai,False,0.03,0.9871573301549464,0.98715478181839,0.8658892512321472,0.7448326945304871,0.9858306646347046,-0.0421396307647228,322.456379094953,2.4079785346984863,0.935717225074768,-0.1592610776424408,322.456379094953,2.396831512451172,0.928512156009674,-0.1764734387397766,322.456379094953,2.471027374267578,7.427479429718309,1.467114806175232,16.248769760131836,0.0002017471997532,1.0537723302841189,0.0709035039679096,0.0091721810188687,15.900229707359983,15.900485704504227,19.140120228372894,16.170112027539744,26.05618718529453,39.87170954016539,0.0117819394645266,0.0107603035421561,0.0246623857746726,0.1191742263359805,0.0466274693608284,0.1696572005748748,1.7866064310073853,22,0.0002428850961131,-6.621675002440371e-05,0.0162065736666086,1438.0405483343022,5.545754653782664,2.110905713208592,0.2775714644265101,92.25,0.0062152487401139,1852236.9088562469,0.0005571622663004,22286,0.397775184671597,1.519602863608331,0.0127903600464576,0.1205656821496066,0.0070725097494877,0.7537346642766449,0.0005084172724926,-0.0001386076791874,0.0710117264598712,884865.1802400794,0.0011662754245615,0.0127903600464576,0.2523731452266513,1.0272220373153689,0.0007601390825584,5.621992111206055,2.689667224884033,0.6586871147155762,1.0,0.0,0.1221940288958838,,,0.3069583944640488,0.1593041233121276,,,,,0.0513292613462718,0.0636959863481443,0.135440695938152,0.2832715385912553,26,57,0.1753846153846154,1.0,0.3864570045014565,567.3502506987503,0.000249492634951,1.679417209693428,16,37,0.3083333333333333,1.0,0.325547119288321,826.2633769802125,0.0003809760997026,0.2119451551446323,0.0543188175809699,0.0279176352589463,0.2562871396796142,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0478471331298351,0.1231710389256477,0.0517102964222431,0.0466274693608284,129,0.0542069403454661,93.27584231033693,51.95138168334961,1.0605557562344257,77.01713562011719,1.075002262877636,0.0938780506485861,0.01706279203706039,0.05735433578044763,0.15624661041060042,0.27457023424736676
9,9,False,0.0,ViT-B_16-clip-openai,False,0.003,0.9881406436233612,0.9881395697593688,0.8830792903900146,0.9478801488876344,0.9867662191390992,-0.0407583601772785,322.43951464050394,2.401970386505127,0.9436277747154236,-0.1398683488368988,322.43951464050394,2.407414436340332,0.963372528553009,-0.097505435347557,322.43951464050394,2.4847121238708496,7.432835966042824,1.9102150201797483,25.17546463012696,0.0003448109200689,1.497184991836548,0.1548154858792062,0.022102165757218,31.473189462459604,31.47361982809716,32.88416308228961,72.32773078248198,115.63492241332902,-258.464473455525,0.0238505022729782,0.0213715617077809,0.030783579275559,0.2816631469715457,0.0412263460457325,0.2010095566511154,1.782540798187256,22,0.0003532466508524,-0.0002294685185715,0.0108343946695747,1291.3669148103177,6.572173021169256,2.7940274272519496,0.500024937253606,22.25,0.0102077733865882,1298092.0948288776,0.0011926592688148,26783,0.9434735814623224,2.476275663733771,0.0144488361879666,0.0961786701805734,0.0080700087114912,0.5835525831103491,0.0004559312876993,-0.0002961723165958,0.0180487588119624,1005736.3813053112,0.0015393512622129,0.0144488361879666,0.1241366762180959,0.8415278196334839,3.910910163540393e-05,5.040445804595947,2.900200366973877,0.6528403759002686,1.0,0.0,0.2032499736626263,,,0.1280276549042615,0.7349731494189218,,,,,,0.0163603140656375,0.0206826662753472,0.0999562153358318,27,54,0.1538461538461538,1.0,0.26590421006226,389.5934330560574,0.0003757108502481,1.2129072038186957,19,44,0.2573099415204678,1.0,0.1593380215460036,423.5176512514184,0.0005470356019936,0.6098495586422883,0.088621618769508,0.0463652930470291,0.1453171811205486,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0413069985806942,0.1410342305898666,0.0430496558547019,0.0412263460457325,131,0.6011096835136414,93.27870731148292,220.7621917724609,0.7797231447360369,165.14602661132812,0.8497422798185453,0.1322584624879687,0.07895182874550684,0.11953102769007119,0.19616432114311194,0.3293850335177373
