,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_38,test_alphaReQ_location_38,test_ATC_location_38,test_EMD_location_38,test_AC_location_38,test_ANE_location_38,test_acc_location_38,test_f1_location_38,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
0,0,0,0,6.892046924621118,0.0354646667838096,3.1826176995259123,3.1826176995259123,1.5170553524512798e-05,1.176326036453247,0.1800464707331156,0.0642347855094414,10.546114874424594,121.57668384780018,37.07070715972884,7.326604747813339,2.198246214162664,0.0654927493702688,0.0507576102633642,0.1041614307147213,0.1887619305649149,0.0002547400432924,10.157259324417229,2.1236255039947074,2.538528613316417,2.5982352990191986,2.055935934804526,1.838125003930357,3.4219583811713106,0.0009106444258577,0.0007347332832523,0.0310637004111324,0.0808172998153603,43.32937240600586,1.1138051289025206,0.5926530361175537,0.3387684524059295,28.918306350708008,1.081257778483616,51.04966717869943,2.045542001724243,0.4977815449237823,-1.306448459625244,0.4254992319508449,0.1543707251548767,0.4777352094650268,0.5266130223752831,1.2023951162059066,0.9278269274835552,0.6158292722101861,0.507845275227131
1,1,1,1,6.870505513102318,0.0310684852302074,3.129399333073932,3.129399333073932,1.4864810509607196e-05,1.077820062637329,0.1725310641909821,0.066709254494398,10.060547987836342,114.60400433108148,34.64234235287747,7.108854691024266,2.1466212713827044,0.06422854677780071,0.052090629294374,0.1075236420706007,0.1985762935396126,0.0001788605555361,1.44118479865941,2.115347035434585,2.0686081054284924,2.1669641730864844,1.858346475090572,1.707335407063673,2.9395497529611743,0.0007533915088515,0.0005956262128847,0.0313438014821642,0.0745980507944018,43.32937240600586,1.1138051289025206,0.5812245011329651,0.330162912607193,28.918306350708008,1.081257778483616,48.38709677419355,2.048648834228516,0.4968796074390411,-1.3327594995498655,0.3911930363543267,0.133348286151886,0.5035521984100342,0.5165152357785795,1.0553044091308483,0.8779377445552914,0.61035694341772,0.5213221658162471
2,2,2,2,7.520107494304473,0.0347648784518241,6.14236294213466,6.14236294213466,3.678450957522728e-05,1.46192467212677,0.1021062245183314,0.0704817051915353,15.90712651057254,217.7923090671229,71.37089314260022,7.931124758192378,1.1841048134952643,0.0506405899952379,0.0752682846790037,0.1072061079715785,0.2412136073581995,0.0012343975497906,6.808919935612631,1043156480.5912786,13.63164260325111,13.379220732721429,7.160838284342686,4.426694271523906,15.42432296695127,0.0015216811398133,0.0014765534157774,0.01515438703673,0.3045736702541658,43.32937240600586,1.1138051289025206,0.6220408082008362,0.3815058171749115,28.918306350708008,1.081257778483616,56.1699948796723,2.062939643859864,0.545009434223175,-1.2125343084335327,0.4541730670762929,0.157509908080101,0.4972441673278808,0.6849359422439245,2.0670161003788,1.7073162912911857,0.550337918935921,0.4244521634216678
3,3,3,3,7.519754294769886,0.0327356792986393,6.2902700267470655,6.2902700267470655,5.181892265682109e-05,1.4197829961776731,0.1069809724641618,0.0756688482864472,14.721635663672084,202.18167057238472,67.66130842054152,7.486827241454327,1.1593966027416474,0.0545637362273671,0.0821035283449608,0.1147855676795577,0.2488462546069089,0.0012562577306738,6.84443879230808,26.605166683821366,12.548661991180555,12.938725161955476,7.292232124415473,3.6861056208449465,13.349669879318627,0.0015674599543586,0.001453849112508,0.0163191730171157,0.3216553523746407,43.32937240600586,1.1138051289025206,0.6195918321609497,0.3797515332698822,28.918306350708008,1.081257778483616,55.4531490015361,2.056835889816284,0.5327528715133667,-1.2447242736816406,0.4531490015360983,0.1564555317163467,0.503578495979309,0.6737503561588324,2.037013407656852,1.742982869875885,0.5517175569003439,0.4302833553937211
4,4,4,4,7.536067832399018,0.0411546677350997,6.096431428241929,6.096431428241929,6.145367660792544e-05,1.4204872846603394,0.1197652822225491,0.0815226098114592,14.968042642855949,201.1211999335945,68.3940767310635,7.538494265578818,1.1785255296206325,0.0655988851354119,0.0934889054684935,0.1217264350077774,0.2526539275697776,0.0017380462630853,8.506340754063935,1384536284.6041098,23.52328530032507,20.486134483786625,8.972563682512256,4.360767013664818,19.304090512148136,0.0020775413621549,0.0019690242619958,0.0178144229832121,0.3190654327539414,43.32937240600586,1.1138051289025206,0.6514285802841187,0.4285558462142944,28.918306350708008,1.081257778483616,63.031233998975935,2.07685661315918,0.592567503452301,-1.1016902923583984,0.4879672299027138,0.1668027341365814,0.5398330926895142,0.7351840924574301,2.429060738237609,1.979507133990947,0.5869924798591882,0.4393975217381201
5,5,5,5,7.523691046173159,0.0363637842237949,6.210353108879691,6.210353108879691,5.564981984207407e-05,1.4156441688537598,0.1115596655209127,0.0778439985237073,14.975149663154358,201.31891270948896,68.39906724422111,7.588873408484676,1.175412391825609,0.0591755899609428,0.0868625129980273,0.1168041131348205,0.2475578309616647,0.0014444352269258,7.52091634656137,30.54287284224537,17.383180078830684,16.66016257438585,7.958791848316661,3.92914040581936,15.626899376558647,0.0017629363042992,0.0016582114495058,0.0167949421705598,0.3107251753805879,43.32937240600586,1.1138051289025206,0.6342856884002686,0.3850610256195068,28.918306350708008,1.081257778483616,58.21812596006144,2.06330943107605,0.57455974817276,-1.147124171257019,0.4731182795698925,0.1642300635576248,0.486147141456604,0.7067636416737942,2.213547059431167,1.8567234167414448,0.5701622590712787,0.4316756785153178
6,6,6,6,7.541478785483209,0.0474161393940448,6.151236977133732,6.151236977133732,6.633632438024506e-05,1.5496251583099363,0.1190771366008421,0.0807495919474949,14.964152857119728,199.70072105196863,68.01343332844783,7.503187477546825,1.166381923932177,0.14084114982378082,0.093690939762461,0.1214428863424317,0.2529007383875867,0.0020008280688301,20.31437492445626,1544543076.3065815,23.840845702349583,19.83995866454732,9.019149479354912,4.423644295745659,22.423627686121456,0.00239722184061,0.00226410368073,0.0177217790053778,0.3185110932384035,53.80086517333984,0.969729800337272,0.8057143092155457,0.5916589498519897,47.51177597045898,0.927362428286908,68.25396825396825,2.087641477584839,0.6991539597511292,-0.8885675072669983,0.4966717869943676,0.2032237350940704,0.7989840030670166,0.726751260965394,2.3512529737394003,1.964206277257682,0.5821748167298241,0.4372889019900002
7,7,7,7,7.540022227344993,0.0422309003770351,6.20439512322587,6.20439512322587,5.712204801966436e-05,1.568429470062256,0.111478782261511,0.076869698275616,15.266127070378502,208.43609227495813,70.76121975509078,7.580705555656028,1.1572953345652222,0.1309188370727584,0.0876012741047673,0.116353015003474,0.2477678405481536,0.0017076494924808,20.536417587261678,1355347838.398302,24.276720007740188,20.350407257658745,9.123418324979967,4.495110217534221,19.83794356998873,0.0020443007099117,0.0019533691199455,0.0167308878947557,0.3191630412928091,42.07389068603516,1.1162418382992163,0.8057143092155457,0.5642553567886353,25.83641624450684,1.1403879696661463,64.61853558627753,2.0747785568237305,0.6759158372879028,-0.9568710923194884,0.4951356886840757,0.1968877911567688,0.8294030904769898,0.707860899795352,2.292968190674716,1.9206707841133883,0.5652092070403145,0.4283716802919189
8,8,8,8,7.499563521888115,0.0219190530478954,6.500139283144525,6.500139283144525,0.0,1.3654882907867432,0.0886205330569747,0.0622737021076745,13.982264617729443,315.0757912264898,71.94352747314406,5.885551775329483,0.9341079641477162,0.09971605566268213,0.0643884568318172,0.1064691665638395,0.2600655988814299,0.0017947792115649,10.67330594862828,792689133.9593567,16.337966179154606,20.08069493879932,11.259713354000452,6.841188619059953,-67.31772219142906,0.0020891213052394,0.0019732817697715,0.0118529691299665,0.3384049114340032,160.7279052734375,0.8776272888763925,0.8538775444030762,0.7474105954170227,119.30496978759766,0.9808876683309689,67.74193548387096,2.115849018096924,0.7391303181648254,-0.7516676187515259,0.4336917562724014,0.1795029193162918,0.7072720527648926,0.5455203372298219,2.671106400236999,1.5743962150206308,0.4286387210487692,0.3991815556618096
9,9,9,9,7.463190636215423,0.0213629361242055,7.97491484946725,7.97491484946725,0.0001158833547378,1.1947567462921145,0.1040548072463902,0.0925597440579122,10.064771604814752,185.469761926586,43.756727208835294,5.152503619725017,0.9493423552570648,0.0664918535462435,0.0987333486018373,0.1486205354977469,0.3138423297881799,0.0014161747150751,7.609297864971268,852852499.5199405,15.808007714564608,15.230623331334264,7.992200467516254,5.389686637046872,59.00660644375289,0.0017124899463851,0.0015965533013968,0.0162266971183043,0.3934403903326161,45.46333312988281,1.325512056969818,0.8130612373352051,0.6417990326881409,24.62702751159668,1.5311225777582769,60.82949308755761,2.058851718902588,0.6319728493690491,-1.076383352279663,0.3225806451612903,0.1321495324373245,0.8714458703994751,0.5762503992799088,2.080017468361001,1.3620305970428783,0.5144904764912993,0.4656465486443024
