Unnamed: 0.1,Unnamed: 0,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_hospital1,test_acc_hospital2,val_AC,val_ANE,val_l2,val_EMD,test_AC_hospital1,test_ANE_hospital1,test_l2_hospital1,test_EMD_hospital1,test_AC_hospital2,test_ANE_hospital2,test_l2_hospital2,test_EMD_hospital2,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,sharpness,test_ATC_hospital1,test_rankme_id,test_alphaReQ_id,test_rankme_hospital1,test_alphaReQ_hospital1,test_f1_hospital1,test_bacc_hospital1,test_f1_hospital2,test_bacc_hospital2,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,shortcut_vs_deep_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
59,59,59,False,0.0,ViT-B_16-in1k,False,0.01,0.9860846245530394,0.9860799312591552,0.94125,0.941875,0.9869201183319092,-0.0396578349173069,770.4852269179559,2.4052093029022217,0.9683694243431092,-0.0832723230123519,770.4852269179559,2.1129415035247803,0.9678725600242616,-0.0854072943329811,770.4852269179559,2.082590103149414,6.690584868285738,1.58461594581604,25.162975311279297,0.0,1.7699072360992432,0.3481968133533237,0.0176602408166269,57.69218594112922,57.69403753532905,58.49306995898209,231.553827977278,473.5423474686965,175.89815865614912,0.0182206408487672,0.0180685024803324,0.031309654316976,0.2869187394366766,0.0058784498833119,0.2163461148738861,1.6963701248168943,22,0.0001205705549389,-0.0001521001529235,0.0012421983217581,933.2933851810542,8.183135330162282,3.3113716001052373,0.5657297927261439,20.56,0.0519828233658159,2274885.1501746816,0.0012780147957602,69984,2.355024106812325,3.368156585949301,0.0198925314806773,0.0172202345823404,0.0123935088053913,0.4220479192151871,0.0002071841235736,-0.0002613634606852,0.0036679326701849,1323866.7158204254,0.0021960948430873,0.0198925314806773,0.0295906342384154,0.4873388707637787,5.612225504592061e-05,2.420785665512085,2.884450435638428,0.5046650767326355,1.0,0.0,0.2572942722114679,,,0.030695290449234,0.969304709550766,,,,,,,,,25,42,0.14,1.0,0.125553715653026,372.0720168534695,0.000413075317723,0.940935731754325,24,48,0.1739130434782608,1.0,0.2213501807885729,293.4307290806322,0.0005865240128256,0.8436182016649608,0.107723033290357,0.0569277305518703,0.1276916892947015,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0074960635975003,0.0854955315589904,0.0117708006873726,0.0058784498833119,115,0.4969771616160869,95.0406830162732,125.78759765625,1.0307304479635782,80.19597625732422,1.080499379127862,0.9412055611610411,0.9411148873002853,0.941871166229248,0.9444061287668012,0.2443035000261455,0.1704089913525987,0.1833668516061646,0.2559880087717759,24.08299539693274,809.8622634660182,113.09347525456562,17.892461397636833,2.027501233362317,2.145599018674201,0.1534102077016546,25.649481777808695,6.5777452997743335,1.9316314921378177,0.6170473020999523
60,60,60,False,0.0,ViT-B_16-in1k,False,0.003,0.9800953516090584,0.9800918698310852,0.930625,0.9525,0.9763191938400269,-0.0701566189527511,770.4851151733387,2.4003467559814453,0.9524882435798644,-0.12190942466259,770.4851151733387,2.082230806350708,0.9587342739105223,-0.1131779253482818,770.4851151733387,2.067045211791992,6.73137135354523,1.145990967750549,23.868730545043945,0.0,1.916614294052124,0.5086063759304459,0.0126950705914213,43.896957242855706,43.898440349126425,44.64293487793784,171.1805334976008,376.6025447498361,136.27628607678025,0.013211324325411,0.0131297373659293,0.0322310905432277,0.2734666627524595,0.0018995882710441,0.2371442914009094,1.7042105197906494,22,9.639070787358694e-05,-0.0002232459963475,0.0005126596128043,1007.3866268467632,7.676639709141701,3.3902529220501005,0.5531084835507041,42.0,0.1120810789488012,2667956.3193801087,0.000927597806096,109219,2.674392047716996,3.402759774749407,0.0214211378353376,0.0122606660794554,0.0127659574468085,0.3515904924667722,0.0002351602613293,-0.0005446436523059,0.0030513121228017,1093578.465797393,0.0022630204553637,0.0214211378353376,0.0299118192447152,0.5040282607078552,5.566047548200004e-05,2.6826016902923584,2.912128448486328,0.5340290665626526,1.0,0.0,0.2792073595207007,,,0.0314160250635588,0.9685839749364412,,,,,,,,,26,52,0.16,1.0,0.2001113453045583,374.0846951817678,0.0005213354768258,0.8729650510710967,22,43,0.1861471861471861,1.0,0.1865176225652616,249.7697056849485,0.0008555512175558,0.8553419073086828,0.1358465208101102,0.0728730345041897,0.158821308355566,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0035978581290692,0.058164469897747,0.0065919812768697,0.0018995882710441,121,0.5192813891917467,94.44476277790513,134.78427124023438,1.0444666897352877,87.51709747314453,1.1214963548497476,0.9305487871170044,0.930454314621665,0.9524571895599364,0.9538304792507544,0.1709044302519963,0.1814530528746912,0.1830656519830013,0.2585013398878763,22.67470421358772,699.5969453378133,104.57640011694882,17.181031925453723,1.901478096496385,1.9674990091705689,0.1517098945614594,22.306064810408174,5.993942788990871,1.8232299660905305,0.5959755081917222
61,61,61,True,0.0,ViT-B_16-in1k,False,0.01,0.9439511323003577,0.9439178705215454,0.8775,0.876875,0.928686022758484,-0.1885966509580612,770.4862396865775,2.374547243118286,0.8845522999763489,-0.2765594720840454,770.4862396865775,2.027098655700684,0.8899503350257874,-0.2635609805583954,770.4862396865775,2.0363476276397705,6.890842818573487,0.6960501074790955,64.49934387207031,0.0,1.2822468280792236,0.214113644468995,0.0054755253930329,6.720326056844116,6.72039619699282,6.980841757336829,27.83312811014131,52.21698257689307,11.927535770178366,0.0066820154711138,0.0064728372547335,0.0183974063967638,0.599805648413548,0.0031632639002054,0.2460700124502182,1.7053416967391968,22,0.0001635217878472,-0.0001108029243196,0.0003375478382748,919.4291973814758,5.9480514411498415,3.022607475353684,0.4210796282952183,4.960000000000001,0.0343963075796017,1682206.6669891383,0.0005620458813537,682,1.3836625365284043,2.840182209017976,0.0122082166199813,0.0122847642355025,0.0079103436246293,0.4378715488420091,0.000450221481079,-0.0003050716287935,0.0025588009537822,610982.4887629419,0.0015474704073442,0.0122082166199813,0.0338234117679906,-0.7291423678398132,5.506578236236237e-05,3.7612111568450928,2.845365047454834,0.5692269802093506,1.0,0.0,0.1781780188991926,,,,0.7404507471349612,,,,0.0517183614944046,0.0804454462420104,0.1273854451286238,,,25,57,0.19,1.0,0.2444064801006634,260.0394046324216,0.0008346790218379,1.424855564792745,11,18,0.3272727272727272,1.0,0.4264540732961793,216.11904719436947,0.0018959946394181,0.3367636171290429,0.1191904090391059,0.0633718636973837,0.3539289964136294,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0040294253267347,0.0364944450557231,0.0057846438139677,0.0031632639002054,99,0.4320669490844011,87.84953013981206,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.8774877190589905,0.8775967811242626,0.8758553862571716,0.8745444570712018,0.0716665694656757,0.1018872990343236,0.1118892603877654,0.2015113001754701,14.143041005696077,243.15427371973303,61.278032575845785,10.937817925960562,1.9446734913494388,0.7969513207555432,0.0853468706732632,3.997451979726426,2.2598040059931237,0.823653310463191,0.49386550400933205
62,62,62,True,0.0,ViT-B_16-in1k,False,0.03,0.9472884386174016,0.9472700357437134,0.88875,0.8775,0.9340707659721376,-0.1748239547014236,770.4874184760499,2.379459381103516,0.8914094567298889,-0.2612937092781067,770.4874184760499,2.032264947891236,0.8987612128257751,-0.2431179583072662,770.4874184760499,2.043733596801758,6.857704735292758,0.8895356059074402,51.6306037902832,0.0,1.2759137153625488,0.2066355840679649,0.0066656379224031,5.687249572562819,5.687289498147807,5.893369488886173,24.478218081161334,52.40361649442148,10.347830108834408,0.0083807639010284,0.0079082995916213,0.0167656475601884,0.4590153860556197,0.0044290013611316,0.2441295683383941,1.703640341758728,22,0.0002270836575056,-0.0001541933140812,0.0006266071323504,884.10595133097,5.913873488326737,3.0071404884638784,0.4424019949078964,3.6875,0.0300597398574564,1140387.3058306857,0.0007732443173245,2128,1.352159032739061,2.8197129146852764,0.0149477973007384,0.0168140883588905,0.0094728800611153,0.4150383851013969,0.0004542795763903,-0.0003084628498738,0.0025076677977391,570052.7486676717,0.0015468708922335,0.0149477973007384,0.0336364892369845,-0.0470321960747242,4.767695645568893e-05,3.62468194961548,2.860491991043091,0.5736122131347656,1.0,0.0,0.1887660229962251,,,,0.7202428503895073,,,,0.0607512213147584,0.0915639157511574,0.1274420125445768,,,25,55,0.1833333333333333,1.0,0.2239442886105279,250.26984985791384,0.0007955331992149,1.4447833381725683,10,17,0.3777777777777777,1.0,0.533801355567237,178.8952838983937,0.0024892988744606,0.3256212515975808,0.1147977051149252,0.0608941042700796,0.3525497938224193,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0055445218458771,0.0488398149609565,0.0078368876129388,0.0044290013611316,93,0.4659721851348877,88.7090304836122,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.8887472152709961,0.8887534669323021,0.8762626051902771,0.8746424232924488,0.1699423176204162,0.1031186943588947,0.117757728142596,0.2108107392053935,13.539109257793548,248.8757842953832,58.98883758609271,10.574283256836894,1.8662276688784205,0.7807403163087628,0.089072183157304,3.8341424675867875,2.1348891828697436,0.8216942239304301,0.4990305702142556
63,63,63,True,0.0,ViT-B_16-in1k,False,0.003,0.9361442193087008,0.9361074566841124,0.859375,0.87625,0.9172599911689758,-0.2157551944255828,770.4852762312815,2.368542194366455,0.8743245005607605,-0.3009171783924103,770.4852762312815,2.0213770866394043,0.8727109432220459,-0.2997147738933563,770.4852762312815,2.027706384658813,7.014445479557647,0.4943472146987915,48.20560073852539,0.0,1.3750910758972168,0.3062877755371177,0.0043731692488605,9.666199829084636,9.66639133757202,9.999064930409634,35.368174329388964,62.17760440488343,17.51605934840412,0.0050456529609821,0.0049347262064909,0.0257529092567,0.4812025574845107,0.0022216499783098,0.2486036121845245,1.70246422290802,22,8.285059132628218e-05,-4.604444828106034e-05,0.0001213288942539,902.1210542977152,6.640404008002433,3.031008273878443,0.4669116459022566,3.5,0.0301472420941461,4414106.156679634,0.0002993604880593,1952,1.80825786631282,2.9040266184368413,0.0147773279352226,0.0073682528611643,0.0094331983805668,0.4646944348201309,0.0004228663766795,-0.0002350091709638,0.0031606712964727,864838.9307953779,0.0015279249434034,0.0147773279352226,0.0376072929186048,0.2514075636863708,5.643304029945284e-05,3.5941436290740967,2.852731943130493,0.5751693844795227,1.0,0.0,0.1946469893726429,,,0.0950947910287856,0.7186940316222256,,,,0.0333447992750188,0.0315441618198832,0.096268050676187,,0.0250541655778996,25,50,0.1666666666666666,1.0,0.2278159282367772,297.33105066290574,0.0006538267990702,1.2393258051823932,15,25,0.238095238095238,1.0,0.3029292428973061,262.9026231608514,0.0010340318982633,0.4723088580960456,0.1441826683607804,0.0776922738583466,0.3052719971037688,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0025851617101579,0.0204048324376344,0.0035291751846671,0.0022216499783098,99,0.4685962107032537,87.13614485445794,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.859273374080658,0.8595765459588265,0.8753225207328796,0.8741643481327639,0.1006098529076593,0.1217002782539999,0.1247194866804653,0.2116043808032135,13.731579444425018,231.0755954168707,57.13165771560542,10.484835483289476,1.963509092874383,0.905053499712873,0.0992367318306615,5.314909283521281,2.5247024896347434,0.8867711998937186,0.5175711779670662
64,64,64,True,0.0,ViT-B_16-in1k,False,0.01,0.9439809296781884,0.9439480900764464,0.8775,0.876875,0.9287039637565612,-0.188536062836647,770.4862424925569,2.3745837211608887,0.8845916986465454,-0.2764864563941955,770.4862424925569,2.0271358489990234,0.8899906873703003,-0.2634516656398773,770.4862424925569,2.036395311355591,6.8910134361722815,0.6966280341148376,64.47047424316406,0.0,1.2830718755722046,0.2142354603067104,0.0054765855957662,6.711441508045646,6.711511433168915,6.971484170062514,27.802861961786217,52.20873281943574,11.918561437916155,0.0066847330723476,0.0064760348911931,0.018399058065925,0.5993354074567675,0.0031575467437505,0.2460559010505676,1.7052788734436035,22,0.0001634807394686,-0.0001115980626202,0.0003376596965065,939.752469264674,5.926488436985424,3.0282820909083807,0.4208149456605833,4.0,0.0339993080225894,1663410.9058077969,0.0005576929758905,709,1.3725313314410044,2.845356838524216,0.0121848739495798,0.012270410997389,0.0078243616287094,0.4381411244632575,0.0004499610759193,-0.0003071602447221,0.0025579729016367,604353.7109088066,0.0015349828495389,0.0121848739495798,0.0337728313151299,-0.7317416667938232,5.501113264472224e-05,3.754757881164551,2.845287561416626,0.569235622882843,1.0,0.0,0.1811598112602313,,,,0.7404735161041118,,,,0.0517068983550023,0.0804023050290307,0.127417280511855,,,25,58,0.1933333333333333,1.0,0.2462668840168171,260.7233403478149,0.0008458170737476,1.4270534028659532,11,18,0.3272727272727272,1.0,0.426683295683217,216.83741100616788,0.0018896567064186,0.3357213179113662,0.1186126396113402,0.0630453048152917,0.3533068449429092,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0040241968818008,0.0366198904812336,0.0057813487946987,0.0031575467437505,100,0.4523686654865742,87.86385514554206,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.8774877190589905,0.8775967811242626,0.8758553862571716,0.8745444570712018,0.0716604278645025,0.1018736770078798,0.1118599198080583,0.2014827705212611,14.139611935537204,243.04355247612853,61.25407270768535,10.935065820956046,1.944613160993272,0.796669115470307,0.0853291185182733,3.9964652966012455,2.2590920158109795,0.823313621456548,0.49379719155930596
65,65,65,True,0.0,ViT-B_16-in1k,False,0.03,0.9473182359952323,0.9472995400428772,0.889375,0.878125,0.9342322945594788,-0.1744440346956253,770.4874238527059,2.3795042037963867,0.8915489912033081,-0.260984867811203,770.4874238527059,2.032326459884644,0.8988888263702393,-0.242790013551712,770.4874238527059,2.043761968612671,6.858275572067037,0.8887909054756165,51.849727630615234,0.0,1.281398892402649,0.2065255499317998,0.0066551416944635,5.679153365657811,5.679193228580671,5.88494316471942,24.38745435279517,52.272253767005694,10.349502461377076,0.0083700604312539,0.0079004789178256,0.0167605382070546,0.4608928038422811,0.0043939966708421,0.2440696358680725,1.7036454677581787,22,0.00021666733224,-0.000148793230383,0.000610010310503,849.1080279268404,5.897369072138337,2.9762421303586395,0.4480874977441833,3.25,0.031429648610447,1094406.089863776,0.0007702160126593,2128,1.353653097725076,2.7729823360757955,0.0158478163992869,0.0167336923624703,0.0100346020761245,0.4220187909356681,0.0004338636863005,-0.0002979497771172,0.0024460025968294,546535.8239296725,0.0015423126191788,0.0158478163992869,0.0335082426891841,-0.0601702034473419,4.7709003411000594e-05,3.606768846511841,2.8603734970092773,0.5735700130462646,1.0,0.0,0.193668683236732,,,,0.720306401752782,,,,0.0606879762680306,0.0915950841875585,0.1274105377916288,,,24,52,0.1884057971014492,1.0,0.2351280604014523,247.7669782657616,0.0008118089781385,1.4310828395121282,10,17,0.3777777777777777,1.0,0.5332690994586117,174.4279907270673,0.0025537431537258,0.3340757945117152,0.1174206829880783,0.0623722368173317,0.3514791700479235,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.005514723714441,0.0475682839751243,0.0077794129028916,0.0043939966708421,90,0.4483635667711496,88.62308044923218,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.8893728852272034,0.8893823977499121,0.8769094347953796,0.875304674948078,0.1698871716358904,0.1030617809895912,0.1176833799155221,0.210724934642538,13.540870313969494,248.8035575272122,58.97224086908175,10.573604262440735,1.8670947531028723,0.7804909282916412,0.0890108923665559,3.8329534846778786,2.1344786687480948,0.8213307161354197,0.49901372076717404
66,66,66,True,0.0,ViT-B_16-in1k,False,0.003,0.9360846245530392,0.93604838848114,0.86,0.87625,0.9172573089599608,-0.2157508283853531,770.485276303235,2.3685507774353027,0.8743387460708618,-0.3008872866630554,770.485276303235,2.021382570266724,0.8727356195449829,-0.2996644973754883,770.485276303235,2.027719497680664,7.014358503001939,0.494459867477417,48.2127685546875,0.0,1.3750925064086914,0.306260258661843,0.0043740928225616,9.666217156777885,9.666408625506795,9.998828174479186,35.35874514331186,62.148230093033,17.512153770854983,0.0050465889948325,0.0049356700577165,0.0257505216767981,0.4812561519361419,0.0022220548707991,0.2485953122377395,1.702451467514038,22,8.288596328972505e-05,-4.608486958762733e-05,0.0001214079727387,902.1209140584303,6.640437450483791,3.03105924994874,0.466901678786557,3.5,0.0301501638574328,4412090.554232973,0.0002994733361563,1952,1.8083367324447388,2.9040631464043822,0.0147773279352226,0.0073700717478575,0.0094331983805668,0.4646615817050007,0.0004229293778389,-0.0002351501295645,0.0031609740131627,864684.2605033314,0.0015280762480613,0.0147773279352226,0.0376061238344204,0.2514312863349914,5.64255278732162e-05,3.5941407680511475,2.8527374267578125,0.5751620531082153,1.0,0.0,0.1946892082987075,,,0.0950456783458524,0.7187864977752427,,,,0.0333411410687795,0.0315386157243184,0.0962468907462229,,0.0250411763395837,25,50,0.1666666666666666,1.0,0.2278262874606784,297.3171799120572,0.0006538557514504,1.239285151199587,15,25,0.238095238095238,1.0,0.3028491538741924,262.892393447358,0.001034116362779,0.4723506596641,0.1441820945681559,0.0776919406511519,0.3052437667191727,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0025857940781861,0.0204122513532638,0.0035302038304507,0.0022220548707991,99,0.4264736212790012,87.09603483841394,161.60984802246094,0.9624761740293056,148.99786376953125,1.030740869000779,0.8599034547805786,0.860197663971249,0.8753225207328796,0.8741643481327639,0.1006044899630138,0.1217002649874568,0.1247206935179767,0.2116111409154228,13.732811223276912,231.06997634048528,57.13729363781353,10.486117650772446,1.963536341804364,0.905128150246365,0.099239217036304,5.314550863796722,2.524930925483238,0.8868555663782173,0.5175895840308355
