,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_100,test_alphaReQ_location_100,test_ATC_location_100,test_EMD_location_100,test_AC_location_100,test_ANE_location_100,test_acc_location_100,test_f1_location_100,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
14,14,14,14,14,6.804839473444204,0.0329879373311996,2.4987956062232013,2.4987956062232013,0.0,0.8800979852676392,0.0828788153015503,0.0614788022424464,12.201653121810851,108.417828566641,36.002664146935786,8.649580126836502,2.6047740100578425,0.0304226524944695,0.0485230089658431,0.1013162289178498,0.175002128526997,9.90124409412374e-05,1.338185941766504,0.6300379030844612,1.740222588576673,1.6482514955709795,1.8620494315304843,1.4249064662898847,1.6216534032024783,0.0005451618033021,0.00048673546803,0.0286817135040916,0.0484981696368079,4.502584934234619,1.7116490105846411,0.4799999892711639,0.2413603216409683,3.3326547145843506,1.6136633969908851,78.85010266940452,1.936665773391724,0.3901363313198089,-1.4974627494812012,0.2104722792607803,0.0478824973106384,0.1852694988250732,0.5887359350638591,1.134359337235818,0.9346057880776476,0.7091763810843823,0.5368867930560749
15,15,15,15,15,6.841667064546467,0.0424606166779994,2.7112350752181693,2.7112350752181693,9.032950038090348e-05,0.9309731721878052,0.0669716528164809,0.0719804283088063,9.054642182348122,76.69352068836554,26.98173931113185,6.914899992966825,2.2654226850855457,0.039319967052533,0.0561662009988967,0.120530616393314,0.2077844115346335,-7.588794246515818e-05,0.860796318348448,0.69533403354671,1.3467361103201037,1.2540075415288865,1.1761829458528843,1.140993675141284,0.8617157885482261,0.0006412050590114,0.0004452913511414,0.0282254018325896,0.033373195922721,4.653034210205078,1.602878632071303,0.4759183526039123,0.2351197898387909,3.5149474143981934,1.651994013777046,98.76796714579056,1.930206060409546,0.3707475364208221,-1.5540300607681274,0.2094455852156057,0.0441552810370922,0.1520654439926147,0.5046972404093338,0.9698192751957212,0.7655562254643273,0.665261963203401,0.5617756981730077
16,16,16,16,16,6.8731760863457145,0.0311800818890333,2.69969389333202,2.69969389333202,6.434238639485557e-05,1.0103381872177124,0.0620144484892797,0.0682648558712073,9.586792211967843,74.72998484136902,29.54195301701575,7.067505345489279,2.218514053161564,0.0313996969868538,0.0506410577341734,0.1077304806122467,0.1938637210879386,-1.497928613147792e-05,0.9559186981106356,0.9202364765558348,1.0630864836405545,1.3901215146697932,1.2412086821500028,1.1498623127945298,1.0557537693573276,0.000421775685087,0.0003628900145749,0.0255284926384765,0.038408852082116,4.392374515533447,1.862885957256824,0.486530601978302,0.2553791999816894,3.2885830402374268,1.77835969370589,76.8993839835729,1.9373270273208616,0.3961299359798431,-1.5072096586227417,0.2053388090349076,0.0456059947609901,0.0903960466384887,0.5095859949241335,0.7515765109586683,0.7569874428749459,0.612821193069703,0.5226334460947781
17,17,17,17,17,6.8467751714639045,0.053899772465229,2.6794892452584698,2.6794892452584698,0.0001387709626214,0.913278579711914,0.0670747160661589,0.0769044093411247,8.768722567881788,72.6481809687449,26.07548563609191,6.53258975938354,2.0116009529305385,0.0385595944458892,0.0569134338565777,0.1214669273813045,0.2183135371542328,6.437786967872228e-05,1.108353520327269,1.100632600326121,1.5486203387407589,1.4807275283511596,1.4677153905043197,1.475202447564164,1.4886581411064874,0.0008720380151174,0.0007088261672976,0.0279405656546649,0.0433682327893027,2.692852735519409,1.804359817155729,0.4726530611515045,0.2330757230520248,2.146174430847168,1.902869263272336,11.293634496919918,1.9317197799682613,0.4531238973140716,-1.496853947639465,0.2053388090349076,0.0603030398488044,0.0475400924682617,0.5197702301282294,0.916162137166406,0.7400409259229532,0.6330306616423099,0.5396585004440368
18,18,18,18,18,6.055305647804426,0.0212970338761806,4.765280044777344,4.765280044777344,1.6445260826003505e-05,0.7985025644302368,0.0235597397080194,0.030088082017498,5.234297452283772,19.00960559808488,12.810918789879684,4.481949694735863,1.913625251121412,0.1085834996890948,0.0206365154106616,0.0456650469999079,0.0967328768299338,-0.0003443557069253,9.2605863581827,0.1053753306406396,0.0692127379082288,0.1750505979236437,0.2207775152811165,0.3233537249842262,0.2102376447838648,9.043784324980209e-05,8.758173538403469e-05,0.0145858551423145,0.0201433160632346,68.18162536621094,0.9352170027157553,0.6097959280014038,0.3509674668312073,69.49268341064453,1.0646440972929987,73.61396303901438,1.934912085533142,0.4803043305873871,-1.4421943426132202,0.2474332648870636,0.1042144820094108,0.3858601570129394,1.131781187862034,0.0698382162291544,0.1683531835502533,0.2025441400044715,0.2569845023338514
19,19,19,19,19,7.491127929912363,0.0138628343120217,4.507638373928013,4.507638373928013,3.687580101541244e-05,1.3309917449951172,0.2199959912362168,0.1310161026656329,15.91210712204655,214.33182466430648,63.55340439166915,8.734410025739875,1.4918351458366104,0.1505027724067284,0.1549061235253769,0.1882769340421163,0.3018473987105486,0.0008638405661294,13.077231296722902,679536993.6298811,39.4662870743911,25.97034256986016,13.630005678251864,7.267580600342966,27.89206842309268,0.0009749059076872,0.0009342479939155,0.0300217486571527,0.2767165394671504,68.18162536621094,0.9352170027157553,0.613877534866333,0.3552359044551849,69.49268341064453,1.0646440972929987,72.17659137577002,1.936842441558838,0.4707282185554504,-1.419924020767212,0.2525667351129363,0.0990550443530082,0.3819762706756592,1.2918126657788185,5.720231740252833,3.1987748221444043,1.0685230472907217,0.5777589274528592
20,20,20,20,20,7.50058629302047,0.0133734196424484,5.009556872137045,5.009556872137045,2.503946961951442e-05,1.392680525779724,0.1965859929011925,0.1296075585793973,15.145154894975883,228.3264449372741,60.86923602851241,8.38167515966629,1.3918626284538744,0.139214703247635,0.1494374059437807,0.188686444155382,0.2988646857990397,0.0007625873051182,10.833589902883746,631516142.6755368,36.96740383239525,26.50517845598013,11.402637533179204,6.401440091311408,20.342809572158306,0.000884267084622,0.0008107350148591,0.0290886102683246,0.2667432851055425,68.18162536621094,0.9352170027157553,0.6391837000846863,0.3913635909557342,69.49268341064453,1.0646440972929987,66.94045174537987,1.941425085067749,0.4899865090847015,-1.3502949476242063,0.284394250513347,0.1136334538459777,0.4122040510177612,1.219163478994245,5.5162967281107065,2.94327512418751,1.0313604903734748,0.550360080417132
21,21,21,21,21,7.51773409110984,0.0204438902437686,5.064003044453206,5.064003044453206,3.10392388200853e-05,1.6110143661499023,0.2094589824391357,0.1305267657518381,15.970616510135004,251.2405739063494,65.30164106440235,8.833817923877373,1.4395083262265107,0.1547427433087747,0.1553190606025877,0.188826243414384,0.3019539610072883,0.0012201718029727,13.438522005844687,974094302.3643924,47.89848770669604,30.85449217157757,14.06065514151348,7.531724793412103,32.80844179374028,0.0013792999669064,0.0012932168692643,0.029246937165956,0.2817195220719035,68.18162536621094,0.9352170027157553,0.635918378829956,0.3702236413955688,69.49268341064453,1.0646440972929987,64.27104722792608,1.9389300346374512,0.4752176403999328,-1.3874037265777588,0.2895277207392197,0.1180874481797218,0.4020010948181152,1.280702179076124,6.601955592719779,3.2304454103481377,1.0735826093805692,0.5657797618622793
22,22,22,22,22,7.509762647081886,0.0183516200631856,4.944637259476338,4.944637259476338,3.118389213341288e-05,1.6034142971038818,0.2117343239325937,0.1304590145231002,16.098301627343538,251.86597179298272,65.97120748024032,8.866110512584248,1.4439769648144327,0.1564260048285,0.1555822009628312,0.1887513675012768,0.3017703724386065,0.0011076352500833,13.669334769023122,892166766.7891598,49.08396201901536,31.43705737747918,14.312960117291928,7.550308768680272,32.448484376440135,0.001251334199706,0.0011800893187388,0.0293961232116192,0.2827353945679889,68.18162536621094,0.9352170027157553,0.6440816521644592,0.4568654894828796,69.49268341064453,1.0646440972929987,70.94455852156058,1.9477481842041016,0.5590876340866089,-1.2240378856658936,0.2689938398357289,0.1104732155799865,0.4371027946472168,1.2902205927911536,6.683039484964579,3.27396465010806,1.0771420591818233,0.566551409156617
23,23,23,23,23,7.531958034389758,0.0262526199221611,5.508347513913828,5.508347513913828,8.828482532408088e-05,1.6146496534347534,0.2028249351164265,0.1332108252510074,14.867522819117893,236.2178718139457,61.36161752428516,8.415102785589388,1.399360681790125,0.1574488503841706,0.156345831326034,0.1926819217123288,0.3050310571301436,0.001567533957735,12.724936400370934,1269081069.0401125,46.34862850020788,26.968209923955065,13.301486593368386,7.350037877464276,35.97087839110402,0.0017783102347408,0.0016639807902123,0.0287681604677771,0.302584769653354,68.18162536621094,0.9352170027157553,0.6424489617347717,0.4213594496250152,69.49268341064453,1.0646440972929987,66.4271047227926,1.9410555362701416,0.5072017908096313,-1.321742057800293,0.3039014373716632,0.1284610331058502,0.4135812759399414,1.220606588092462,6.192974829524029,3.047416338672265,1.0475942211378255,0.5608138758110472
