,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_id,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_100,test_alphaReQ_location_100,test_ATC_location_100,test_EMD_location_100,test_AC_location_100,test_ANE_location_100,test_acc_location_100,test_f1_location_100,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
37,37,37,37,37,0.9517698287963868,0.0999357936697124,0.0404882664152106,12.225397032205253,613.2537810105222,56.46473945083029,6.041681862242187,1.470949322523472,0.0120734672242178,0.029914017644121,0.0800683967466145,0.1957196368365675,0.0009225706340458,3.4546589931670426,9.252939057388648,8.507349404509297,8.546629808747905,3.5508777880619022,3.135297124983068,5.357698526532304,0.0013345786975591,0.0012281126858724,0.007586078192286,0.1268425139695541,7.377334752164349,0.0442190282046794,4.613905212621294,4.613905212621294,0.0005614324327325,9.716854095458984,1.5979435669830198,0.6156716346740723,0.3635571897029876,7.118939399719238,1.7566911552520204,47.84394250513347,1.944934248924256,0.5023366808891296,-1.28576397895813,0.1848049281314168,0.0523228980600833,0.5149968862533569,0.3795800815024353,1.4819587635672244,0.7930042843814823,0.3996713768869814,0.4044537608542742
38,38,38,38,38,1.4600846767425537,0.2371451848810405,0.0749039850579591,5.052184,917.7279810571198,103.25454927918176,10.149003597254325,1.4677716706908048,0.0378624045245115,0.0592987980567601,0.1490725691469775,0.2646779841273439,0.0006936936087509,7.211007919519921,325382705.34132606,22.90928725965584,14.832687144835235,7.405118843497145,6.125088988469365,12.82901537175525,0.0008270611913765,0.0007859089845432,0.012443822237172,0.1697197644107416,7.156798048478158,0.020883847028017,5.366879446988363,5.366879446988363,0.0002104304367094,6.166771411895752,1.5400519898615974,0.6194029450416565,0.3524331152439117,4.6957173347473145,1.7659906753763646,39.630390143737166,1.9437865018844604,0.4769464135169983,-1.3544849157333374,0.0718685831622176,0.0257201883941888,0.4979879558086395,0.3095006875986584,5.780361328801234,2.357143729963043,1.0375739432281113,0.516467305735308
39,39,40,40,40,1.3941292762756348,0.0915037231075005,0.0525627790509464,4.166532453184,665.8446392391401,144.01011881027583,11.854783606554388,1.247594983512775,0.0261133409308954,0.0454142153671225,0.0951816162821722,0.1861590417641378,0.0009376792594419,7.580484051014979,447290985.903237,15.13909951790783,14.185395570216269,7.799864492058852,6.114465401002904,10.642678241923178,0.0011114336437287,0.0010941945971296,0.0100765486853712,0.1183331925480309,6.911610957001015,0.0344795435667037,5.774340675205919,5.774340675205919,8.376299956580624e-05,13.461570739746094,1.6804062958530694,0.5820895433425903,0.316565454006195,9.708956718444824,1.9033438519860504,46.50924024640657,1.9414262771606443,0.4761104881763458,-1.3689424991607666,0.0482546201232032,0.0326795428991317,0.4939692616462707,0.1774104170441796,3.904372860706184,2.6155069548970085,0.8173760495105629,0.3527436993460275
40,40,42,42,42,1.3700194358825684,0.16916373247844,0.0792640957273849,14.183991639545212,280.33841968232406,41.12622436752333,8.151593114469454,1.549317349732095,0.0348235217365583,0.075804973641792,0.1320413594259248,0.2278426235090505,0.0003178645574468,3.8335927281510576,7.885915059434921,5.721398976633878,6.478820752176734,4.067102604724554,3.255924853600831,5.981214344903081,0.0004562362659612,0.0004493095860311,0.0210166038278419,0.1629668974181322,7.172345598755011,0.0199512727558612,6.017061878802038,6.017061878802038,0.0001677058662608,10.374738693237305,1.5603685541475203,0.5236318111419678,0.2834522426128387,16.816608428955078,1.821668227660703,10.472279260780288,1.9387911558151243,0.4173738062381744,-1.540937900543213,0.2032854209445585,0.0729994997382164,0.2159370183944702,0.7931006684709633,1.9840249218147603,1.2545988405640969,0.7962923443391717,0.473059936183115
41,41,43,43,43,1.5141066312789917,0.3090995788289582,0.1277429809980733,19.21913125160889,284.22058775132336,62.91163170412848,12.498292438075762,2.334602040269894,0.25701096400615925,0.124790552974199,0.1776206952660949,0.2718602916075847,0.0022745058078204,24.975333745951378,1952492428.245023,57.56696809059994,26.488122128668355,18.075192405655866,10.203406367663186,94.52205778504964,0.0026122992971497,0.0024674906970947,0.0328147163959052,0.1919019095133546,7.56316870144766,0.0518315806984901,3.313978365777563,3.313978365777563,0.0,9.95386028289795,1.4364443619408724,0.6965174078941345,0.5323091149330139,7.762802124023437,1.5964089535057422,64.78439425051334,1.9928926229476929,0.6228771805763245,-1.0141195058822632,0.4260780287474333,0.2170494347810745,0.672313004732132,1.6703977075016676,7.899263006483733,3.391452189552229,1.5505748864511744,0.7127715905944195
42,42,44,44,44,1.5124571323394775,0.3027750141797328,0.1273524134301469,19.60797156365181,297.8374287687036,64.28993918821766,12.740114036164464,2.372407235006325,0.25789314117659556,0.1247317162126601,0.1770356599240395,0.2710388629636418,0.0021197489397613,26.1386993777829,1827671865.612501,61.363269887156406,28.24119187396177,18.923452008572863,10.471565478691446,98.58904955863306,0.0024285033506998,0.0023073171899454,0.0328338189864623,0.1891834575829744,7.568342453790657,0.0488108694553375,3.2635614195936373,3.2635614195936373,0.0,9.95386028289795,1.4364443619408724,0.6990049481391907,0.5345090627670288,7.762802124023437,1.5964089535057422,65.29774127310061,1.9861198663711548,0.6102426648139954,-1.0500882863998413,0.419917864476386,0.2132993042469024,0.65482959151268,1.7002880591794214,8.358941806833085,3.4750721774398885,1.575909124952786,0.7191388470177881
43,43,45,45,45,1.4491389989852903,0.3075816626879566,0.1259399239346035,18.893847902687536,299.6483893763344,61.9275559299804,12.18427140235759,2.313602318105747,0.2592186977423912,0.1242053539947985,0.1768317720982974,0.2720726682832054,0.0025173295464768,21.927324010063575,2171998075.937154,56.68391553652191,24.09618645360393,16.138675517569837,9.760007522940716,114.94994635250674,0.0029664671596805,0.002808798177412,0.0322338479051481,0.1929189516660547,7.56610593537793,0.060135368257761,3.274439382863688,3.274439382863688,0.0,9.95386028289795,1.4364443619408724,0.7263681292533875,0.552838146686554,7.762802124023437,1.5964089535057422,73.40862422997947,1.99657678604126,0.6396545767784119,-0.96777081489563,0.4250513347022587,0.2174415439367294,0.6509511768817902,1.6163437829377576,8.352667434101798,3.301812512709581,1.504069660436951,0.708717863998421
44,44,46,46,46,1.4624180793762207,0.2945159308396513,0.1206277404793858,20.27068035344356,325.5919446449829,66.8345511656894,13.073113636553138,2.4617716351463383,0.25476633652730457,0.1211028075314091,0.168559997842026,0.2601634558411269,0.0022044092964716,25.723985352303,1868148738.1400075,62.20056637311508,29.76316258450665,18.97024396406273,11.199193120128056,172.52874570964224,0.00257506948547,0.0024697287379531,0.0321196775898331,0.1905040426692885,7.5700621066678995,0.0526599623262882,3.14446930853091,3.14446930853091,0.0,9.95386028289795,1.4364443619408724,0.71517413854599,0.5460975766181946,7.762802124023437,1.5964089535057422,70.53388090349077,1.977502703666687,0.6236358284950256,-1.0190536975860596,0.4117043121149897,0.2225310802459716,0.6247092485427856,1.686996763631597,9.12568627488588,3.5347450319499467,1.5596616254702516,0.7146901997180317
45,45,47,47,47,1.484663724899292,0.3066369427839313,0.1175691479336139,18.275419586223663,291.3215731756724,59.71649907292843,11.911252336400793,2.345210508197776,0.2352559312382116,0.1150830994128961,0.1673995936363113,0.2616655874167493,0.0027018000452159,19.6236596731899,2267235053.295736,52.5392652163135,23.54495129961572,14.654520370493028,9.33966498758213,90.71906397784484,0.003258372186309,0.00309403231509,0.0310460225906531,0.2128507663589421,7.58083066652376,0.0630395337939262,3.126599885503709,3.126599885503709,0.0,9.95386028289795,1.4364443619408724,0.7251243591308594,0.623932421207428,7.762802124023437,1.5964089535057422,71.25256673511294,1.9961975812911987,0.6513593196868896,-0.92726331949234,0.4106776180698152,0.1977413296699524,0.6464762091636658,1.484230247280823,7.679705277310556,3.0171262869943543,1.4155552833927194,0.6937864370641018
46,46,48,48,48,1.5501073598861694,0.2859244546785073,0.1166630603502485,20.61228036967646,327.0320148872572,67.25162212001567,13.327508644107567,2.545933635575471,0.24542604238847301,0.1176570511171285,0.1629442378801798,0.2524587658061601,0.0021345677561548,27.717097554577993,1767610250.681173,69.66155280722165,34.78967918774697,20.54334422249346,12.523890347166672,781.2295308363593,0.0024950349739398,0.0024111304327405,0.0317113716570997,0.1916366765890367,7.578061555406631,0.05091018602252,3.1483861273436933,3.1483861273436933,0.0,9.95386028289795,1.4364443619408724,0.7164179086685181,0.5470476150512695,7.762802124023437,1.5964089535057422,70.2258726899384,1.972854256629944,0.6211375594139099,-1.0283418893814087,0.4147843942505133,0.220544084906578,0.6224563121795654,1.675464867075568,9.025718973015044,3.499347657985332,1.5513545161118774,0.7147556899342122
